mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.815833694848537e-05,7.815833694848537e-05,0,1,13,6,23
1,2,10,0.10860100918992047,0.05430050459496023,0,1,11,6,23
1,3,9,0.20688195999003692,0.0689606533300123,-1,1,9,6,23
1,4,9,0.3077642412976811,0.07694106032442027,-1,4,9,6,23
1,5,9,0.4340341662459406,0.08680683324918811,-1,4,6,6,23
1,6,9,0.5423608317783903,0.09039347196306506,-1,3,6,6,23
1,7,9,0.6443389087596152,0.09204841553708788,-1,2,0,6,23
1,8,9,0.7494835826044801,0.09368544782556001,-1,1,0,6,23
1,9,9,0.8492065152473882,0.09435627947193202,-1,1,4,6,23
1,10,8,0.9529431548099543,0.09529431548099543,-2,1,5,6,23
1,11,8,1.0608312652295264,0.09643920592995694,-2,6,5,6,23
1,12,8,1.1627284207002744,0.0968940350583562,-2,4,4,6,23
1,13,8,1.2712974560250798,0.09779211200192922,-2,2,4,6,23
1,14,8,1.3800247817191587,0.09857319869422562,-2,2,3,6,23
1,15,8,1.482227465234342,0.09881516434895612,-2,2,2,6,23
1,16,8,1.5842280423428703,0.0990142526464294,-2,1,0,6,23
1,17,8,1.6952093281580407,0.0997181957740024,-2,1,0,6,23
1,18,7,1.7979828043763926,0.09988793357646625,-3,1,0,6,23
1,19,7,1.8993478515733708,0.09996567639859846,-3,7,0,6,23
1,20,7,2.0113203272071143,0.10056601636035571,-3,6,0,6,23
1,21,7,2.1125436630759884,0.10059731728933279,-3,5,0,6,23
1,22,7,2.2137366040360495,0.10062439109254771,-3,4,2,6,23
1,23,7,2.3289451506107204,0.10125848480916176,-3,3,4,6,23
1,24,7,2.432890212405149,0.1013704255168812,-3,2,6,6,23
1,25,7,2.5353881607488047,0.10141552642995219,-3,1,11,6,23
1,26,7,2.647122213980947,0.10181239284542104,-3,1,11,6,23
1,27,7,2.7542220304667504,0.10200822335062039,-3,1,10,6,23
1,28,7,2.8580857760116265,0.10207449200041523,-3,1,13,6,23
1,29,7,2.973658272013906,0.10253994041427263,-3,1,10,6,23
1,30,7,3.0753584526859816,0.10251194842286605,-3,1,10,6,23
1,31,7,3.185052494375955,0.10274362885083727,-3,1,20,6,23
1,32,7,3.2978732642829423,0.10305853950884195,-3,1,20,6,23
1,33,7,3.4109395618948897,0.10336180490590574,-3,1,17,6,23
1,34,7,3.51341343115494,0.10333568915161588,-3,1,17,6,23
1,35,7,3.634844644515753,0.10385270412902152,-3,1,15,6,23
1,36,7,3.7449275041950907,0.10402576400541919,-3,1,15,6,23
1,37,7,3.856734189417126,0.10423605917343584,-3,1,13,6,23
1,38,7,3.9769385537312916,0.10465627772977083,-3,1,13,6,23
1,39,7,4.084174555198142,0.10472242449226005,-3,1,13,6,23
1,40,7,4.192767669606552,0.10481919174016381,-3,1,13,6,23
1,41,7,4.30615923221671,0.10502827395650512,-3,5,6,6,23
1,42,7,4.417258545015453,0.10517282250036793,-3,5,12,6,23
1,43,7,4.528949176949292,0.10532439946393703,-3,10,19,6,23
