mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.736885879749057e-05,7.736885879749057e-05,0,1,15,1,5
1,2,10,0.05275608796207664,0.02637804398103832,0,1,15,1,5
1,3,10,0.1119432649421569,0.03731442164738563,0,1,14,1,5
1,4,10,0.17270663505069817,0.04317665876267454,0,1,15,1,5
1,5,10,0.23297539709764126,0.04659507941952825,0,1,15,1,5
1,6,10,0.28560122116480413,0.047600203527467355,0,1,15,1,5
1,7,10,0.3493267132958785,0.0499038161851255,0,1,15,1,5
1,8,10,0.40542860966187055,0.05067857620773382,0,1,13,1,5
1,9,10,0.45676205799585434,0.05075133977731715,0,1,13,1,5
1,10,10,0.4918500196777412,0.049185001967774124,0,1,13,1,5
1,11,10,0.5463548017442715,0.04966861834038832,0,1,6,1,5
1,12,9,0.5954840270806777,0.04962366892338981,1,1,0,1,5
1,13,9,0.6856463793150397,0.05274202917807998,1,2,0,1,5
1,14,9,0.74677804098102,0.05334128864150143,1,1,0,1,5
1,15,9,0.8104281379486743,0.05402854252991162,1,1,2,1,5
1,16,8,0.8659016097064761,0.05411885060665476,3,1,2,1,5
1,17,8,0.9093963294792321,0.05349390173407248,3,3,2,1,5
1,18,8,0.9635154514689998,0.05352863619272221,3,3,2,1,5
1,19,8,1.0289718744461278,0.05415641444453304,3,3,7,1,5
1,20,8,1.084835743149593,0.05424178715747965,3,3,8,1,5
1,21,8,1.165782516927393,0.05551345318701871,3,3,9,1,5
1,22,8,1.2235707386239123,0.05561685175563238,3,2,10,1,5
1,23,8,1.2570347437492013,0.05465368451083484,3,2,10,1,5
1,24,8,1.297766684732554,0.05407361186385642,3,2,11,1,5
1,25,8,1.3555746433828477,0.05422298573531391,3,2,10,1,5
1,26,8,1.4119540413189138,0.05430592466611207,3,4,9,1,5
1,27,8,1.4634682801494772,0.05420252889442508,3,6,7,1,5
1,28,8,1.5191051738845327,0.05425375621016188,3,8,3,1,5
1,29,8,1.5755619406793957,0.05432972209239296,3,5,9,1,5
1,30,8,1.6252899851933331,0.05417633283977777,3,4,3,1,5
1,31,8,1.687935471213844,0.054449531329478836,3,4,3,1,5
1,32,8,1.7470480425086552,0.054595251328395475,3,3,6,1,5
1,33,8,1.7966335862163372,0.054443442006555674,3,2,7,1,5
1,34,7,1.8773218058996828,0.055215347232343615,5,1,8,1,5
1,35,7,1.9338144939504143,0.05525184268429755,5,1,9,1,5
1,36,7,1.9944290474274875,0.055400806872985764,5,1,8,1,5
1,37,6,2.046825528091787,0.05531960886734559,7,1,6,1,5
1,38,6,2.1072371856840557,0.05545361014958041,7,16,6,1,5
1,39,6,2.158173131769018,0.055337772609462,7,12,7,1,5
1,40,6,2.1964253218800915,0.05491063304700229,7,8,5,1,5
1,41,6,2.255779868228181,0.055019021176297096,7,4,4,1,5
1,42,6,2.296727731485823,0.054683993606805315,7,4,3,1,5
1,43,6,2.3436815497771586,0.0545042220878409,7,4,3,1,5
1,44,6,2.3905228674319825,0.054330065168908696,7,3,3,1,5
1,45,6,2.426302017235066,0.05391782260522369,7,2,3,1,5
1,46,6,2.4745486059986557,0.05379453491301425,7,1,3,1,5
1,47,6,2.5395321315633406,0.05403259854390086,7,1,3,1,5
1,48,5,2.595544816898275,0.0540738503520474,6,1,3,1,5
1,49,5,2.6525601394849683,0.05413388039765241,6,11,3,1,5
1,50,5,2.712168897797674,0.054243377955953485,6,11,8,1,5
1,51,5,2.7721056842821237,0.054355013417296545,6,10,8,1,5
1,52,5,2.8279269211654348,0.054383210022412205,6,9,7,1,5
1,53,5,2.8677529359705214,0.05410854596170795,6,9,7,1,5
1,54,5,2.9117497638473107,0.053921291923098344,6,9,3,1,5
1,55,5,2.9706645708652952,0.05401208310664173,6,8,9,1,5
1,56,5,3.0395520658866526,0.05427771546226166,6,8,3,1,5
1,57,5,3.0984147673466746,0.05435815381309955,6,7,3,1,5
1,58,5,3.1481234696459164,0.054277990855964076,6,7,6,1,5
1,59,5,3.193924649836809,0.054134316098928964,6,6,3,1,5
1,60,5,3.253313143745394,0.054221885729089904,6,5,4,1,5
1,61,5,3.337218881633127,0.05470850625628077,6,4,0,1,5
1,62,5,3.3945934167785192,0.05475150672223418,6,3,1,1,5
1,63,5,3.448373063163366,0.054736080367672475,6,2,2,1,5
1,64,5,3.5066906299601253,0.05479204109312696,6,1,3,1,5
1,65,5,3.555413274048774,0.054698665754596525,6,1,4,1,5
1,66,4,3.606906196969262,0.05465009389347367,7,1,4,1,5
1,67,4,3.6828097843185073,0.05496731021370906,7,3,4,1,5
1,68,4,3.7379319382991123,0.05496958732792812,7,3,0,1,5
1,69,4,3.7962491103567966,0.05501810304864922,7,2,0,1,5
1,70,4,3.8569011640460498,0.05509858805780071,7,1,0,1,5
1,71,4,3.8907125395577675,0.054798768162785456,7,1,0,1,5
1,72,3,3.9403296623914907,0.054726800866548485,8,1,0,1,5
1,73,3,4.003837653291967,0.05484709114098585,8,2,0,1,5
1,74,3,4.058859148808324,0.05484944795686924,8,2,2,1,5
1,75,3,4.110472467146835,0.054806299561957796,8,2,2,1,5
1,76,3,4.171069652104592,0.05488249542242884,8,2,2,1,5
1,77,3,4.220703353979488,0.05481432927246088,8,2,1,1,5
1,78,3,4.269234549616513,0.054733776277134785,8,2,2,1,5
1,79,3,4.315648364852578,0.054628460314589594,8,2,2,1,5
1,80,3,4.383475590717154,0.054793444883964426,8,2,2,1,5
1,81,3,4.46907357502154,0.055173747839772094,8,2,0,1,5
1,82,3,4.532154852981407,0.05527018113391959,8,1,0,1,5
1,83,3,4.578085507589051,0.05515765671794038,8,1,4,1,5
1,84,2,4.638147031621358,0.055216036090730454,10,1,3,1,5
1,85,2,4.693121947926812,0.05521319938737426,10,2,3,1,5
1,86,2,4.749061606532777,0.055221646587590434,10,1,4,1,5
1,87,2,4.802862568827706,0.05520531688307708,10,1,5,1,5
1,88,2,4.856094317375764,0.05518288997017913,10,1,6,1,5
1,89,2,4.926669716683932,0.055355839513302606,10,1,5,1,5
1,90,1,4.9705497017943685,0.055228330019937426,9,1,0,1,5
1,91,1,5.019600374054747,0.055160443670931286,9,6,0,1,5
1,92,1,5.078739787606693,0.05520369334355101,9,6,0,1,5
1,93,1,5.1410647454979,0.05528026608062258,9,6,0,1,5
1,94,1,5.186514213172515,0.055175683118856546,9,6,0,1,5
1,95,1,5.245695074327401,0.05521784288765685,9,6,0,1,5
1,96,1,5.279924873259148,0.05499921742978279,9,5,1,1,5
1,97,1,5.329002782515744,0.05493817301562622,9,4,3,1,5
1,98,1,5.384304937514784,0.0549418871174978,9,3,2,1,5
1,99,1,5.422215678325557,0.054769855336621785,9,2,2,1,5
1,100,1,5.469181733528231,0.054691817335282306,9,1,2,1,5
1,101,1,5.526965218355841,0.054722427904513274,9,1,2,1,5
1,102,0,5.574686409409949,0.054653788327548525,11,1,2,1,5
