mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00012710598231016306,0.00012710598231016306,0,1,0,1,5
1,2,10,0.04400669635367674,0.02200334817683837,0,1,1,1,5
1,3,9,0.08553403657415429,0.028511345524718096,2,1,2,1,5
1,4,9,0.13848394142230017,0.03462098535557504,2,2,2,1,5
1,5,9,0.20603800784662343,0.04120760156932469,2,1,2,1,5
1,6,9,0.27438431559546983,0.045730719265911636,2,1,2,1,5
1,7,9,0.3420793038697455,0.048868471981392214,2,1,0,1,5
1,8,8,0.4102846897686395,0.05128558622107994,3,1,0,1,5
1,9,8,0.47858441830657716,0.05317604647850857,3,24,0,1,5
1,10,8,0.5420379352146331,0.0542037935214633,3,20,0,1,5
1,11,8,0.6016210354874373,0.054692821407948844,3,16,1,1,5
1,12,8,0.6673636442943028,0.055613637024525236,3,12,1,1,5
1,13,8,0.7415848537037767,0.05704498874644436,3,8,1,1,5
1,14,8,0.8126536768563285,0.05804669120402346,3,4,1,1,5
1,15,8,0.8787148400971204,0.05858098933980803,3,4,1,1,5
1,16,8,0.9555338273624435,0.05972086421015272,3,4,1,1,5
1,17,8,1.0284488451710967,0.06049699089241745,3,3,2,1,5
1,18,8,1.0959172532160366,0.060884291845335364,3,2,3,1,5
1,19,8,1.166281861857902,0.061383255887258,3,1,4,1,5
1,20,8,1.2422312389399046,0.06211156194699523,3,1,4,1,5
1,21,7,1.3127711117312906,0.0625129100824424,5,1,4,1,5
1,22,7,1.4029650430916911,0.0637711383223496,5,3,4,1,5
1,23,7,1.478086652332375,0.06426463705792936,5,2,0,1,5
1,24,7,1.5531135241949396,0.06471306350812249,5,1,0,1,5
1,25,7,1.6589418861185656,0.06635767544474262,5,1,0,1,5
1,26,7,1.7390379971886674,0.06688607681494875,5,1,4,1,5
1,27,6,1.823490053956883,0.06753666866506974,4,1,4,1,5
1,28,6,1.9414980900549832,0.06933921750196369,4,1,4,1,5
1,29,6,2.0288463474201244,0.06996021887655601,4,1,4,1,5
1,30,6,2.1148903868798214,0.07049634622932738,4,1,4,1,5
1,31,6,2.2662353221209024,0.07310436522970652,4,3,4,1,5
1,32,6,2.3904210247505358,0.07470065702345424,4,3,5,1,5
1,33,6,2.5996169452011397,0.07877627106670121,4,3,4,1,5
1,34,6,2.7702871213613474,0.0814790329812161,4,6,3,1,5
1,35,6,2.958997662749937,0.08454279036428392,4,6,1,1,5
1,36,6,3.1859386836004493,0.08849829676667914,4,3,2,1,5
1,37,6,3.4465489738955135,0.09314997226744631,4,3,2,1,5
1,38,6,3.751250039967335,0.09871710631492987,4,3,2,1,5
1,39,6,3.915620969960756,0.10040053769130143,4,2,3,1,5
1,40,6,4.104913751485704,0.10262284378714259,4,1,4,1,5
1,41,6,4.332728329910292,0.10567630072951932,4,1,4,1,5
1,42,5,4.514968308373328,0.1074992454374602,5,1,4,1,5
1,43,5,4.780774549119165,0.11118080346788757,5,5,4,1,5
1,44,5,4.963183475906515,0.1127996244524208,5,5,7,1,5
1,45,5,5.1895904147878795,0.11532423143973065,5,4,7,1,5
1,46,5,5.354092398154364,0.11639331300335574,5,3,7,1,5
1,47,5,5.56572267448356,0.11841963137199063,5,2,7,1,5
1,48,5,5.795062919434944,0.120730477488228,5,1,7,1,5
1,49,5,5.974992884828168,0.12193863030261567,5,1,7,1,5
1,50,4,6.175298097081342,0.12350596194162683,6,1,9,1,5
1,51,4,6.413409839029352,0.12575313409861474,6,8,9,1,5
1,52,4,6.603592757169547,0.12699216840710667,6,4,3,1,5
1,53,4,6.726574110879838,0.12691649265811014,6,4,4,1,5
1,54,4,6.946276406563879,0.12863474826970145,6,4,4,1,5
1,55,4,7.190778974144198,0.13074143589353088,6,3,3,1,5
1,56,4,7.397812119200154,0.1321037878428599,6,2,5,1,5
1,57,4,7.5824004004233245,0.13302456842847937,6,2,5,1,5
1,58,4,7.774262143851608,0.13403900248020015,6,2,4,1,5
1,59,4,8.024717376690425,0.13601215892695637,6,2,3,1,5
1,60,4,8.222037177315613,0.13703395295526022,6,2,10,1,5
1,61,4,8.38054070569084,0.13738591320804658,6,1,5,1,5
1,62,4,8.620808117730142,0.1390452922214539,6,1,5,1,5
1,63,4,8.786793925281422,0.13947291944891146,6,1,8,1,5
1,64,4,8.97275274057472,0.14019926157148,6,1,8,1,5
1,65,3,9.273554968797853,0.1426700764430439,5,1,6,1,5
1,66,3,9.385431128097174,0.14220350194086628,5,1,6,1,5
1,67,3,9.58817859101045,0.1431071431494097,5,1,6,1,5
1,68,3,9.765093539345024,0.14360431675507387,5,2,6,1,5
1,69,3,9.943217968206923,0.14410460823488294,5,3,6,1,5
1,70,3,10.133877731150317,0.14476968187357597,5,2,9,1,5
1,71,3,10.313349799215967,0.14525844787628123,5,1,5,1,5
1,72,3,10.480888905029328,0.14556790145874066,5,1,7,1,5
1,73,3,10.718942225594166,0.14683482500813927,5,1,8,1,5
1,74,2,10.901751023064996,0.1473209597711486,6,1,8,1,5
1,75,2,11.090947488255523,0.14787929984340697,6,3,8,1,5
1,76,2,11.25927686169803,0.1481483797591846,6,2,8,1,5
1,77,2,11.455837579081035,0.1487771114166368,6,1,8,1,5
1,78,2,11.681573856273129,0.14976376738811703,6,1,7,1,5
1,79,2,11.906514734228097,0.15071537638263413,6,1,5,1,5
1,80,1,12.116853819041339,0.15146067273801672,7,1,7,1,5
1,81,1,12.303073951602617,0.15188980187163725,7,2,7,1,5
1,82,1,12.54433057976512,0.1529796412166478,7,2,7,1,5
1,83,1,12.751041222996395,0.15362700268670357,7,2,10,1,5
1,84,1,13.041496945311668,0.1552559160156151,7,2,11,1,5
1,85,1,13.299845775443206,0.1564687738287436,7,2,11,1,5
1,86,1,13.541729249257596,0.1574619680146232,7,4,8,1,5
1,87,1,13.732953489078955,0.1578500401043558,7,6,6,1,5
1,88,1,13.910526072713314,0.15807415991719675,7,8,5,1,5
1,89,1,14.154395084077454,0.15903814701210622,7,5,5,1,5
