mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.460568526900876e-05,7.460568526900876e-05,0,2,4,3,13
1,2,10,0.08343441943158364,0.04171720971579182,0,1,4,3,13
1,3,10,0.17453861910008178,0.05817953970002726,0,1,8,3,13
1,4,9,0.2474528474305842,0.06186321185764605,-1,1,8,3,13
1,5,9,0.33051068578414317,0.06610213715682864,-1,4,8,3,13
1,6,9,0.4307179632726868,0.07178632721211446,-1,4,10,3,13
1,7,9,0.5006463852361269,0.07152091217658955,-1,4,11,3,13
1,8,9,0.5693369054588071,0.07116711318235089,-1,4,13,3,13
1,9,9,0.6534277759729432,0.0726030862192159,-1,3,14,3,13
1,10,9,0.7310974259459628,0.07310974259459628,-1,3,14,3,13
1,11,9,0.8148061890350171,0.07407328991227428,-1,3,13,3,13
1,12,9,0.9070069738552469,0.07558391448793723,-1,3,13,3,13
1,13,9,0.9849071514483569,0.07576208857295054,-1,6,11,3,13
1,14,9,1.077095699357246,0.07693540709694614,-1,9,8,3,13
1,15,9,1.1698803032701364,0.07799202021800909,-1,12,6,3,13
1,16,9,1.2468520545576764,0.07792825340985478,-1,10,9,3,13
1,17,9,1.3253490776329386,0.07796171044899639,-1,8,3,3,13
1,18,9,1.4136210244347425,0.07853450135748569,-1,4,3,3,13
1,19,9,1.4861326189082373,0.07821750625832828,-1,3,5,3,13
1,20,8,1.5687487442363148,0.07843743721181574,1,2,6,3,13
1,21,8,1.6619138766179848,0.07913875602942785,1,1,7,3,13
1,22,8,1.7354229767352616,0.07888286257887553,1,1,8,3,13
1,23,8,1.8144864503838625,0.07889071523408098,1,1,12,3,13
1,24,8,1.8992282456334932,0.07913451023472888,1,1,11,3,13
1,25,7,1.9687425863067374,0.07874970345226949,2,1,10,3,13
1,26,7,2.058711516394105,0.07918121216900403,2,5,10,3,13
1,27,7,2.143526338372702,0.07938986438417414,2,5,6,3,13
1,28,7,2.2110531678008147,0.07896618456431481,2,4,3,3,13
1,29,7,2.276451564133845,0.0784983297977188,2,3,4,3,13
1,30,7,2.3662712828506756,0.07887570942835585,2,2,5,3,13
1,31,7,2.4350056191107363,0.07854856835841086,2,2,5,3,13
1,32,7,2.5527191798585136,0.07977247437057855,2,2,5,3,13
1,33,7,2.624347348281047,0.07952567722063779,2,1,2,3,13
1,34,7,2.6915757549680848,0.07916399279317897,2,1,5,3,13
1,35,7,2.7835914071619072,0.07953118306176878,2,1,5,3,13
1,36,7,2.85081941910987,0.07918942830860749,2,1,6,3,13
1,37,6,2.919601518798066,0.07890814915670448,4,1,4,3,13
1,38,6,2.99999723682647,0.07894729570595974,4,32,4,3,13
1,39,6,3.0656265555186692,0.07860580911586332,4,28,4,3,13
1,40,6,3.138493020421036,0.0784623255105259,4,21,5,3,13
1,41,6,3.2099419773032913,0.07829126773910466,4,18,5,3,13
1,42,6,3.279779214540291,0.07808998129857836,4,15,7,3,13
