mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00021394857891959127,0.00021394857891959127,0,3,4,3,14
1,2,10,0.06276114456963376,0.03138057228481688,0,2,5,3,14
1,3,10,0.122098322398403,0.04069944079946767,0,1,5,3,14
1,4,10,0.18540539110944965,0.04635134777736241,0,1,5,3,14
1,5,10,0.24307242790978945,0.04861448558195789,0,1,4,3,14
1,6,10,0.30424395822239536,0.05070732637039923,0,1,4,3,14
1,7,9,0.3741988277038938,0.05345697538627054,1,1,0,3,14
1,8,9,0.43589062411800505,0.05448632801475063,1,5,0,3,14
1,9,9,0.4989940074660951,0.0554437786073439,1,5,0,3,14
1,10,9,0.5611875172451636,0.05611875172451636,1,4,6,3,14
1,11,9,0.6206671958801878,0.05642429053456253,1,3,6,3,14
1,12,9,0.685044007485832,0.057087000623819335,1,2,8,3,14
1,13,9,0.7454142174751778,0.05733955519039829,1,2,8,3,14
1,14,9,0.8072950939064524,0.05766393527903231,1,2,6,3,14
1,15,9,0.8709001906194996,0.058060012707966645,1,2,10,3,14
1,16,9,0.9369076693460238,0.058556729334126485,1,4,11,3,14
1,17,9,1.0021331699639875,0.058949009997881614,1,6,12,3,14
