mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.460568526900876e-05,7.460568526900876e-05,0,2,3,2,11
1,2,10,0.055098469636078166,0.027549234818039083,0,2,3,2,11
1,3,10,0.11183984330437652,0.03727994776812551,0,2,3,2,11
1,4,10,0.17366821943860983,0.04341705485965246,0,1,3,2,11
1,5,10,0.24791785006151995,0.04958357001230399,0,1,3,2,11
1,6,9,0.30285526615479513,0.05047587769246586,1,1,10,2,11
1,7,9,0.3607176987975062,0.051531099828215174,1,4,10,2,11
1,8,9,0.42003632388972706,0.05250454048621588,1,4,7,2,11
1,9,9,0.478343232731448,0.053149248081272,1,4,9,2,11
1,10,9,0.5328551201013374,0.05328551201013374,1,3,8,2,11
1,11,9,0.5895057037822715,0.05359142761657014,1,2,10,2,11
1,12,9,0.6473255046048285,0.053943792050402374,1,2,10,2,11
1,13,9,0.707132816672515,0.05439483205173193,1,2,8,2,11
1,14,9,0.7664478891130564,0.054746277793789745,1,2,12,2,11
1,15,9,0.8347784072988835,0.055651893819925566,1,4,10,2,11
1,16,9,0.9052128847571108,0.056575805297319426,1,6,9,2,11
