mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.026355543853736e-05,7.026355543853736e-05,0,5,2,1,6
1,2,10,0.06167679632924233,0.030838398164621163,0,4,1,1,6
1,3,10,0.11826777440977615,0.03942259146992538,0,3,1,1,6
1,4,10,0.1803543098993851,0.04508857747484628,0,2,2,1,6
1,5,10,0.24100912676216474,0.04820182535243295,0,1,2,1,6
1,6,10,0.2855187206980258,0.04758645344967097,0,1,3,1,6
1,7,10,0.33383004667000143,0.04769000666714306,0,1,4,1,6
1,8,9,0.3985704129641791,0.04982130162052239,1,1,5,1,6
1,9,9,0.436899577194977,0.04854439746610856,1,4,5,1,6
1,10,9,0.48178693642608866,0.048178693642608864,1,4,6,1,6
1,11,9,0.5245904680776499,0.04769004255251363,1,4,7,1,6
1,12,9,0.5803667047063574,0.04836389205886312,1,3,6,1,6
1,13,9,0.6349160922884178,0.04883969940680137,1,2,8,1,6
1,14,9,0.7096109885884876,0.05068649918489197,1,2,8,1,6
1,15,9,0.7651424869903853,0.05100949913269236,1,2,7,1,6
1,16,9,0.8225083378761213,0.05140677111725758,1,2,6,1,6
1,17,9,0.8974329723181307,0.05279017484224298,1,4,4,1,6
1,18,9,0.9512039344433121,0.05284466302462845,1,6,10,1,6
1,19,9,0.9990577578267854,0.05258198725404134,1,4,16,1,6
1,20,9,1.0478514549490208,0.05239257274745104,1,3,10,1,6
1,21,9,1.0865939109918643,0.051742567190088774,1,3,10,1,6
1,22,9,1.1412802730331237,0.05187637604696017,1,2,5,1,6
1,23,9,1.201931537244223,0.05225789292366187,1,1,6,1,6
1,24,9,1.2601681825305087,0.05250700760543786,1,1,7,1,6
1,25,9,1.3062354168582844,0.052249416674331375,1,1,8,1,6
1,26,8,1.3780127966513533,0.053000492178898205,0,1,12,1,6
1,27,8,1.4276954461716067,0.05287760911746692,0,2,12,1,6
1,28,8,1.491493175553496,0.053267613412624856,0,1,10,1,6
1,29,8,1.5593705332806516,0.05377139769933281,0,1,8,1,6
1,30,7,1.6051278974341572,0.05350426324780524,1,1,6,1,6
1,31,7,1.6675321978795403,0.05379136122192066,1,6,6,1,6
