mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,9.829002979885281e-05,9.829002979885281e-05,0,1,9,1,4
1,2,10,0.033158477080857195,0.016579238540428597,0,1,7,1,4
1,3,10,0.08721720399207525,0.02907240133069175,0,1,7,1,4
1,4,10,0.13200311528078382,0.033000778820195954,0,1,0,1,4
1,5,9,0.17585231074333688,0.03517046214866738,-1,1,0,1,4
1,6,9,0.22784694702877864,0.03797449117146311,-1,12,0,1,4
1,7,9,0.26935178712195296,0.03847882673170756,-1,6,0,1,4
1,8,9,0.3077085830880356,0.03846357288600445,-1,6,4,1,4
1,9,9,0.3458009038735349,0.03842232265261499,-1,6,3,1,4
1,10,9,0.38155242194133454,0.03815524219413345,-1,5,3,1,4
1,11,9,0.44495778068217906,0.04045070733474355,-1,4,3,1,4
1,12,9,0.49610885956328243,0.04134240496360687,-1,3,3,1,4
1,13,9,0.5428807031408188,0.041760054087755294,-1,2,2,1,4
1,14,9,0.5726712664295325,0.04090509045925232,-1,1,1,1,4
1,15,9,0.609406474273472,0.04062709828489814,-1,1,6,1,4
1,16,8,0.6542081751252004,0.04088801094532502,-2,1,5,1,4
1,17,8,0.7070203160359975,0.041589430355058674,-2,4,5,1,4
1,18,8,0.7659339388367564,0.04255188549093091,-2,4,6,1,4
1,19,8,0.8141655275154812,0.04285081723765691,-2,4,5,1,4
1,20,8,0.8495996753665801,0.042479983768329004,-2,4,4,1,4
1,21,8,0.9003911469499039,0.04287576890237638,-2,3,5,1,4
1,22,8,0.9462487748285896,0.04301130794675407,-2,3,5,1,4
1,23,8,0.9955726065292155,0.04328576550127024,-2,3,6,1,4
1,24,8,1.0435697201970946,0.04348207167487894,-2,3,7,1,4
1,25,8,1.0949560635671958,0.04379824254268783,-2,3,7,1,4
1,26,8,1.142310936759241,0.043935036029201575,-2,3,6,1,4
1,27,8,1.193992544957812,0.04422194610954859,-2,3,5,1,4
1,28,8,1.237228710636117,0.04418673966557561,-2,3,3,1,4
1,29,8,1.276461432610727,0.044015911469335416,-2,3,5,1,4
1,30,8,1.3277411964304449,0.04425803988101483,-2,3,5,1,4
1,31,8,1.3760477855335154,0.04438863824301662,-2,2,3,1,4
1,32,8,1.4244033222819468,0.04451260382131084,-2,1,3,1,4
1,33,8,1.4722484614057585,0.044613589739568436,-2,1,4,1,4
1,34,8,1.5146667277196322,0.044549021403518595,-2,1,6,1,4
1,35,8,1.5677097909895927,0.04479170831398836,-2,1,7,1,4
1,36,8,1.6137213671077184,0.04482559353076995,-2,1,7,1,4
1,37,8,1.6658486357225293,0.0450229361006089,-2,1,6,1,4
1,38,8,1.7219004002259304,0.04531316842699817,-2,1,5,1,4
1,39,8,1.7675721060000562,0.04532236169230913,-2,1,3,1,4
1,40,7,1.8196113478010254,0.045490283695025634,0,1,4,1,4
1,41,7,1.8652925273129632,0.04549493969056008,0,10,4,1,4
1,42,7,1.9138478020335974,0.04556780481032375,0,9,5,1,4
1,43,7,1.9698162765920735,0.04580968085097845,0,8,6,1,4
1,44,7,2.0175741783802046,0.045853958599550104,0,7,6,1,4
1,45,7,2.0720971184442014,0.04604660263209336,0,6,5,1,4
1,46,7,2.1155117061846305,0.04598938491705718,0,5,4,1,4
1,47,7,2.162499866775537,0.0460106354633093,0,4,3,1,4
1,48,7,2.2092799998736616,0.04602666666403462,0,3,2,1,4
