mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,7.421094619351136e-05,7.421094619351136e-05,0,1,0,[],14,3,13
2,2,10,2.0858581173551376,1.0429290586775688,0,1,297,39,14,3,13
2,3,10,2.258192908196717,0.7527309693989057,0,4,297,39,14,3,13
2,4,10,2.409263105041252,0.602315776260313,0,3,297,39,7,3,13
2,5,10,2.5381426500176247,0.5076285300035249,0,2,297,39,0,3,13
2,6,10,2.6013837973030633,0.43356396621717724,0,1,297,39,0,3,13
2,7,10,2.689580348941447,0.38422576413449244,0,1,297,39,0,3,13
2,8,9,2.7774228196291104,0.3471778524536388,1,15,297,39,0,3,13
2,9,9,4.922865616213356,0.5469850684681506,1,15,435,168,0,3,13
2,10,9,4.979723437908925,0.4979723437908925,1,12,435,168,0,3,13
2,11,9,5.03498967165209,0.45772633378655364,1,9,435,168,0,3,13
2,12,9,5.092790130259948,0.4243991775216623,1,6,435,168,0,3,13
2,13,9,5.1550314034671505,0.3965408771897808,1,3,435,168,0,3,13
2,14,9,5.212001331060161,0.3722858093614401,1,3,435,168,0,3,13
2,15,9,5.267829278507758,0.35118861856718386,1,3,435,168,4,3,13
2,16,9,5.333430175986521,0.3333393859991576,1,2,435,168,5,3,13
2,17,9,5.393154592848353,0.31724438781460895,1,1,435,168,5,3,13
2,18,9,5.450148994264044,0.30278605523689134,1,1,435,168,6,3,13
2,19,8,5.5209138683284635,0.2905744141225507,2,4,435,168,11,3,13
2,20,8,9.77226752730311,0.48861337636515556,2,4,683,42,11,3,13
2,21,8,9.82897219023739,0.4680462947732091,2,3,683,42,11,3,13
2,22,8,9.885848564669512,0.44935675293952326,2,2,683,42,11,3,13
2,23,8,9.943236520943476,0.4323146313453685,2,1,683,42,12,3,13
2,24,8,10.000147237675161,0.4166728015697984,2,1,683,42,12,3,13
2,25,8,10.063017724968706,0.40252070899874826,2,1,683,42,12,3,13
2,26,8,10.121036474285315,0.3892706336263583,2,1,683,42,9,3,13
2,27,7,10.184968414952873,0.377221052405662,1,4,683,42,9,3,13
2,28,7,12.306039231537756,0.43950140112634845,1,4,452,168,9,3,13
2,29,7,12.377352003438965,0.42680524149789534,1,3,452,168,9,3,13
2,30,7,12.432776527551404,0.41442588425171345,1,2,452,168,12,3,13
2,31,7,12.5271914038461,0.4041029485111645,1,2,452,168,12,3,13
2,32,7,12.588346749856608,0.393385835933019,1,2,452,168,12,3,13
2,33,7,12.65898886006855,0.38360572303238033,1,2,452,168,11,3,13
2,34,7,12.716379184776969,0.37401115249344025,1,1,452,168,9,3,13
2,35,7,12.771149231502235,0.364889978042921,1,1,452,168,9,3,13
2,36,7,12.827138627231712,0.356309406311992,1,4,452,168,10,3,13
2,37,7,12.893054526492719,0.3484609331484519,1,4,452,168,7,3,13
2,38,7,12.946487591969273,0.34069704189392824,1,4,452,168,5,3,13
2,39,7,13.013915736628512,0.3336901470930388,1,8,452,168,5,3,13
2,40,7,13.081245196518879,0.32703112991297195,1,6,452,168,4,3,13
2,41,7,13.134632472262673,0.3203568895673823,1,4,452,168,6,3,13
2,42,7,13.185281443039742,0.3139352724533272,1,2,452,168,7,3,13
2,43,7,13.23892214127001,0.3078819102620933,1,2,452,168,11,3,13
2,44,7,13.300498673874074,0.3022840607698653,1,2,452,168,8,3,13
2,45,7,13.354444900148778,0.2967654422255284,1,1,452,168,8,3,13
2,46,7,13.420573958510559,0.2917516077937078,1,1,452,168,10,3,13
2,47,6,13.484074844107674,0.28689520944909946,2,12,452,168,8,3,13
2,48,6,14.391390898659033,0.2998206437220632,2,12,168,123,8,3,13
2,49,6,14.466674745659745,0.295238260115505,2,9,168,123,10,3,13
2,50,6,14.522552824969928,0.29045105649939856,2,6,168,123,8,3,13
2,51,6,14.586607134750892,0.28601190460295867,2,3,168,123,8,3,13
2,52,6,14.65628016053249,0.28185154154870173,2,3,168,123,10,3,13
2,53,6,14.709997043404321,0.2775471140264966,2,2,168,123,9,3,13
2,54,6,14.78730037551528,0.2738388958428755,2,1,168,123,9,3,13
2,55,6,14.862236062651405,0.2702224738663892,2,1,168,123,13,3,13
2,56,6,14.958370817098043,0.2671137645910365,2,1,168,123,10,3,13
2,57,6,15.02324973680772,0.2635657848562758,2,1,168,123,9,3,13
2,58,6,15.080473481626278,0.2600081634763151,2,1,168,123,7,3,13
2,59,5,15.134005626610787,0.2565085699425557,1,1,168,123,0,3,13
2,60,5,15.778428614793484,0.2629738102465581,1,1,125,93,0,3,13
2,61,5,15.83448708986117,0.2595817555714946,1,6,125,93,7,3,13
2,62,5,15.891107278633292,0.2563081819134402,1,6,125,93,13,3,13
2,63,5,15.952125650184605,0.2532083436537239,1,5,125,93,16,3,13
2,64,5,16.033678743182364,0.25052623036222443,1,4,125,93,17,3,13
2,65,5,16.11215800299923,0.24787935389229585,1,3,125,93,18,3,13
2,66,5,16.18058049538965,0.2451603105362068,1,2,125,93,18,3,13
2,67,5,16.234527116403427,0.24230637487169293,1,1,125,93,17,3,13
2,68,5,16.29623864977131,0.23965056837898988,1,1,125,93,17,3,13
2,69,5,16.34981658448858,0.23695386354331274,1,1,125,93,23,3,13
2,70,4,16.403352676863832,0.23433360966948333,0,15,125,93,19,3,13
2,71,4,18.814240133200755,0.2649892976507149,0,15,541,399,19,3,13
2,72,4,18.86648937618989,0.262034574669304,0,14,541,399,13,3,13
2,73,4,18.92193679516872,0.2592046136324482,0,13,541,399,13,3,13
2,74,4,18.984637544659805,0.25654915600891626,0,12,541,399,13,3,13
2,75,4,19.041916158209858,0.2538922154427981,0,11,541,399,12,3,13
2,76,4,19.10750323982097,0.2514145163134338,0,11,541,399,6,3,13
2,77,4,19.200835346831568,0.24936149801079957,0,10,541,399,6,3,13
2,78,4,19.262638064925895,0.2469568982682807,0,9,541,399,5,3,13
2,79,4,19.341979434883655,0.24483518272004626,0,8,541,399,4,3,13
