mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00016815884616189274,0.00016815884616189274,0,3,0,[],6,5,35
2,2,10,8.859589337150195,4.429794668575098,0,3,926,93,6,5,35
2,3,10,8.969166141334746,2.989722047111582,0,3,926,93,12,5,35
2,4,10,9.087667996016293,2.2719169990040733,0,3,926,93,17,5,35
2,5,10,9.197355721881058,1.8394711443762115,0,2,926,93,19,5,35
2,6,10,9.310420045797628,1.5517366742996046,0,1,926,93,20,5,35
2,7,10,9.420906723551198,1.3458438176501712,0,1,926,93,20,5,35
2,8,10,9.607961334518077,1.2009951668147596,0,1,926,93,20,5,35
2,9,10,9.72657213718446,1.0807302374649401,0,4,926,93,19,5,35
2,10,10,9.942887571600734,0.9942887571600734,0,3,926,93,16,5,35
2,11,10,10.091768940271635,0.9174335400246941,0,3,926,93,14,5,35
2,12,10,10.316641923105616,0.8597201602588013,0,2,926,93,8,5,35
2,13,10,10.458936280823693,0.804533560063361,0,1,926,93,14,5,35
2,14,10,10.582062898513765,0.7558616356081261,0,1,926,93,15,5,35
2,15,10,10.723056590978079,0.7148704393985386,0,1,926,93,18,5,35
2,16,10,10.832936160033535,0.6770585100020959,0,1,926,93,15,5,35
2,17,9,10.94598864177784,0.6438816848104612,-1,4,926,93,13,5,35
2,18,9,25.423357658470962,1.4124087588039425,-1,4,1567,108,13,5,35
2,19,9,25.530328790018153,1.3437015152641134,-1,3,1567,108,15,5,35
2,20,9,25.64364929959472,1.282182464979736,-1,3,1567,108,18,5,35
2,21,9,25.75333820967671,1.2263494385560338,-1,3,1567,108,15,5,35
2,22,9,25.871978617773756,1.1759990280806252,-1,2,1567,108,14,5,35
2,23,9,25.99040705098726,1.1300176978690113,-1,1,1567,108,12,5,35
2,24,9,26.104194536890137,1.0876747723704223,-1,1,1567,108,16,5,35
2,25,9,26.219665584950015,1.0487866233980006,-1,1,1567,108,17,5,35
2,26,9,26.346127353088963,1.0133125905034217,-1,1,1567,108,16,5,35
2,27,9,26.470580294072708,0.9803918627434336,-1,1,1567,108,17,5,35
2,28,9,26.587445165808166,0.9495516130645774,-1,2,1567,108,13,5,35
2,29,9,26.703116741318397,0.9207971290109792,-1,2,1567,108,14,5,35
2,30,9,26.825620460747334,0.8941873486915778,-1,2,1567,108,14,5,35
2,31,9,26.944411264432144,0.8691745569171659,-1,2,1567,108,11,5,35
2,32,9,27.06322969985224,0.8457259281203825,-1,2,1567,108,11,5,35
2,33,9,27.17342624438532,0.8234371589207672,-1,2,1567,108,12,5,35
2,34,9,27.287347152095716,0.8025690338851681,-1,1,1567,108,14,5,35
2,35,9,27.41285838854087,0.7832245253868819,-1,1,1567,108,15,5,35
2,36,9,27.578749063974954,0.7660763628881931,-1,1,1567,108,15,5,35
2,37,8,27.70906624866429,0.7488936823963321,0,5,1567,108,13,5,35
2,38,8,37.964859143281984,0.9990752406126838,0,5,1098,69,13,5,35
2,39,8,38.07179751148591,0.9761999361919464,0,4,1098,69,15,5,35
2,40,8,38.205134450102804,0.9551283612525701,0,4,1098,69,15,5,35
2,41,8,38.314978492641465,0.9345116705522308,0,1,1098,69,14,5,35
2,42,8,38.44313961250044,0.9153128479166771,0,1,1098,69,12,5,35
2,43,8,38.55864539759896,0.896712683665092,0,1,1098,69,13,5,35
2,44,8,38.67764304455933,0.879037341921803,0,1,1098,69,16,5,35
2,45,8,38.792303693297214,0.8620511931843825,0,1,1098,69,15,5,35
2,46,8,38.90513827907184,0.8457638756319966,0,1,1098,69,13,5,35
2,47,8,39.041329181204574,0.8306665783235015,0,1,1098,69,9,5,35
2,48,8,39.15766983944778,0.8157847883218287,0,1,1098,69,8,5,35
2,49,8,39.26842770294621,0.8013964837335962,0,1,1098,69,9,5,35
2,50,7,39.40187161585256,0.7880374323170513,-1,2,1098,69,16,5,35
2,51,7,44.97489104214668,0.8818606086695427,-1,2,584,30,16,5,35
2,52,7,45.081765462620375,0.8669570281273149,-1,2,584,30,9,5,35
2,53,7,45.20224496007016,0.8528725464164181,-1,1,584,30,8,5,35
2,54,7,45.31026925547078,0.8390790602864959,-1,1,584,30,12,5,35
2,55,7,45.4299798012015,0.8259996327491181,-1,1,584,30,10,5,35
2,56,7,45.542097935554104,0.8132517488491804,-1,1,584,30,7,5,35
2,57,7,45.7190705157937,0.8020889564174334,-1,1,584,30,4,5,35
2,58,6,45.849069540788186,0.7905011989791066,1,4,584,30,2,5,35
2,59,6,50.25757514154356,0.8518233074837892,1,4,466,102,2,5,35
2,60,6,50.3695444592647,0.8394924076544117,1,3,466,102,4,5,35
2,61,6,50.48446958318317,0.8276142554620192,1,2,466,102,4,5,35
2,62,6,50.594823233868304,0.816045536030134,1,1,466,102,10,5,35
2,63,6,50.709320855368006,0.8049098548471112,1,1,466,102,14,5,35
2,64,6,50.82299899854697,0.7941093593522964,1,1,466,102,14,5,35
2,65,6,50.95748581209078,0.7839613201860121,1,3,466,102,15,5,35
2,66,6,51.094706193732414,0.7741622150565517,1,3,466,102,15,5,35
2,67,6,51.22265612818599,0.764517255644567,1,3,466,102,13,5,35
2,68,6,51.353191208845,0.7551939883653676,1,2,466,102,8,5,35
2,69,6,51.51434067324328,0.7465846474383084,1,1,466,102,11,5,35
2,70,6,51.6426829783379,0.7377526139762557,1,1,466,102,13,5,35
2,71,6,51.76685249666545,0.7291105985445838,1,1,466,102,16,5,35
2,72,6,51.90375195543871,0.7208854438255377,1,1,466,102,17,5,35
2,73,6,52.02813858025776,0.7127142271268186,1,1,466,102,14,5,35
2,74,6,52.16321316028498,0.704908285949797,1,1,466,102,13,5,35
2,75,6,52.29665707319133,0.6972887609758843,1,1,466,102,15,5,35
2,76,6,52.43008953866449,0.6898695991929538,1,1,466,102,15,5,35
2,77,6,52.554826691782594,0.6825302167763974,1,1,466,102,14,5,35
2,78,6,52.69971685366113,0.6756373955597581,1,1,466,102,14,5,35
2,79,5,52.82993693253789,0.6687333788928846,0,5,466,102,16,5,35
2,80,5,55.39216735042051,0.6924020918802564,0,5,266,354,16,5,35
2,81,5,55.49910690284166,0.6851741592943414,0,5,266,354,14,5,35
2,82,5,55.613467155143084,0.6782130140871108,0,5,266,354,14,5,35
2,83,5,55.75793928834068,0.6717824010643455,0,5,266,354,15,5,35
2,84,5,55.90587091479594,0.6655460823189993,0,4,266,354,15,5,35
2,85,5,56.012877967598996,0.6589750349129294,0,3,266,354,13,5,35
2,86,5,56.13212508965508,0.6526991289494777,0,2,266,354,12,5,35
2,87,5,56.28368476295323,0.6469389053213015,0,2,266,354,9,5,35
2,88,5,56.40007160566826,0.6409099046098666,0,1,266,354,14,5,35
2,89,5,56.5273196940456,0.6351384235286023,0,1,266,354,10,5,35
2,90,5,56.64708234533428,0.6294120260592698,0,1,266,354,12,5,35
2,91,5,56.78153797449113,0.6239729447746278,0,2,266,354,10,5,35
2,92,5,56.89472387804295,0.6184209117178582,0,3,266,354,8,5,35
2,93,5,57.04168602532879,0.6133514626379439,0,3,266,354,6,5,35
2,94,5,57.172920583629576,0.6082225594003147,0,3,266,354,5,5,35
2,95,5,57.30281895015982,0.6031875678964191,0,6,266,354,4,5,35
2,96,5,57.451756766518514,0.5984557996512345,0,9,266,354,9,5,35
2,97,5,57.58858517225818,0.593696754353177,0,12,266,354,13,5,35
2,98,5,57.72012249542988,0.5889808417901008,0,8,266,354,13,5,35
2,99,5,57.85564036743888,0.5844004077519079,0,4,266,354,13,5,35
2,100,5,57.98873414678526,0.5798873414678526,0,4,266,354,16,5,35
2,101,5,58.11183273800097,0.575364680574267,0,4,266,354,16,5,35
2,102,5,58.258202776673556,0.5711588507517016,0,4,266,354,18,5,35
2,103,5,58.39250327337375,0.566917507508483,0,4,266,354,19,5,35
2,104,5,58.52510678678837,0.5627414114114266,0,4,266,354,20,5,35
2,105,5,58.72336567167416,0.5592701492540396,0,3,266,354,18,5,35
2,106,5,58.8516850819024,0.5552045762443623,0,2,266,354,14,5,35
2,107,5,58.98017344045496,0.5512165742098595,0,1,266,354,14,5,35
2,108,5,59.15612759387979,0.5477419221655536,0,1,266,354,17,5,35
2,109,5,59.28633148845445,0.5439112980592151,0,1,266,354,17,5,35
2,110,5,59.42536174875724,0.5402305613523385,0,2,266,354,13,5,35
2,111,5,59.65600621161407,0.5374414974019286,0,1,266,354,17,5,35
2,112,5,59.7848814144606,0.533793584057684,0,1,266,354,17,5,35
2,113,5,59.91223174025849,0.5301967410642344,0,1,266,354,18,5,35
2,114,4,60.04750329508438,0.5267324850445998,1,1,266,354,17,5,35
2,115,4,61.54772257264082,0.535197587588181,1,1,154,84,17,5,35
2,116,4,61.65585305285275,0.5315159745935581,1,1,154,84,18,5,35
2,117,4,61.79090197484007,0.5281273673063254,1,2,154,84,17,5,35
2,118,4,61.92120100153194,0.5247559406909487,1,2,154,84,17,5,35
2,119,4,62.05086607726855,0.5214358493888114,1,4,154,84,13,5,35
2,120,4,62.16538935680816,0.5180449113067347,1,2,154,84,17,5,35
2,121,4,62.30748989764017,0.5149379330383484,1,2,154,84,17,5,35
2,122,4,62.44212118568561,0.5118206654564394,1,1,154,84,14,5,35
2,123,4,62.578590773605654,0.5087690306797208,1,1,154,84,14,5,35
2,124,4,62.71107744425392,0.5057344955181767,1,1,154,84,18,5,35
2,125,4,62.83688355078847,0.5026950684063077,1,2,154,84,20,5,35
2,126,4,62.98609768450001,0.4998896641626985,1,2,154,84,19,5,35
2,127,4,63.12327227640888,0.4970336399717235,1,2,154,84,18,5,35
2,128,4,63.24643205218129,0.49411275040766633,1,2,154,84,16,5,35
2,129,4,63.37887056466235,0.4913090741446694,1,1,154,84,16,5,35
2,130,4,63.50875985219385,0.4885289219399527,1,1,154,84,10,5,35
2,131,3,63.63705005173051,0.4857790080284772,2,4,154,84,13,5,35
