mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00011250063651675925,0.00011250063651675925,0,2,0,[],21,1,5
2,2,10,3.928360778883354,1.964180389441677,0,2,1236,18,21,1,5
2,3,10,3.9634692669971683,1.3211564223323895,0,1,1236,18,13,1,5
2,4,10,3.9983602538803833,0.9995900634700958,0,1,1236,18,6,1,5
2,5,10,4.034369931303559,0.8068739862607117,0,1,1236,18,0,1,5
2,6,9,4.069140522768747,0.6781900871281246,1,2,1236,18,0,1,5
2,7,9,4.115301704996489,0.5879002435709271,1,2,4,15,0,1,5
2,8,9,4.176656394240126,0.5220820492800158,1,1,4,15,0,1,5
2,9,9,4.2546568355584125,0.4727396483953792,1,1,4,15,2,1,5
2,10,8,4.303400795557133,0.4303400795557133,3,3,4,15,2,1,5
2,11,8,7.048023166446864,0.6407293787678967,3,3,955,45,2,1,5
2,12,8,7.081752830969965,0.590146069247497,3,2,955,45,2,1,5
2,13,8,7.116282236860025,0.5474063259123096,3,1,955,45,2,1,5
2,14,8,7.16017959048979,0.5114413993206993,3,1,955,45,2,1,5
2,15,8,7.216828595214423,0.4811219063476282,3,3,955,45,3,1,5
2,16,8,7.2700366594179435,0.45437729121362147,3,2,955,45,4,1,5
2,17,8,7.329919761388126,0.4311717506698898,3,1,955,45,4,1,5
2,18,8,7.388557461575113,0.4104754145319507,3,1,955,45,5,1,5
2,19,7,7.433778770064096,0.3912515142138998,2,1,955,45,6,1,5
2,20,7,10.117501980603313,0.5058750990301657,2,1,924,12,6,1,5
2,21,7,10.153850344153264,0.48351668305491735,2,1,924,12,7,1,5
2,22,7,10.1893129132178,0.46315058696444544,2,1,924,12,5,1,5
2,23,6,10.248654038437325,0.4455936538451011,3,6,924,12,8,1,5
2,24,6,13.439193800701768,0.5599664083625736,3,6,1118,60,8,1,5
2,25,6,13.472091355253722,0.5388836542101489,3,3,1118,60,7,1,5
2,26,6,13.50807892728867,0.5195414972034104,3,3,1118,60,6,1,5
2,27,6,13.5444695279197,0.5016470195525815,3,3,1118,60,3,1,5
2,28,6,13.617480862062772,0.4863386022165276,3,2,1118,60,3,1,5
2,29,6,13.66739443394219,0.47128946323938586,3,1,1118,60,3,1,5
2,30,6,13.74667817199492,0.45822260573316403,3,1,1118,60,3,1,5
2,31,5,13.796969509169594,0.4450635325538579,4,11,1118,60,3,1,5
2,32,5,14.91416951438015,0.4660677973243797,4,11,385,207,3,1,5
2,33,5,14.949086554042347,0.4530026228497681,4,10,385,207,3,1,5
2,34,5,15.000782767586715,0.44119949316431517,4,9,385,207,3,1,5
2,35,5,15.074816870674406,0.43070905344784016,4,8,385,207,3,1,5
2,36,5,15.116410527059566,0.4199002924183213,4,7,385,207,3,1,5
2,37,5,15.167782659822949,0.40994007188710674,4,6,385,207,3,1,5
2,38,5,15.230194460310772,0.4007945910608098,4,5,385,207,3,1,5
