mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,7.697411972199317e-05,7.697411972199317e-05,0,1,0,[],4,3,13
2,2,10,3.9097717263400305,1.9548858631700152,0,1,676,12,4,3,13
2,3,10,3.991620873644416,1.3305402912148054,0,1,676,12,0,3,13
2,4,10,4.082541519642808,1.020635379910702,0,1,676,12,0,3,13
2,5,9,4.183477090725645,0.8366954181451289,2,5,676,12,0,3,13
2,6,9,10.205196029398586,1.7008660048997644,2,5,862,132,0,3,13
2,7,9,10.268818494630954,1.4669740706615648,2,5,862,132,0,3,13
2,8,9,10.356361358360314,1.2945451697950392,2,5,862,132,0,3,13
2,9,9,10.420819880954586,1.1578688756616207,2,5,862,132,0,3,13
2,10,9,10.605058423356864,1.0605058423356863,2,5,862,132,0,3,13
2,11,9,10.701273309835827,0.9728430281668934,2,5,862,132,7,3,13
2,12,9,10.848000982110815,0.9040000818425679,2,4,862,132,9,3,13
2,13,9,10.953763817347909,0.84259721671907,2,3,862,132,11,3,13
2,14,9,11.13257548694025,0.7951839633528749,2,2,862,132,10,3,13
2,15,9,11.191310687678884,0.7460873791785922,2,1,862,132,10,3,13
2,16,9,11.294044689989686,0.7058777931243554,2,1,862,132,13,3,13
2,17,9,11.362625867488454,0.6683897569110855,2,1,862,132,12,3,13
2,18,9,11.458794569495584,0.6365996983053103,2,1,862,132,12,3,13
2,19,8,11.542219515189355,0.607485237641545,1,18,862,132,9,3,13
2,20,8,19.036015203770226,0.9518007601885113,1,18,976,378,9,3,13
2,21,8,19.11006904381169,0.9100032878005567,1,21,976,378,10,3,13
2,22,8,19.182224583639087,0.8719192992563222,1,24,976,378,13,3,13
2,23,8,19.252719850914943,0.8370747761267366,1,16,976,378,13,3,13
2,24,8,19.324849732702432,0.8052020721959346,1,8,976,378,10,3,13
2,25,8,19.40121871742169,0.7760487486968676,1,8,976,378,16,3,13
2,26,8,19.480208769602246,0.7492387988308556,1,7,976,378,13,3,13
2,27,8,19.560535408292438,0.7244642743812014,1,6,976,378,13,3,13
2,28,8,19.637876240615565,0.7013527228791273,1,5,976,378,12,3,13
2,29,8,19.727686090855507,0.6802650376157071,1,4,976,378,12,3,13
2,30,8,19.806791012107034,0.6602263670702345,1,3,976,378,11,3,13
2,31,8,19.87580600784977,0.6411550325112829,1,2,976,378,10,3,13
2,32,8,19.95869134522734,0.6237091045383544,1,1,976,378,9,3,13
2,33,8,20.03796639902041,0.6072111030006184,1,1,976,378,6,3,13
2,34,8,20.133509834331957,0.5921620539509399,1,1,976,378,6,3,13
2,35,7,20.210025267248223,0.5774292933499492,2,5,976,378,13,3,13
2,36,7,25.08751681095038,0.6968754669708439,2,5,882,57,13,3,13
2,37,7,25.195892424128193,0.6809700655169781,2,4,882,57,6,3,13
2,38,7,25.338151255329475,0.6667934540876178,2,3,882,57,0,3,13
2,39,7,25.40539742527491,0.6514204468019208,2,2,882,57,0,3,13
2,40,7,25.468189754231506,0.6367047438557877,2,1,882,57,0,3,13
2,41,7,25.546941778749538,0.6230961409451107,2,1,882,57,2,3,13
2,42,7,25.651678687129415,0.6107542544554623,2,1,882,57,3,3,13
2,43,7,25.740775638599008,0.5986226892697444,2,1,882,57,5,3,13
