mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00015592193482147332,0.00015592193482147332,0,1,0,[],3,1,5
2,2,10,3.369667617856259,1.6848338089281294,0,1,993,27,3,1,5
2,3,10,3.4008583206457614,1.1336194402152537,0,3,993,27,3,1,5
2,4,10,3.4335616635725703,0.8583904158931426,0,2,993,27,3,1,5
2,5,10,3.4656575030621886,0.6931315006124377,0,1,993,27,0,1,5
2,6,10,3.49643451930057,0.582739086550095,0,1,993,27,0,1,5
2,7,9,3.5275466690140482,0.5039352384305783,-1,2,993,27,0,1,5
2,8,9,3.568522953485131,0.4460653691856414,-1,2,4,15,0,1,5
2,9,9,3.6054957942525196,0.4006106438058355,-1,1,4,15,0,1,5
2,10,9,3.636650575786152,0.3636650575786152,-1,1,4,15,0,1,5
2,11,8,3.6731548612709246,0.3339231692064477,0,5,4,15,2,1,5
2,12,8,3.732886778175192,0.311073898181266,0,5,7,51,2,1,5
2,13,8,3.7641374813041693,0.2895490370233976,0,4,7,51,2,1,5
2,14,8,3.8037144157526135,0.2716938868394724,0,3,7,51,2,1,5
2,15,8,3.8337240592282273,0.2555816039485485,0,2,7,51,2,1,5
2,16,8,3.8678974104721884,0.24174358815451177,0,1,7,51,2,1,5
2,17,8,3.8981241604393264,0.2293014212023133,0,1,7,51,9,1,5
2,18,7,3.93376752000044,0.21854264000002444,2,2,7,51,6,1,5
2,19,7,5.079967820870564,0.2673667274142402,2,2,400,33,6,1,5
2,20,7,5.1185140915928855,0.25592570457964425,2,1,400,33,7,1,5
2,21,7,5.157668260491473,0.24560325049959394,2,1,400,33,7,1,5
2,22,7,5.188664356916757,0.23584837985985257,2,1,400,33,6,1,5
2,23,7,5.226687598364041,0.22724728688539308,2,1,400,33,5,1,5
2,24,7,5.263194647022342,0.21929977695926425,2,1,400,33,4,1,5
2,25,7,5.304518301879863,0.21218073207519453,2,1,400,33,3,1,5
2,26,7,5.337921911926603,0.20530468892025397,2,1,400,33,3,1,5
2,27,7,5.384607307646604,0.19942990028320756,2,1,400,33,5,1,5
2,28,6,5.415502745607636,0.19341081234312987,1,6,400,33,6,1,5
2,29,6,6.042662609801603,0.20836767620005528,1,6,204,60,6,1,5
2,30,6,6.083084285871614,0.20276947619572047,1,4,204,60,5,1,5
2,31,6,6.1490128167830385,0.19835525215429156,1,2,204,60,4,1,5
2,32,6,6.1963909795805385,0.19363721811189183,1,2,204,60,0,1,5
2,33,6,6.227877736676664,0.18872356777808072,1,1,204,60,0,1,5
2,34,6,6.261619638111107,0.18416528347385608,1,1,204,60,0,1,5
2,35,6,6.325308024769086,0.18072308642197388,1,1,204,60,0,1,5
2,36,6,6.374623961688201,0.17707288782467223,1,1,204,60,0,1,5
2,37,6,6.425379906754735,0.17365891639877662,1,1,204,60,0,1,5
2,38,5,6.47145266742956,0.17030138598498842,3,2,204,60,0,1,5
2,39,5,7.303683823474252,0.18727394419164747,3,2,284,27,0,1,5
2,40,5,7.338911128049794,0.18347277820124486,3,2,284,27,0,1,5
2,41,5,7.409036524811903,0.18070820792224154,3,2,284,27,0,1,5
2,42,5,7.465637766108401,0.17775328014543812,3,1,284,27,0,1,5
2,43,5,7.4977636057677515,0.17436659548297095,3,1,284,27,0,1,5
2,44,4,7.5289641770341404,0.17111282220532137,5,11,284,27,0,1,5
2,45,4,9.242191765032338,0.20538203922294085,5,11,648,237,0,1,5
2,46,4,9.27323207223408,0.2015920015703061,5,11,648,237,0,1,5
2,47,4,9.306409891529633,0.19800872109637516,5,10,648,237,0,1,5
2,48,4,9.364203639573205,0.19508757582444178,5,9,648,237,0,1,5
2,49,4,9.39771698708293,0.1917901425935292,5,8,648,237,0,1,5
2,50,4,9.429214007395025,0.1885842801479005,5,7,648,237,0,1,5
2,51,4,9.46030720963288,0.18549621979672315,5,6,648,237,0,1,5
2,52,4,9.491905283148299,0.1825366400605442,5,5,648,237,0,1,5
2,53,4,9.539161076832393,0.17998417126098853,5,4,648,237,0,1,5
2,54,4,9.57536378166349,0.17732155151228687,5,3,648,237,1,1,5
2,55,4,9.606178298114045,0.1746577872384372,5,2,648,237,2,1,5
2,56,4,9.638010846640306,0.17210733654714833,5,1,648,237,3,1,5
2,57,4,9.671521430976505,0.16967581457853517,5,1,648,237,3,1,5
2,58,3,9.70272634437272,0.16728838524780554,4,5,648,237,3,1,5
2,59,3,11.565734911394877,0.19602940527787927,4,5,656,288,3,1,5
2,60,3,11.596701402389499,0.19327835670649166,4,4,656,288,3,1,5
2,61,3,11.630648962882276,0.19066637644069304,4,3,656,288,3,1,5
2,62,3,11.662794934234483,0.18810959571345942,4,2,656,288,2,1,5
2,63,3,11.695936437535096,0.1856497847227793,4,1,656,288,1,1,5
2,64,3,11.76102022682496,0.18376594104414,4,1,656,288,0,1,5
2,65,3,11.807781017708379,0.18165816950320582,4,12,656,288,0,1,5
2,66,3,11.848529142993826,0.1795231688332398,4,11,656,288,0,1,5
2,67,3,11.894183480248628,0.17752512657087505,4,10,656,288,0,1,5
2,68,3,11.92976289207951,0.17543768958940453,4,9,656,288,0,1,5
2,69,3,11.965294540482247,0.17341006580409055,4,8,656,288,0,1,5
