mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00017171149784136935,0.00017171149784136935,0,1,0,[],9,3,14
2,2,10,1.7512010923219699,0.8756005461609849,0,1,338,12,9,3,14
2,3,10,1.808924971549181,0.6029749905163937,0,1,338,12,4,3,14
2,4,10,1.8698987375849627,0.4674746843962407,0,1,338,12,5,3,14
2,5,9,1.9365484567873217,0.38730969135746435,2,5,338,12,0,3,14
2,6,9,2.292763366950629,0.38212722782510483,2,5,56,102,0,3,14
2,7,9,2.3539167392657614,0.3362738198951088,2,4,56,102,5,3,14
2,8,9,2.4137966833233397,0.30172458541541747,2,3,56,102,4,3,14
2,9,9,2.480618903501691,0.275624322611299,2,2,56,102,6,3,14
2,10,9,2.542201751930965,0.2542201751930965,2,2,56,102,8,3,14
2,11,9,2.6011114273409706,0.2364646752128155,2,2,56,102,8,3,14
2,12,9,2.661324925917344,0.22177707715977868,2,2,56,102,7,3,14
2,13,9,2.7298986033736776,0.20999220025951365,2,2,56,102,6,3,14
2,14,9,2.7981714896544814,0.19986939211817725,2,2,56,102,4,3,14
2,15,9,2.8543799655708586,0.1902919977047239,2,1,56,102,5,3,14
2,16,9,2.9106764683010713,0.18191727926881696,2,1,56,102,11,3,14
2,17,9,2.972524976128156,0.17485441036047977,2,3,56,102,18,3,14
2,18,9,3.03484243397693,0.1686023574431628,2,2,56,102,19,3,14
2,19,9,3.0901280099347943,0.1626383163123576,2,1,56,102,19,3,14
2,20,9,3.1523803358361118,0.1576190167918056,2,1,56,102,20,3,14
2,21,8,3.208304204879054,0.1527763907085264,3,14,56,102,19,3,14
2,22,8,3.8843900037855477,0.17656318199025217,3,14,140,207,19,3,14
2,23,8,3.9420215140690917,0.1713922397421344,3,12,140,207,17,3,14
2,24,8,4.000145263979782,0.16667271933249092,3,10,140,207,19,3,14
2,25,8,4.055003732257958,0.16220014929031834,3,8,140,207,20,3,14
2,26,8,4.10694665772451,0.15795948683555808,3,6,140,207,20,3,14
2,27,8,4.177987454402704,0.15474027608898902,3,4,140,207,20,3,14
2,28,8,4.239794119887783,0.15142121856742083,3,2,140,207,21,3,14
2,29,8,4.297174181380235,0.14817842004759432,3,2,140,207,21,3,14
2,30,8,4.356823992556798,0.14522746641855994,3,2,140,207,21,3,14
2,31,8,4.427102942819278,0.142809772349009,3,2,140,207,18,3,14
