mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.000126711,0.000126711,0,3,0,[],1,2,11
2,2,10,1.714991282,0.857495641,0,3,323,33,1,2,11
2,3,10,1.770246858,0.590082286,0,3,323,33,0,2,11
2,4,10,1.825834015,0.456458504,0,2,323,33,1,2,11
2,5,10,1.893935189,0.378787038,0,1,323,33,2,2,11
2,6,10,1.983361353,0.330560226,0,1,323,33,6,2,11
2,7,9,2.046740659,0.292391523,1,3,323,33,5,2,11
2,8,9,4.711880344,0.588985043,1,3,590,51,5,2,11
2,9,9,4.773028584,0.530336509,1,3,590,51,5,2,11
2,10,9,4.83230142,0.483230142,1,3,590,51,10,2,11
2,11,9,4.900962334,0.44554203,1,2,590,51,10,2,11
2,12,9,4.968101925,0.414008494,1,1,590,51,10,2,11
2,13,9,5.02658844,0.386660649,1,1,590,51,10,2,11
2,14,9,5.084784032,0.363198859,1,1,590,51,6,2,11
2,15,9,5.151478752,0.343431917,1,1,590,51,7,2,11
2,16,9,5.212130805,0.325758175,1,1,590,51,7,2,11
2,17,8,5.281384618,0.310669683,3,1,590,51,4,2,11
2,18,8,7.999215259,0.444400848,3,1,603,357,4,2,11
2,19,8,8.056942296,0.424049595,3,1,603,357,7,2,11
2,20,8,8.123810701,0.406190535,3,1,603,357,7,2,11
2,21,8,8.193380305,0.390160967,3,1,603,357,5,2,11
2,22,8,8.263399911,0.375609087,3,1,603,357,5,2,11
2,23,8,8.321153396,0.361789278,3,2,603,357,6,2,11
2,24,8,8.379195435,0.349133143,3,3,603,357,9,2,11
2,25,8,8.445668706,0.337826748,3,3,603,357,9,2,11
2,26,8,8.515860024,0.327533078,3,3,603,357,12,2,11
2,27,8,8.578859591,0.31773554,3,3,603,357,9,2,11
2,28,8,8.650966973,0.308963106,3,3,603,357,10,2,11
2,29,8,8.712567979,0.300433379,3,3,603,357,10,2,11
2,30,8,8.771557786,0.29238526,3,3,603,357,11,2,11
2,31,8,8.830178513,0.284844468,3,3,603,357,11,2,11
2,32,8,8.888327526,0.277760235,3,3,603,357,11,2,11
2,33,8,8.944194158,0.271036187,3,3,603,357,8,2,11
2,34,8,8.998683545,0.264667163,3,3,603,357,10,2,11
2,35,8,9.058295067,0.25880843,3,6,603,357,9,2,11
2,36,8,9.12624032,0.253506676,3,9,603,357,8,2,11
2,37,8,9.189410809,0.248362454,3,12,603,357,6,2,11
2,38,8,9.247676664,0.243359912,3,15,603,357,5,2,11
2,39,8,9.306505418,0.238628344,3,10,603,357,5,2,11
2,40,8,9.364469694,0.234111742,3,5,603,357,6,2,11
2,41,8,9.423699897,0.229846339,3,5,603,357,5,2,11
2,42,8,9.483194971,0.225790356,3,5,603,357,5,2,11
2,43,8,9.545877957,0.221997162,3,4,603,357,6,2,11
2,44,8,9.602748016,0.218244273,3,3,603,357,7,2,11
2,45,8,9.659113992,0.214646978,3,2,603,357,8,2,11
2,46,8,9.716669318,0.211231942,3,1,603,357,9,2,11
2,47,8,9.774234512,0.207962436,3,1,603,357,7,2,11
2,48,7,9.833645506,0.204867615,2,4,603,357,10,2,11
2,49,7,11.26059292,0.229808019,2,4,302,138,10,2,11
2,50,7,11.31876088,0.226375218,2,3,302,138,9,2,11
2,51,7,11.37717042,0.223081773,2,3,302,138,6,2,11
2,52,7,11.44526765,0.220101301,2,3,302,138,8,2,11
2,53,7,11.50497628,0.217075024,2,3,302,138,7,2,11
2,54,7,11.56820243,0.214225971,2,3,302,138,6,2,11
2,55,7,11.62601354,0.211382064,2,4,302,138,7,2,11
2,56,7,11.68726007,0.208701073,2,4,302,138,6,2,11
2,57,7,11.75302518,0.206193424,2,4,302,138,5,2,11
2,58,7,11.8164937,0.20373265,2,3,302,138,5,2,11
2,59,7,11.88066722,0.201367241,2,2,302,138,6,2,11
2,60,7,11.94275454,0.199045909,2,1,302,138,5,2,11
2,61,7,12.01382258,0.196947911,2,1,302,138,5,2,11
2,62,7,12.07448332,0.194749731,2,3,302,138,5,2,11
2,63,7,12.14098738,0.192714085,2,2,302,138,5,2,11
2,64,7,12.20473221,0.190698941,2,1,302,138,6,2,11
2,65,7,12.26757388,0.188731906,2,1,302,138,7,2,11
2,66,6,12.33102977,0.186833784,1,1,302,138,8,2,11
2,67,6,13.1903795,0.196871336,1,1,160,15,8,2,11
2,68,6,13.25963094,0.194994573,1,1,160,15,6,2,11
2,69,6,13.33250885,0.193224766,1,1,160,15,0,2,11
2,70,6,13.40243688,0.191463384,1,1,160,15,0,2,11
2,71,5,13.46818975,0.189692813,2,1,160,15,4,2,11
2,72,5,14.0253908,0.194797094,2,1,91,72,4,2,11
2,73,5,14.08762221,0.192981126,2,1,91,72,4,2,11
2,74,5,14.15033677,0.191220767,2,4,91,72,12,2,11
2,75,5,14.21145462,0.189486062,2,4,91,72,17,2,11
2,76,5,14.27221207,0.187792264,2,4,91,72,24,2,11
2,77,5,14.33331136,0.186146901,2,3,91,72,24,2,11
2,78,5,14.4049419,0.184678742,2,2,91,72,24,2,11
2,79,5,14.47246833,0.183195802,2,1,91,72,24,2,11
2,80,5,14.53033116,0.181629139,2,1,91,72,24,2,11
2,81,5,14.59141506,0.180140927,2,1,91,72,24,2,11
2,82,5,14.66071466,0.178789203,2,1,91,72,21,2,11
2,83,4,14.71986039,0.177347716,4,14,91,72,14,2,11
2,84,4,17.03990496,0.202856011,4,14,491,675,14,2,11
2,85,4,17.10845772,0.201275973,4,14,491,675,14,2,11
2,86,4,17.19812033,0.199978143,4,14,491,675,10,2,11
2,87,4,17.26596256,0.19845934,4,14,491,675,10,2,11
2,88,4,17.33243859,0.196959529,4,13,491,675,3,2,11
2,89,4,17.41431221,0.195666429,4,12,491,675,4,2,11
2,90,4,17.47662849,0.194184761,4,11,491,675,5,2,11
2,91,4,17.56158028,0.192984399,4,11,491,675,6,2,11
2,92,4,17.62699131,0.191597732,4,11,491,675,11,2,11
2,93,4,17.69559144,0.190275177,4,11,491,675,10,2,11
2,94,4,17.75292097,0.188860861,4,11,491,675,11,2,11
2,95,4,17.81283407,0.187503517,4,10,491,675,9,2,11
2,96,4,17.87670483,0.186215675,4,9,491,675,10,2,11
2,97,4,17.93622872,0.184909574,4,8,491,675,6,2,11
2,98,4,18.01945708,0.183872011,4,7,491,675,6,2,11
2,99,4,18.08719984,0.182698988,4,6,491,675,6,2,11
2,100,4,18.15679786,0.181567979,4,5,491,675,6,2,11
2,101,4,18.22775458,0.180472818,4,4,491,675,3,2,11
2,102,4,18.30222724,0.1794336,4,4,491,675,3,2,11
2,103,4,18.36865551,0.178336461,4,4,491,675,3,2,11
2,104,4,18.44464831,0.177352388,4,4,491,675,3,2,11
2,105,4,18.50995236,0.176285261,4,4,491,675,3,2,11
2,106,4,18.57848775,0.175268752,4,4,491,675,0,2,11
2,107,4,18.64431996,0.174245981,4,4,491,675,2,2,11
