mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,7.342146804251656e-05,7.342146804251656e-05,0,2,0,[],13,2,13
2,2,10,5.876775487019202,2.938387743509601,0,2,931,63,13,2,13
2,3,10,5.938423862135009,1.9794746207116696,0,1,931,63,6,2,13
2,4,10,5.9997138141702635,1.4999284535425659,0,1,931,63,0,2,13
2,5,10,6.062036008887945,1.2124072017775889,0,5,931,63,0,2,13
2,6,10,6.124630968306794,1.0207718280511322,0,4,931,63,1,2,13
2,7,10,6.184808940366372,0.8835441343380531,0,3,931,63,2,2,13
2,8,10,6.254381702422788,0.7817977128028485,0,2,931,63,2,2,13
2,9,10,6.333581755791511,0.7037313061990568,0,1,931,63,3,2,13
2,10,10,6.422640812309857,0.6422640812309857,0,1,931,63,9,2,13
2,11,9,6.518431749021736,0.5925847044565214,1,4,931,63,8,2,13
2,12,9,10.434990224286793,0.869582518690566,1,4,738,702,8,2,13
2,13,9,10.49602399066205,0.8073864608201576,1,3,738,702,11,2,13
2,14,9,10.56194857418272,0.7544248981559086,1,3,738,702,10,2,13
2,15,9,10.632266603613676,0.708817773574245,1,3,738,702,5,2,13
2,16,9,10.695745383822565,0.6684840864889103,1,3,738,702,4,2,13
2,17,9,10.813114337357433,0.6360655492563196,1,2,738,702,3,2,13
2,18,9,10.895714673122491,0.6053174818401383,1,1,738,702,3,2,13
2,19,9,10.977040396412768,0.5777389682322509,1,1,738,702,4,2,13
2,20,9,11.037626923415488,0.5518813461707743,1,7,738,702,2,2,13
2,21,9,11.121664504154431,0.5296030716264015,1,7,738,702,0,2,13
2,22,9,11.21551332461486,0.5097960602097664,1,7,738,702,0,2,13
2,23,9,11.295328776202286,0.4911012511392298,1,14,738,702,0,2,13
2,24,9,11.398382517164244,0.47493260488184347,1,21,738,702,0,2,13
2,25,9,11.47086332198985,0.45883453287959397,1,28,738,702,0,2,13
2,26,9,11.550149033737956,0.44423650129761366,1,24,738,702,0,2,13
2,27,9,11.634187009215974,0.4308958151561472,1,20,738,702,0,2,13
2,28,9,11.710614415318407,0.41823622911851455,1,16,738,702,0,2,13
2,29,9,11.776131628113163,0.40607350441769524,1,12,738,702,3,2,13
2,30,9,11.851254421571074,0.39504181405236916,1,8,738,702,4,2,13
2,31,9,11.928490648039197,0.3847900209044902,1,4,738,702,7,2,13
2,32,9,12.00442778820986,0.3751383683815581,1,4,738,702,9,2,13
2,33,9,12.110405361504025,0.3669819806516371,1,4,738,702,11,2,13
2,34,9,12.218960186222112,0.3593811819477092,1,4,738,702,13,2,13
2,35,9,12.37290960988333,0.3535117031395237,1,4,738,702,13,2,13
2,36,9,12.509600646424722,0.3474889068451312,1,4,738,702,10,2,13
2,37,9,12.6567392420773,0.34207403356965677,1,4,738,702,10,2,13
2,38,9,12.78434259562259,0.33643006830585764,1,4,738,702,6,2,13
2,39,9,12.927258272645503,0.33146816083706415,1,3,738,702,6,2,13
2,40,9,13.05979902254711,0.3264949755636778,1,2,738,702,3,2,13
2,41,9,13.171876498774935,0.32126528045792524,1,2,738,702,4,2,13
2,42,9,13.27891473596496,0.3161646365705943,1,2,738,702,6,2,13
2,43,9,13.400112658532151,0.3116305269426082,1,2,738,702,10,2,13
2,44,9,13.545747298307084,0.30785789314334283,1,2,738,702,12,2,13
2,45,9,13.640995468790152,0.30313323263978115,1,2,738,702,11,2,13
2,46,9,13.704229116033162,0.2979180242615905,1,1,738,702,14,2,13
2,47,9,13.772345290900994,0.2930286232106594,1,1,738,702,14,2,13
2,48,8,13.8569070851322,0.2886855642735875,2,1,738,702,12,2,13
2,49,8,20.254553808659715,0.4133582409930554,2,1,770,15,12,2,13
2,50,8,20.41958829503904,0.4083917659007808,2,1,770,15,14,2,13
2,51,8,20.647733664808896,0.40485752283939014,2,1,770,15,14,2,13
2,52,8,20.758221921518768,0.3991965754138225,2,1,770,15,15,2,13
2,53,7,20.95776528735623,0.3954295337237025,1,6,770,15,12,2,13
2,54,7,24.669135233265138,0.45683583765305813,1,6,262,126,12,2,13
2,55,7,24.808499048086723,0.45106361905612224,1,5,262,126,10,2,13
2,56,7,24.961436755497438,0.44573994206245426,1,5,262,126,6,2,13
2,57,7,25.0972534449866,0.44030269201730876,1,5,262,126,4,2,13
2,58,7,25.233924349835142,0.43506766120405416,1,5,262,126,3,2,13
2,59,7,25.38412533123543,0.43023941239382085,1,4,262,126,6,2,13
2,60,7,25.51203302860793,0.42520055047679883,1,3,262,126,6,2,13
2,61,7,25.655376997527753,0.4205799507791435,1,2,262,126,6,2,13
2,62,7,25.776449787808012,0.4157491901259357,1,1,262,126,6,2,13
2,63,7,25.864386206395643,0.41054581279993085,1,1,262,126,3,2,13
2,64,7,25.952443415140372,0.4055069283615683,1,1,262,126,3,2,13
2,65,7,26.02708344270895,0.40041666834936845,1,1,262,126,3,2,13
2,66,7,26.107692714577198,0.39557110173601817,1,1,262,126,9,2,13
2,67,7,26.195992293114287,0.3909849595987207,1,1,262,126,10,2,13
2,68,6,26.27962131891009,0.3864650193957366,0,3,262,126,9,2,13
2,69,6,27.545690455880205,0.39921290515768415,0,3,206,75,9,2,13
2,70,6,27.61064358653607,0.3944377655219439,0,1,206,75,10,2,13
2,71,6,27.68846007944518,0.3899783109781011,0,1,206,75,6,2,13
2,72,6,27.77310832153391,0.38573761557685987,0,1,206,75,5,2,13
2,73,6,27.87086071671193,0.3817926125576977,0,2,206,75,11,2,13
2,74,6,27.956906335127925,0.3777960315557828,0,2,206,75,12,2,13
2,75,6,28.050409364158227,0.37400545818877634,0,2,206,75,13,2,13
2,76,6,28.114692622602988,0.3699301660868814,0,2,206,75,14,2,13
2,77,6,28.19244595726002,0.36613566178259765,0,2,206,75,14,2,13
2,78,6,28.28882466045532,0.36267723923660666,0,2,206,75,14,2,13
2,79,6,28.367760633382545,0.35908557763775373,0,2,206,75,10,2,13
2,80,6,28.432178892591125,0.3554022361573891,0,1,206,75,3,2,13
2,81,6,28.515110809179603,0.35203840505160006,0,1,206,75,4,2,13
2,82,6,28.607840544360997,0.34887610419952436,0,1,206,75,9,2,13
2,83,6,28.72198171647551,0.3460479724876568,0,1,206,75,9,2,13
2,84,5,28.8156911940423,0.34304394278621786,1,3,206,75,8,2,13
2,85,5,29.23386434949569,0.3439278158764199,1,3,63,57,8,2,13
2,86,5,29.297634841881376,0.340670172580016,1,2,63,57,9,2,13
2,87,5,29.35802715725896,0.3374485880144708,1,2,63,57,9,2,13
2,88,5,29.42686609937404,0.33439620567470496,1,2,63,57,4,2,13
2,89,5,29.51947543913741,0.33167949931615065,1,1,63,57,3,2,13
2,90,5,29.60962160706967,0.32899579563410747,1,1,63,57,10,2,13
2,91,5,29.683800974137142,0.3261956151004082,1,3,63,57,17,2,13
2,92,5,29.76129457048249,0.3234923322878532,1,2,63,57,17,2,13
2,93,5,29.843744905398864,0.3209004828537512,1,1,63,57,17,2,13
2,94,5,29.935893189922055,0.31846694882895804,1,1,63,57,17,2,13
2,95,4,30.02409171525582,0.3160430706869034,3,1,63,57,17,2,13
2,96,4,30.68715822997426,0.3196578982288985,3,1,114,54,17,2,13
2,97,4,30.756208357494714,0.317074312963863,3,1,114,54,17,2,13
2,98,4,30.84867914384259,0.3147824402432917,3,1,114,54,17,2,13
2,99,4,30.93536305534367,0.31247841470044113,3,1,114,54,17,2,13
2,100,4,31.007632280024808,0.3100763228002481,3,1,114,54,17,2,13
2,101,4,31.073768443689943,0.3076610736999004,3,1,114,54,16,2,13
2,102,4,31.153382183609793,0.3054253155255862,3,1,114,54,15,2,13
2,103,4,31.236917261505624,0.30327104137384103,3,1,114,54,13,2,13
2,104,4,31.3109999174996,0.3010673068990346,3,1,114,54,13,2,13
2,105,4,31.391623005235502,0.29896783814510003,3,1,114,54,13,2,13
2,106,4,31.543447548453315,0.29757969385333316,3,1,114,54,16,2,13
2,107,4,31.60981779239023,0.2954188578728059,3,1,114,54,16,2,13
2,108,4,31.69307300028153,0.29345437963223636,3,1,114,54,16,2,13
2,109,4,31.76288892160845,0.29140265065695825,3,1,114,54,16,2,13
2,110,4,31.928532885120347,0.29025938986473043,3,1,114,54,16,2,13
2,111,4,32.02853805620224,0.28854538789371387,3,1,114,54,21,2,13
2,112,4,32.102512553689536,0.286629576372228,3,1,114,54,18,2,13
2,113,3,32.17897193365708,0.2847696631297087,5,6,114,54,12,2,13
2,114,3,33.913880960116046,0.29749018386066706,5,6,306,72,12,2,13
2,115,3,34.02515790549876,0.2958709383086849,5,5,306,72,12,2,13
2,116,3,34.11781145603858,0.29411906427619466,5,4,306,72,12,2,13
2,117,3,34.20238430296391,0.29232807096550345,5,3,306,72,14,2,13
2,118,3,34.28462068930135,0.29054763296018093,5,2,306,72,12,2,13
2,119,3,34.36512772374904,0.28878258591385747,5,1,306,72,13,2,13
2,120,3,34.44779871780861,0.28706498931507174,5,1,306,72,11,2,13
2,121,3,34.51519844125441,0.28524957389466454,5,1,306,72,12,2,13
2,122,2,34.596136925511615,0.28357489283206244,7,4,306,72,5,2,13
2,123,2,37.99568155451412,0.30890798011800097,7,4,648,42,5,2,13
2,124,2,38.05765519462814,0.30691657415022694,7,3,648,42,4,2,13
2,125,2,38.118729619128175,0.3049498369530254,7,2,648,42,4,2,13
2,126,2,38.18242629530674,0.3030351293278313,7,2,648,42,4,2,13
2,127,2,38.26537163302379,0.301302138842707,7,1,648,42,2,2,13
2,128,2,38.34173272296154,0.299544786898137,7,1,648,42,1,2,13
2,129,1,38.45408730602037,0.2980937000466695,8,68,648,42,0,2,13
2,130,1,45.16722015664044,0.3474401550510803,8,68,1241,1809,0,2,13
2,131,1,45.23148604656586,0.34527851943943405,8,64,1241,1809,0,2,13
2,132,1,45.33343175494289,0.3434350890525977,8,60,1241,1809,0,2,13
2,133,1,45.437618791790584,0.34163623151722244,8,56,1241,1809,1,2,13
2,134,1,45.50205678795294,0.339567587969798,8,52,1241,1809,2,2,13
2,135,1,45.566203071938475,0.3375274301625072,8,48,1241,1809,3,2,13
2,136,1,45.632749764242135,0.3355349247370745,8,44,1241,1809,4,2,13
2,137,1,45.71795221999287,0.33370768043790416,8,40,1241,1809,8,2,13
2,138,1,45.788850910603884,0.3318032674681441,8,36,1241,1809,12,2,13
2,139,1,45.85943025730282,0.3299239586856318,8,32,1241,1809,13,2,13
2,140,1,45.946254301175685,0.3281875307226835,8,24,1241,1809,11,2,13
2,141,1,46.01634496089915,0.32635705646027763,8,16,1241,1809,12,2,13
2,142,1,46.09392026823312,0.3246050723115008,8,14,1241,1809,13,2,13
2,143,1,46.16297671157878,0.32281801896208934,8,12,1241,1809,13,2,13
2,144,1,46.23174025853041,0.32105375179535006,8,10,1241,1809,12,2,13
2,145,1,46.30327842644374,0.31933295466512923,8,8,1241,1809,9,2,13
2,146,1,46.398358043341574,0.3177969728995998,8,6,1241,1809,5,2,13
2,147,1,46.469034495853094,0.3161158809241707,8,4,1241,1809,3,2,13
2,148,1,46.55202522856382,0.3145407110038096,8,2,1241,1809,2,2,13
2,149,1,46.63480240743468,0.31298525105660857,8,2,1241,1809,1,2,13
2,150,1,46.721359212953445,0.3114757280863563,8,2,1241,1809,7,2,13
2,151,1,46.80878326022108,0.3099919421206694,8,1,1241,1809,7,2,13
2,152,1,46.89216399513839,0.30850107891538414,8,1,1241,1809,7,2,13
