mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,7.381620711801396e-05,7.381620711801396e-05,0,5,0,[],22,6,29
2,2,10,8.302246578500379,4.151123289250189,0,5,978,42,22,6,29
2,3,10,8.406037692055362,2.802012564018454,0,1,978,42,23,6,29
2,4,10,8.530233263161884,2.132558315790471,0,1,978,42,24,6,29
2,5,10,8.641203891022016,1.7282407782044031,0,1,978,42,18,6,29
2,6,10,8.749999506576158,1.4583332510960263,0,1,978,42,12,6,29
2,7,10,8.856788663409546,1.2652555233442209,0,1,978,42,6,6,29
2,8,10,8.967243367298002,1.1209054209122502,0,1,978,42,6,6,29
2,9,10,9.078680182006295,1.0087422424451438,0,1,978,42,7,6,29
2,10,10,9.189500809017737,0.9189500809017737,0,1,978,42,7,6,29
2,11,9,9.322714194303996,0.8475194722094542,-1,2,978,42,8,6,29
2,12,9,13.823288737028383,1.1519407280856986,-1,2,540,30,8,6,29
2,13,9,13.937749647794062,1.072134588291851,-1,1,540,30,7,6,29
2,14,9,14.054640967047579,1.0039029262176842,-1,1,540,30,12,6,29
2,15,9,14.179618516262659,0.9453079010841773,-1,1,540,30,13,6,29
2,16,9,14.299694195638212,0.8937308872273882,-1,1,540,30,11,6,29
2,17,9,14.427282154359558,0.8486636561387976,-1,1,540,30,14,6,29
2,18,9,14.536666325875267,0.807592573659737,-1,1,540,30,15,6,29
2,19,9,14.648680643851014,0.7709831917816323,-1,1,540,30,11,6,29
2,20,8,14.766555258141596,0.7383277629070798,1,6,540,30,11,6,29
2,21,8,21.092690261273848,1.0044138219654213,1,6,758,180,11,6,29
2,22,8,21.229601956958444,0.9649819071344747,1,7,758,180,11,6,29
2,23,8,21.36417798153332,0.9288773035449269,1,7,758,180,15,6,29
2,24,8,21.522630983306883,0.8967762909711201,1,7,758,180,14,6,29
2,25,8,21.661737033512168,0.8664694813404867,1,6,758,180,11,6,29
2,26,8,21.855924579573283,0.8406124838297416,1,5,758,180,13,6,29
2,27,8,22.07440949994849,0.8175707222203145,1,5,758,180,12,6,29
2,28,8,22.21591043212482,0.7934253725758864,1,4,758,180,7,6,29
2,29,8,22.376357260968717,0.7715985262403006,1,4,758,180,7,6,29
2,30,8,22.514357252284455,0.7504785750761485,1,3,758,180,7,6,29
2,31,8,22.666611271616407,0.7311810087618196,1,2,758,180,7,6,29
2,32,8,22.78378443456983,0.7119932635803072,1,1,758,180,9,6,29
2,33,8,22.900393910123444,0.6939513306098013,1,1,758,180,10,6,29
2,34,8,23.00631621994704,0.676656359410207,1,1,758,180,14,6,29
2,35,7,23.108791273424316,0.6602511792406948,2,1,758,180,16,6,29
2,36,7,33.5385346259196,0.9316259618311,2,1,1159,1443,16,6,29
2,37,7,33.63512175134676,0.9090573446309935,2,1,1159,1443,14,6,29
2,38,7,33.73419889086215,0.8877420760753199,2,2,1159,1443,10,6,29
2,39,7,33.876797592407435,0.8686358357027547,2,3,1159,1443,9,6,29
2,40,7,34.01874339552185,0.8504685848880463,2,4,1159,1443,7,6,29
2,41,7,34.14092224469166,0.8327054206022356,2,4,1159,1443,7,6,29
2,42,7,34.27509642488768,0.8160737244020876,2,4,1159,1443,8,6,29
2,43,7,34.38343098520164,0.7996146740744567,2,4,1159,1443,9,6,29
2,44,7,34.499412036147056,0.7840775462760695,2,8,1159,1443,9,6,29
2,45,7,34.66485586694768,0.7703301303766151,2,12,1159,1443,8,6,29
2,46,7,34.792330535554356,0.756355011642486,2,16,1159,1443,7,6,29
2,47,7,34.931172900057206,0.7432164446820682,2,20,1159,1443,8,6,29
2,48,7,35.034192693458664,0.7298790144470555,2,24,1159,1443,8,6,29
2,49,7,35.14992663774282,0.7173454415865882,2,28,1159,1443,7,6,29
2,50,7,35.250846419262636,0.7050169283852528,2,32,1159,1443,4,6,29
2,51,7,35.366269703894375,0.6934562687038113,2,36,1159,1443,6,6,29
2,52,7,35.46655395550264,0.6820491145288969,2,40,1159,1443,7,6,29
2,53,7,35.57224060609816,0.6711743510584559,2,44,1159,1443,8,6,29
2,54,7,35.67855252338927,0.6607139356183198,2,48,1159,1443,6,6,29
2,55,7,35.78124192018454,0.6505680349124462,2,36,1159,1443,7,6,29
2,56,7,35.892342811939585,0.6409346930703498,2,24,1159,1443,3,6,29
2,57,7,36.005410293768755,0.6316738648029606,2,12,1159,1443,3,6,29
2,58,7,36.10367229709325,0.6224771085705733,2,12,1159,1443,4,6,29
2,59,7,36.21434647590768,0.613802482642503,2,11,1159,1443,7,6,29
2,60,7,36.31902733133884,0.6053171221889806,2,10,1159,1443,8,6,29
2,61,7,36.43414706162152,0.5972810993708446,2,9,1159,1443,9,6,29
2,62,7,36.5522747036595,0.5895528178009597,2,9,1159,1443,9,6,29
2,63,7,36.66170584912519,0.581931838875003,2,8,1159,1443,11,6,29
2,64,7,36.76770000146053,0.5744953125228208,2,7,1159,1443,12,6,29
2,65,7,36.88152696127096,0.5674081070964763,2,1,1159,1443,15,6,29
2,66,7,36.98867572540212,0.5604344806879109,2,1,1159,1443,16,6,29
2,67,7,37.10395690396668,0.5537904015517415,2,1,1159,1443,16,6,29
2,68,7,37.209103946246,0.547192705091853,2,1,1159,1443,18,6,29
2,69,7,37.31550231139465,0.5408043813245602,2,1,1159,1443,18,6,29
2,70,7,37.435163514740935,0.5347880502105848,2,1,1159,1443,16,6,29
2,71,7,37.54565532410248,0.5288120468183448,2,1,1159,1443,22,6,29
2,72,7,37.65213579497883,0.5229463304858171,2,1,1159,1443,22,6,29
2,73,7,37.75494913984381,0.5171910841074494,2,1,1159,1443,24,6,29
2,74,7,37.860023550133235,0.5116219398666654,2,1,1159,1443,17,6,29
2,75,7,37.98254661177687,0.5064339548236916,2,1,1159,1443,18,6,29
2,76,6,38.08143861866585,0.5010715607719191,4,4,1159,1443,16,6,29
2,77,6,48.47795323052483,0.6295838081886342,4,4,1101,387,16,6,29
2,78,6,48.60976450261492,0.6232021090078836,4,3,1101,387,18,6,29
2,79,6,48.758969952066806,0.6172021512919849,4,3,1101,387,17,6,29
2,80,6,48.86604924212069,0.6108256155265086,4,6,1101,387,24,6,29
2,81,6,48.97273024044739,0.6046016079067579,4,4,1101,387,22,6,29
2,82,6,49.072682121754085,0.5984473429482206,4,2,1101,387,22,6,29
2,83,6,49.17058649147618,0.5924167047165805,4,1,1101,387,16,6,29
2,84,6,49.272061670875225,0.5865721627485145,4,1,1101,387,18,6,29
2,85,6,49.37434961803071,0.5808747013885966,4,1,1101,387,18,6,29
2,86,6,49.478165600147456,0.5753275069784588,4,1,1101,387,16,6,29
2,87,6,49.58926057081637,0.5699915008139813,4,1,1101,387,16,6,29
2,88,6,49.68773968063238,0.5646334054617316,4,1,1101,387,15,6,29
2,89,6,49.788868279123136,0.5594254862822824,4,1,1101,387,12,6,29
2,90,6,49.892479786398766,0.5543608865155418,4,1,1101,387,11,6,29
2,91,6,49.99901394178938,0.5494397136460372,4,1,1101,387,9,6,29
2,92,6,50.10735363371132,0.5446451481925143,4,4,1101,387,9,6,29
2,93,6,50.26048594748626,0.5404353327686695,4,5,1101,387,8,6,29
2,94,6,50.577204055233445,0.5380553622897175,4,6,1101,387,7,6,29
2,95,6,50.73571271521665,0.5340601338443858,4,7,1101,387,4,6,29
2,96,6,50.899131929299045,0.5301992909301984,4,7,1101,387,3,6,29
2,97,6,51.06753669790498,0.5264694504938657,4,7,1101,387,3,6,29
2,98,6,51.20556511043415,0.5225057664330015,4,14,1101,387,7,6,29
2,99,6,51.33224556402093,0.5185075309497064,4,12,1101,387,8,6,29
2,100,6,51.460928923676775,0.5146092892367677,4,10,1101,387,7,6,29
2,101,6,51.578834722354316,0.5106815319044982,4,8,1101,387,7,6,29
2,102,6,51.69898342845884,0.5068527787103808,4,6,1101,387,8,6,29
2,103,6,51.811477354411316,0.5030240519845759,4,4,1101,387,9,6,29
2,104,6,51.9286398594097,0.49931384480201635,4,2,1101,387,9,6,29
2,105,6,52.063401411350064,0.49584191820333395,4,2,1101,387,9,6,29
2,106,6,52.21618714421671,0.49260553909638405,4,1,1101,387,14,6,29
2,107,6,52.38727416484065,0.48960069312935184,4,1,1101,387,14,6,29
