mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00015829036927445772,0.00015829036927445772,0,1,0,[],11,1,6
2,2,10,2.2283305023962634,1.1141652511981317,0,1,591,6,11,1,6
2,3,9,2.2623775371360653,0.7541258457120218,-1,2,591,6,12,1,6
2,4,9,4.265989794415942,1.0664974486039855,-1,2,603,15,12,1,6
2,5,9,4.316633633585032,0.8633267267170064,-1,1,603,15,10,1,6
2,6,9,4.36581970134831,0.727636616891385,-1,1,603,15,8,1,6
2,7,8,4.425290300984598,0.6321843287120854,1,6,603,15,6,1,6
2,8,8,5.839661329662786,0.7299576662078483,1,6,354,60,6,1,6
2,9,8,5.888510684994665,0.6542789649994072,1,4,354,60,7,1,6
2,10,8,5.942568227688657,0.5942568227688657,1,2,354,60,3,1,6
2,11,8,5.982598322595772,0.5438725747814338,1,2,354,60,3,1,6
2,12,8,6.017457335613871,0.5014547779678226,1,1,354,60,3,1,6
2,13,8,6.052111873790864,0.4655470672146818,1,1,354,60,3,1,6
2,14,8,6.086848912434634,0.43477492231675957,1,1,354,60,3,1,6
2,15,8,6.120951210645005,0.40806341404300034,1,1,354,60,6,1,6
2,16,8,6.156688518106087,0.38479303238163043,1,1,354,60,6,1,6
2,17,7,6.191339898370476,0.36419646461002797,2,1,354,60,8,1,6
2,18,7,6.234651853951277,0.34636954744173765,2,1,3,9,8,1,6
2,19,7,6.269625341301271,0.32998028112111955,2,1,3,9,6,1,6
2,20,6,6.325220787433402,0.3162610393716701,3,1,3,9,7,1,6
2,21,6,6.778038217847811,0.3227637246594196,3,1,132,30,7,1,6
2,22,6,6.826337701647521,0.3102880773476146,3,1,132,30,9,1,6
2,23,6,6.8793740543532,0.29910321975448695,3,1,132,30,15,1,6
2,24,6,6.91551044301961,0.2881462684591504,3,1,132,30,15,1,6
2,25,6,6.953769343694969,0.27815077374779873,3,1,132,30,15,1,6
2,26,6,6.993731148742025,0.268989659567001,3,1,132,30,15,1,6
2,27,6,7.0284622662996625,0.2603134172703579,3,1,132,30,15,1,6
2,28,6,7.063772860820134,0.2522776021721476,3,1,132,30,16,1,6
2,29,6,7.097822263994388,0.24475249186187545,3,1,132,30,9,1,6
2,30,5,7.131645086939308,0.23772150289797694,5,1,132,30,2,1,6
2,31,5,7.573205743137759,0.24429695945605676,5,1,133,33,2,1,6
2,32,5,7.618499288877558,0.2380781027774237,5,1,133,33,9,1,6
