mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00010894798483728263,0.00010894798483728263,0,1,0,[],23,5,22
2,2,10,11.755395589738205,5.8776977948691025,0,1,623,18,23,5,22
2,3,10,11.996843271613246,3.9989477572044154,0,1,623,18,17,5,22
2,4,10,12.229572351527777,3.057393087881944,0,1,623,18,11,5,22
2,5,10,12.495341881539591,2.4990683763079184,0,1,623,18,5,5,22
2,6,10,12.781500474278998,2.1302500790464998,0,1,623,18,5,5,22
2,7,9,12.982427005837005,1.8546324294052865,-1,1,623,18,2,5,22
2,8,9,21.670245634284505,2.708780704285563,-1,1,470,12,2,5,22
2,9,9,21.925226155884825,2.4361362395427584,-1,1,470,12,5,5,22
2,10,9,22.159293006526216,2.2159293006526215,-1,1,470,12,5,5,22
2,11,8,22.416483672210248,2.0378621520191134,1,3,470,12,5,5,22
2,12,8,34.78302929871839,2.898585774893199,1,3,559,51,5,5,22
2,13,8,35.04879448660037,2.6960611143538746,1,3,559,51,6,5,22
2,14,8,35.32085023638948,2.52291787402782,1,3,559,51,7,5,22
2,15,8,35.592305982783834,2.3728203988522556,1,3,559,51,6,5,22
2,16,8,35.901908129217034,2.2438692580760646,1,2,559,51,8,5,22
2,17,8,36.22247257451587,2.130733680853875,1,1,559,51,2,5,22
2,18,8,36.50543535970005,2.0280797422055583,1,1,559,51,6,5,22
2,19,7,36.77625439196563,1.9355923364192436,3,12,559,51,8,5,22
2,20,7,51.46231327361456,2.573115663680728,3,12,716,219,8,5,22
2,21,7,51.71523759937061,2.462630361874791,3,16,716,219,6,5,22
2,22,7,51.98022909866462,2.3627376863029372,3,12,716,219,7,5,22
2,23,7,52.242499661511225,2.2714130287613576,3,8,716,219,8,5,22
2,24,7,52.49888663843754,2.1874536099348973,3,4,716,219,8,5,22
2,25,7,52.75518124642019,2.1102072498568076,3,4,716,219,7,5,22
2,26,7,53.03106201785087,2.039656231455803,3,4,716,219,13,5,22
2,27,7,53.3038827719683,1.9742178804432702,3,4,716,219,17,5,22
2,28,7,53.53437999714997,1.911942142755356,3,3,716,219,17,5,22
2,29,7,53.79320922473639,1.8549382491288409,3,2,716,219,17,5,22
2,30,7,54.079121895031754,1.8026373965010585,3,1,716,219,17,5,22
2,31,7,54.32437051946476,1.752399049014992,3,1,716,219,17,5,22
2,32,7,54.61854231543676,1.7068294473573988,3,1,716,219,15,5,22
2,33,6,54.890009114525235,1.6633336095310678,5,3,716,219,16,5,22
2,34,6,77.61686506910499,2.282848972620735,5,3,1086,51,16,5,22
2,35,6,77.841900289699,2.2240542939914,5,3,1086,51,10,5,22
2,36,6,78.09926819322793,2.1694241164785537,5,2,1086,51,10,5,22
2,37,6,78.37648397221194,2.118283350600323,5,1,1086,51,8,5,22
2,38,6,78.62000600792872,2.06894752652444,5,1,1086,51,7,5,22
2,39,6,78.86306817262255,2.022129953144168,5,1,1086,51,6,5,22
2,40,6,79.16716884056054,1.9791792210140133,5,1,1086,51,9,5,22
2,41,6,79.47258596331531,1.9383557552028126,5,1,1086,51,12,5,22
2,42,6,79.7098588847279,1.8978537829697117,5,1,1086,51,14,5,22
2,43,6,80.04622986682688,1.86154022946109,5,1,1086,51,16,5,22
2,44,6,80.3066151558489,1.8251503444511115,5,1,1086,51,19,5,22
2,45,5,80.5927465115921,1.7909499224798244,6,12,1086,51,18,5,22
2,46,5,92.84706821367541,2.018414526384248,6,12,707,837,18,5,22
2,47,5,93.08753773212136,1.9805859091940716,6,16,707,837,19,5,22
2,48,5,93.30552449178329,1.9438650935788184,6,20,707,837,16,5,22
2,49,5,93.49564780432308,1.9080744449861855,6,24,707,837,14,5,22
2,50,5,93.6949341950224,1.873898683900448,6,28,707,837,12,5,22
2,51,5,93.92598247595348,1.8416859309010485,6,32,707,837,9,5,22
2,52,5,94.15667351802121,1.8107052599619462,6,36,707,837,6,5,22
2,53,5,94.37273118782119,1.7806175695815318,6,27,707,837,7,5,22
2,54,5,94.66838878167337,1.7531183107717292,6,18,707,837,8,5,22
2,55,5,94.95321355107667,1.7264220645650303,6,9,707,837,10,5,22
2,56,5,95.30640633887796,1.7019001131942493,6,9,707,837,10,5,22
2,57,5,95.53657119375806,1.6760801963817205,6,1,707,837,10,5,22
2,58,5,95.79499186640135,1.6516377908000233,6,1,707,837,15,5,22
2,59,5,96.04425222405864,1.6278686817637058,6,1,707,837,17,5,22
2,60,5,96.27784459833128,1.6046307433055214,6,1,707,837,17,5,22
2,61,5,96.55064877340754,1.5827975208755336,6,1,707,837,17,5,22
2,62,5,96.8399076468459,1.561933994303966,6,2,707,837,17,5,22
2,63,5,97.10444480146401,1.541340393674032,6,3,707,837,17,5,22
2,64,5,97.35419700400938,1.5211593281876465,6,3,707,837,13,5,22
2,65,5,97.59434875749956,1.501451519346147,6,3,707,837,7,5,22
2,66,5,97.85513233824877,1.4826535202764966,6,3,707,837,8,5,22
2,67,5,98.13342378121351,1.4646779668837837,6,3,707,837,8,5,22
2,68,5,98.37290250457997,1.4466603309497055,6,3,707,837,7,5,22
2,69,5,98.6242822163336,1.4293374234251246,6,3,707,837,6,5,22
2,70,5,98.84959572797582,1.4121370818282262,6,3,707,837,10,5,22
2,71,5,99.10265742293015,1.3958120763792978,6,3,707,837,7,5,22
2,72,5,99.32915870445056,1.3795716486729246,6,3,707,837,7,5,22
2,73,5,99.56699373430665,1.3639314210178992,6,2,707,837,8,5,22
2,74,5,99.80806128245199,1.3487575848979998,6,2,707,837,8,5,22
2,75,5,100.04717803008622,1.3339623737344828,6,2,707,837,11,5,22
2,76,5,100.36454824678613,1.3205861611419227,6,2,707,837,13,5,22
2,77,5,100.61894889668454,1.3067395960608381,6,1,707,837,9,5,22
2,78,5,100.80358336237954,1.2923536328510197,6,1,707,837,9,5,22
2,79,4,100.9714722070138,1.2781199013546052,5,5,707,837,4,5,22
2,80,4,116.84689808113389,1.4605862260141735,5,5,1009,144,4,5,22
2,81,4,117.07388291802178,1.4453565792348368,5,5,1009,144,4,5,22
2,82,4,117.29751918333223,1.4304575510162467,5,5,1009,144,5,5,22
2,83,4,117.5589090833014,1.4163723985939929,5,5,1009,144,5,5,22
2,84,4,118.17613060179157,1.4068586976403759,5,5,1009,144,7,5,22
2,85,4,118.63766268677574,1.3957372080797146,5,5,1009,144,8,5,22
2,86,4,118.94115427232023,1.383036677585119,5,5,1009,144,6,5,22
2,87,4,119.34807894307824,1.3718169993457268,5,4,1009,144,6,5,22
2,88,4,119.71986709924806,1.360453035218728,5,3,1009,144,8,5,22
2,89,4,120.02819305425017,1.3486313826320244,5,2,1009,144,3,5,22
2,90,4,120.27203127596643,1.3363559030662937,5,1,1009,144,3,5,22
2,91,4,120.49982295952465,1.324173878676095,5,1,1009,144,4,5,22
2,92,4,120.87906063152728,1.3139028329513835,5,1,1009,144,5,5,22
2,93,3,121.09231841706476,1.3020679399684383,4,14,1009,144,9,5,22
2,94,3,126.00744162105131,1.3405046980962905,4,14,247,438,9,5,22
2,95,3,126.19823638475854,1.3284024882606162,4,13,247,438,5,5,22
2,96,3,126.39476473353734,1.316612132641014,4,13,247,438,4,5,22
2,97,3,126.56385437443926,1.3047820038601985,4,12,247,438,3,5,22
2,98,3,126.72862635933338,1.2931492485646263,4,11,247,438,3,5,22
2,99,3,126.88286196882434,1.2816450703921651,4,10,247,438,8,5,22
2,100,3,127.13253403933739,1.271325340393374,4,9,247,438,6,5,22
2,101,3,127.37057828090347,1.2610948344643909,4,8,247,438,6,5,22
2,102,3,127.63105909678175,1.2512848931057035,4,8,247,438,7,5,22
2,103,3,127.88590817026993,1.2416107589346594,4,8,247,438,7,5,22
2,104,3,128.11415538272126,1.2318668786800122,4,8,247,438,11,5,22
2,105,3,128.36120204364317,1.2224876385108874,4,7,247,438,10,5,22
2,106,3,128.53515368573798,1.212595789488094,4,6,247,438,10,5,22
2,107,3,128.72311540710038,1.2030197701598166,4,5,247,438,11,5,22
2,108,3,128.88126209135137,1.1933450193643647,4,4,247,438,9,5,22
2,109,3,129.07173593219022,1.184144366350369,4,3,247,438,7,5,22
2,110,3,129.25763316818774,1.1750693924380704,4,2,247,438,7,5,22
2,111,3,129.49809716028662,1.1666495239665462,4,1,247,438,7,5,22
2,112,3,129.7572544160448,1.1585469144289713,4,1,247,438,7,5,22
2,113,3,129.96338005596618,1.150118407574922,4,1,247,438,7,5,22
2,114,3,130.2485190376736,1.1425308687515228,4,1,247,438,0,5,22
2,115,2,130.49587043716176,1.1347466994535804,6,3,247,438,0,5,22
2,116,2,132.9390116286185,1.1460259623156765,6,3,118,36,0,5,22
2,117,2,133.15400942400078,1.1380684566153914,6,2,118,36,0,5,22
2,118,2,133.3739572473898,1.1302877732829644,6,1,118,36,0,5,22
2,119,2,133.62967514158314,1.1229384465679255,6,1,118,36,0,5,22
2,120,2,133.88921055737563,1.1157434213114636,6,2,118,36,0,5,22
2,121,2,134.1129557706709,1.108371535294801,6,1,118,36,0,5,22
2,122,2,134.32256814084616,1.1010046568921816,6,1,118,36,0,5,22
2,123,1,134.56556319989716,1.094028969104855,5,7,118,36,0,5,22
2,124,1,138.7027188443304,1.118570313260729,5,7,199,306,0,5,22
2,125,1,138.91923914832688,1.111353913186615,5,7,199,306,7,5,22
2,126,1,139.1636548733106,1.104473451375481,5,14,199,306,13,5,22
2,127,1,139.37720516050302,1.0974583083504175,5,12,199,306,16,5,22
2,128,1,139.60961371228825,1.090700107127252,5,10,199,306,17,5,22
2,129,1,139.84420911855173,1.0840636365779204,5,8,199,306,18,5,22
2,130,1,140.03279650134874,1.0771753577026826,5,6,199,306,19,5,22
2,131,1,140.32035089145913,1.0711477167286956,5,4,199,306,21,5,22
2,132,1,140.55103206504998,1.0647805459473483,5,2,199,306,22,5,22
2,133,1,140.7567333604652,1.0583213034621444,5,2,199,306,23,5,22
2,134,1,140.96854126937836,1.052004039323719,5,2,199,306,23,5,22
2,135,1,141.23226526150094,1.0461649278629699,5,2,199,306,22,5,22
2,136,1,141.4458471278194,1.0400429935869073,5,2,199,306,21,5,22
2,137,1,141.6814617503758,1.0341712536523782,5,2,199,306,22,5,22
2,138,1,141.91579426041503,1.0283753207276451,5,2,199,306,21,5,22
2,139,1,142.16737449961903,1.022786866903734,5,1,199,306,19,5,22
2,140,1,142.3897618104946,1.0170697272178186,5,1,199,306,13,5,22
2,141,1,142.57447246083117,1.0111664713534125,5,1,199,306,19,5,22
2,142,1,142.77649202488922,1.005468253696403,5,3,199,306,18,5,22
2,143,1,143.02941871907973,1.00020572530825,5,3,199,306,16,5,22
2,144,1,143.21412107989573,0.994542507499276,5,2,199,306,18,5,22
2,145,1,143.41069600788546,0.9890392828130032,5,1,199,306,15,5,22
2,146,1,143.63031264519012,0.983769264693083,5,1,199,306,17,5,22
2,147,1,143.85702313842054,0.978619205023269,5,1,199,306,17,5,22
2,148,1,144.09477053620188,0.9736133144337965,5,1,199,306,18,5,22
2,149,1,144.37988741252104,0.9689925329699399,5,1,199,306,16,5,22
2,150,1,144.57694905379086,0.9638463270252724,5,1,199,306,19,5,22
2,151,1,144.80548363628915,0.9589767128231069,5,1,199,306,17,5,22
2,152,1,145.04675013292854,0.9542549350850562,5,1,199,306,21,5,22
