mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.526364030743858e-05,8.526364030743858e-05,0,1,0,[],0,1,4
2,2,10,0.6202748252391428,0.3101374126195714,0,1,184,6,0,1,4
2,3,9,0.6682833863402122,0.22276112878007073,-1,12,184,6,0,1,4
2,4,9,1.6337066117610932,0.4084266529402733,-1,12,379,141,0,1,4
2,5,9,1.6732495986490454,0.33464991972980906,-1,6,379,141,0,1,4
2,6,9,1.7128004803185075,0.28546674671975125,-1,6,379,141,4,1,4
2,7,9,1.7716955503827194,0.2530993643403885,-1,6,379,141,3,1,4
2,8,9,1.8217007017276547,0.22771258771595684,-1,5,379,141,3,1,4
2,9,9,1.8566852417717634,0.2062983601968626,-1,4,379,141,3,1,4
2,10,9,1.9304098694242608,0.19304098694242608,-1,3,379,141,3,1,4
2,11,9,1.9717903667086525,0.1792536697007866,-1,2,379,141,2,1,4
2,12,9,2.0205761690493746,0.16838134742078123,-1,1,379,141,1,1,4
2,13,9,2.0915174914805403,0.1608859608831185,-1,1,379,141,6,1,4
2,14,8,2.138852232979736,0.15277515949855255,0,4,379,141,5,1,4
2,15,8,3.782372847635844,0.2521581898423896,0,4,740,87,5,1,4
2,16,8,3.8083249681544222,0.2380203105096514,0,4,740,87,6,1,4
2,17,8,3.8632446209893017,0.22724968358760597,0,4,740,87,5,1,4
2,18,8,3.912401872800067,0.21735565960000372,0,4,740,87,4,1,4
2,19,8,3.9546144800556062,0.20813760421345295,0,4,740,87,4,1,4
2,20,8,4.0199828762189,0.200999143810945,0,3,740,87,3,1,4
2,21,8,4.048633433057577,0.192792068240837,0,2,740,87,3,1,4
2,22,8,4.084332845567409,0.18565149298033676,0,1,740,87,4,1,4
2,23,8,4.132082063095875,0.17965574187373368,0,1,740,87,5,1,4
2,24,8,4.188281065274441,0.1745117110531017,0,1,740,87,3,1,4
2,25,7,4.234748170285694,0.16938992681142775,2,10,740,87,4,1,4
2,26,7,6.738396546190979,0.2591690979304223,2,10,1069,177,4,1,4
2,27,7,6.764587878589309,0.2505402917996041,2,9,1069,177,5,1,4
2,28,7,6.797252142347641,0.24275900508384432,2,8,1069,177,6,1,4
2,29,7,6.84436898787716,0.23601272371990206,2,7,1069,177,6,1,4
2,30,7,6.8994761417728965,0.22998253805909655,2,6,1069,177,5,1,4
2,31,7,6.941671775248191,0.2239248959757481,2,5,1069,177,4,1,4
2,32,7,6.988000326843941,0.21837501021387315,2,4,1069,177,3,1,4
2,33,7,7.041629972380096,0.21338272643576048,2,3,1069,177,2,1,4
2,34,7,7.084647452610578,0.20837198390031111,2,2,1069,177,1,1,4
2,35,7,7.132685224403235,0.203791006411521,2,1,1069,177,0,1,4
