mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.644789165829162e-05,8.644789165829162e-05,0,3,0,[],0,3,13
2,2,10,2.496231424558623,1.2481157122793114,0,3,312,36,0,3,13
2,3,10,2.5933278017209056,0.8644426005736352,0,2,312,36,0,3,13
2,4,10,2.713795109812507,0.6784487774531267,0,1,312,36,0,3,13
2,5,10,2.8188016664311393,0.5637603332862279,0,1,312,36,0,3,13
2,6,10,2.9122151265652403,0.4853691877608734,0,2,312,36,0,3,13
2,7,10,3.010924802965913,0.43013211470941615,0,1,312,36,0,3,13
2,8,10,3.122165081525494,0.3902706351906868,0,1,312,36,0,3,13
2,9,9,3.193260774999428,0.35480675277771423,-1,15,312,36,0,3,13
2,10,9,5.987664399021362,0.5987664399021362,-1,15,435,168,0,3,13
2,11,9,6.06029957549743,0.5509363250452209,-1,12,435,168,0,3,13
2,12,9,6.149892749350849,0.5124910624459041,-1,9,435,168,0,3,13
2,13,9,6.232668776679436,0.479436059744572,-1,6,435,168,0,3,13
2,14,9,6.318113635950953,0.4512938311393538,-1,3,435,168,0,3,13
2,15,9,6.391931451164046,0.4261287634109364,-1,3,435,168,0,3,13
2,16,9,6.468935206713093,0.4043084504195683,-1,3,435,168,4,3,13
2,17,9,6.540043531842429,0.38470844304955465,-1,2,435,168,5,3,13
2,18,9,6.615735174186581,0.3675408430103656,-1,1,435,168,5,3,13
2,19,9,6.689991149946435,0.35210479736560185,-1,1,435,168,6,3,13
2,20,8,6.764525022125136,0.3382262511062568,1,4,435,168,11,3,13
2,21,8,11.146824836045061,0.5308011826688125,1,4,683,42,11,3,13
2,22,8,11.215605383927327,0.5098002447239695,1,3,683,42,11,3,13
2,23,8,11.296436531063216,0.4911494143940529,1,2,683,42,11,3,13
2,24,8,11.374633583308531,0.4739430659711888,1,1,683,42,12,3,13
2,25,8,11.458093298985757,0.45832373195943027,1,1,683,42,12,3,13
