mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00015157986482549764,0.00015157986482549764,0,1,0,[],4,1,5
2,2,10,10.268478730265999,5.134239365132999,0,1,1412,18,4,1,5
2,3,10,10.398887940637536,3.466295980212512,0,1,1412,18,4,1,5
2,4,10,10.50311251883893,2.6257781297097327,0,1,1412,18,4,1,5
2,5,10,10.691782871317379,2.138356574263476,0,1,1412,18,0,1,5
2,6,10,10.82356419525697,1.8039273658761619,0,1,1412,18,0,1,5
2,7,9,10.977843286946209,1.5682633267066013,2,2,1412,18,0,1,5
2,8,9,11.277464179388453,1.4096830224235566,2,2,4,15,0,1,5
2,9,9,11.476135645031533,1.2751261827812814,2,1,4,15,0,1,5
2,10,9,11.642319282458812,1.1642319282458813,2,1,4,15,2,1,5
2,11,8,11.748120449150084,1.068010949922735,1,3,4,15,2,1,5
2,12,8,20.118681902548353,1.6765568252123628,1,3,955,45,2,1,5
