mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00010697433168674442,0.00010697433168674442,0,4,0,[],14,1,5
2,2,10,5.189529305045794,2.594764652522897,0,4,658,48,14,1,5
2,3,10,5.308906738119731,1.7696355793732437,0,3,658,48,14,1,5
2,4,10,5.408073522550268,1.352018380637567,0,2,658,48,14,1,5
2,5,10,5.580719041194197,1.1161438082388393,0,1,658,48,14,1,5
2,6,10,5.674535924822703,0.9457559874704505,0,1,658,48,14,1,5
2,7,10,5.761738952630503,0.8231055646615004,0,2,658,48,14,1,5
2,8,10,5.854049511352306,0.7317561889190383,0,1,658,48,7,1,5
2,9,10,5.944489795596132,0.660498866177348,0,1,658,48,0,1,5
2,10,9,6.066436981065939,0.6066436981065939,-1,2,658,48,0,1,5
2,11,9,12.062563404989032,1.096596673180821,-1,2,747,18,0,1,5
2,12,9,12.17287644109425,1.0144063700911874,-1,1,747,18,0,1,5
2,13,9,12.281607757099582,0.9447390582384294,-1,1,747,18,1,1,5
2,14,9,12.412459470149425,0.8866042478678161,-1,1,747,18,1,1,5
2,15,8,12.507546229885076,0.8338364153256718,0,9,747,18,2,1,5
2,16,8,18.964875313719006,1.1853047071074378,0,9,919,87,2,1,5
