mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,9.710585090383441e-05,9.710585090383441e-05,0,1,0,[],17,6,45
2,2,10,7.940622535346924,3.970311267673462,0,1,542,141,17,6,45
2,3,10,8.132045799224574,2.710681933074858,0,1,542,141,14,6,45
2,4,10,8.313212158915698,2.0783030397289246,0,2,542,141,12,6,45
2,5,10,8.483381083622348,1.6966762167244696,0,3,542,141,12,6,45
2,6,10,8.661350845018273,1.443558474169712,0,4,542,141,10,6,45
2,7,10,8.819977199861999,1.2599967428374284,0,4,542,141,6,6,45
2,8,10,9.001257244451741,1.1251571555564677,0,4,542,141,11,6,45
2,9,10,9.167813515713384,1.018645946190376,0,4,542,141,12,6,45
2,10,10,9.346202490172967,0.9346202490172967,0,4,542,141,14,6,45
2,11,10,9.571593459644625,0.8701448599676932,0,4,542,141,12,6,45
2,12,10,9.756137208198892,0.8130114340165743,0,4,542,141,11,6,45
2,13,10,9.943244788060559,0.7648649836969661,0,3,542,141,6,6,45
2,14,10,10.111752650081828,0.7222680464344162,0,2,542,141,6,6,45
2,15,10,10.244225557154685,0.682948370476979,0,1,542,141,7,6,45
2,16,10,10.371862513904688,0.648241407119043,0,1,542,141,7,6,45
2,17,10,10.534005995299443,0.6196474114882026,0,1,542,141,9,6,45
2,18,10,10.66913826057368,0.5927299033652045,0,1,542,141,13,6,45
2,19,10,10.788814905984955,0.5678323634728923,0,1,542,141,13,6,45
2,20,10,10.915909096291896,0.5457954548145948,0,1,542,141,13,6,45
2,21,9,11.090833839257447,0.5281349447265451,-1,2,542,141,11,6,45
2,22,9,16.710604037866545,0.7595729108121158,-1,2,474,54,11,6,45
2,23,9,16.825467233091146,0.7315420536126586,-1,1,474,54,13,6,45
2,24,9,16.98984059640361,0.7079100248501504,-1,1,474,54,13,6,45
2,25,9,17.14987143343236,0.6859948573372944,-1,1,474,54,13,6,45
2,26,9,17.284763697253958,0.6647986037405368,-1,1,474,54,9,6,45
2,27,9,17.429053912694737,0.6455205152849902,-1,2,474,54,7,6,45
2,28,9,17.56317525079757,0.6272562589570561,-1,2,474,54,7,6,45
2,29,9,17.689182329261467,0.6099718044572919,-1,1,474,54,6,6,45
2,30,9,17.82635263318699,0.5942117544395663,-1,1,474,54,6,6,45
2,31,9,17.979248558609697,0.5799757599551515,-1,1,474,54,11,6,45
2,32,9,18.119775724958338,0.566242991404948,-1,1,474,54,12,6,45
2,33,9,18.258395511341256,0.5532847124648865,-1,1,474,54,14,6,45
2,34,9,18.419449512457575,0.5417485150722816,-1,1,474,54,12,6,45
2,35,9,18.586547365944583,0.5310442104555595,-1,1,474,54,8,6,45
2,36,8,18.76247237812229,0.5211797882811747,0,5,474,54,12,6,45
2,37,8,20.36910683933087,0.5505164010629965,0,5,125,57,12,6,45
2,38,8,20.506327275138773,0.5396401914510204,0,4,125,57,8,6,45
2,39,8,20.65842187992191,0.5297031251262029,0,3,125,57,12,6,45
2,40,8,20.784425405732726,0.5196106351433182,0,2,125,57,8,6,45
2,41,8,20.92153018294585,0.5102812239742891,0,1,125,57,11,6,45
2,42,8,21.058676802517496,0.501397066726607,0,1,125,57,8,6,45
2,43,8,21.184990198624895,0.49267419066569523,0,1,125,57,10,6,45
2,44,8,21.31715047222655,0.48448069255060344,0,1,125,57,11,6,45
2,45,7,21.47487445318749,0.4772194322930553,1,4,125,57,6,6,45
2,46,7,22.953877878734538,0.49899734518988126,1,4,122,222,6,6,45
2,47,7,23.072465043867382,0.4909035115716464,1,4,122,222,9,6,45
2,48,7,23.205058741145024,0.48343872377385466,1,5,122,222,15,6,45
2,49,7,23.33764809629112,0.4762785325773698,1,6,122,222,18,6,45
2,50,7,23.47980987779664,0.4695961975559328,1,6,122,222,22,6,45
2,51,7,23.6095022417241,0.4629314165043941,1,12,122,222,26,6,45
2,52,7,23.754993648645772,0.4568268009354956,1,10,122,222,24,6,45
2,53,7,23.88250942045176,0.45061338529154266,1,8,122,222,19,6,45
2,54,7,24.019616960839507,0.4448077214970279,1,6,122,222,21,6,45
2,55,7,24.14725154915412,0.43904093725734766,1,4,122,222,19,6,45
2,56,7,24.274209159687032,0.433468020708697,1,2,122,222,19,6,45
2,57,7,24.42496086160523,0.4285080852913198,1,2,122,222,20,6,45
2,58,7,24.56279590639629,0.4234964811447636,1,2,122,222,20,6,45
2,59,7,24.68032477564997,0.41831058941779614,1,1,122,222,19,6,45
2,60,7,24.820656546079107,0.41367760910131846,1,1,122,222,11,6,45
2,61,6,24.950203645969452,0.40901973190113855,3,30,122,222,13,6,45
