mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014131664481127122,0.00014131664481127122,0,2,0,[],9,3,13
2,2,10,7.827514350744754,3.913757175372377,0,2,966,66,9,3,13
2,3,10,7.909697479747904,2.636565826582635,0,1,966,66,9,3,13
2,4,10,8.004644896534902,2.0011612241337255,0,1,966,66,9,3,13
2,5,10,8.087608819737595,1.617521763947519,0,1,966,66,6,3,13
2,6,10,8.169780106563804,1.361630017760634,0,2,966,66,5,3,13
2,7,10,8.265175552378343,1.1807393646254776,0,2,966,66,6,3,13
2,8,10,8.340876668464047,1.0426095835580058,0,2,966,66,7,3,13
2,9,10,8.420307675546457,0.9355897417273842,0,2,966,66,7,3,13
2,10,10,8.506601618904536,0.8506601618904537,0,2,966,66,7,3,13
2,11,10,8.598519017351947,0.7816835470319952,0,2,966,66,10,3,13
2,12,10,8.679885825624735,0.7233238188020613,0,1,966,66,10,3,13
2,13,10,8.778571422932298,0.6752747248409461,0,1,966,66,13,3,13
2,14,10,8.86104626422739,0.6329318760162421,0,1,966,66,12,3,13
2,15,10,8.953108531972696,0.596873902131513,0,1,966,66,12,3,13
2,16,9,9.03429139176369,0.5646432119852306,2,5,966,66,9,3,13
2,17,9,13.383679427533378,0.7872752604431399,2,5,614,108,9,3,13
2,18,9,13.464810971224301,0.7480450539569056,2,4,614,108,12,3,13
2,19,9,13.55997825776314,0.71368306619806,2,4,614,108,12,3,13
2,20,9,13.653795930870109,0.6826897965435055,2,4,614,108,13,3,13
2,21,9,13.730476394988708,0.6538322092851766,2,3,614,108,10,3,13
2,22,9,13.809041738936843,0.6276837154062201,2,2,614,108,10,3,13
2,23,9,13.884163772570206,0.6036592944595742,2,1,614,108,11,3,13
2,24,9,13.966104531685327,0.5819210221535552,2,1,614,108,9,3,13
2,25,9,14.039721819368909,0.5615888727747563,2,4,614,108,7,3,13
2,26,9,14.130183814270458,0.5434686082411715,2,3,614,108,0,3,13
2,27,9,14.217926845346698,0.5265898831609888,2,2,614,108,0,3,13
2,28,9,14.305682113339111,0.5109172183335396,2,1,614,108,0,3,13
2,29,9,14.394783442110311,0.49637184283139,2,1,614,108,0,3,13
2,30,8,14.507847021179343,0.4835949007059781,3,15,614,108,0,3,13
2,31,8,20.306468039148662,0.6550473561015697,3,15,822,162,0,3,13
2,32,8,20.386829051860055,0.6370884078706267,3,12,822,162,0,3,13
2,33,8,20.48697439484502,0.6208174059043946,3,9,822,162,0,3,13
2,34,8,20.579961141870065,0.6052929747608843,3,6,822,162,6,3,13
2,35,8,20.670914587114602,0.5905975596318458,3,3,822,162,7,3,13
2,36,8,20.763653832641616,0.5767681620178227,3,3,822,162,8,3,13
2,37,8,20.8531293742041,0.5635980911947055,3,2,822,162,7,3,13
2,38,8,20.9459428307066,0.5512090218607,3,1,822,162,6,3,13
2,39,8,21.033357833481617,0.5393168675251696,3,1,822,162,5,3,13
2,40,8,21.135292924141375,0.5283823231035344,3,1,822,162,8,3,13
2,41,7,21.22614334244654,0.5177108132304035,2,4,822,162,8,3,13
2,42,7,26.29461204633607,0.6260621915794302,2,4,662,90,8,3,13
2,43,7,26.38998380779673,0.6137205536696915,2,3,662,90,8,3,13
2,44,7,26.483856349656854,0.6019058261285649,2,3,662,90,5,3,13
2,45,7,26.564613285817252,0.5903247396848278,2,2,662,90,6,3,13
2,46,7,26.65465725187284,0.5794490706928879,2,1,662,90,7,3,13
2,47,7,26.752194158017268,0.5691956203833461,2,1,662,90,8,3,13
2,48,7,26.8344589980413,0.5590512291258604,2,3,662,90,7,3,13
2,49,7,26.915429882865077,0.5492944874054098,2,3,662,90,5,3,13
2,50,7,26.997196167239956,0.5399439233447991,2,3,662,90,5,3,13
2,51,7,27.084735512872832,0.5310732453504476,2,2,662,90,6,3,13
2,52,7,27.16472783914218,0.5223986122911958,2,1,662,90,6,3,13
2,53,7,27.25446232964041,0.5142351382951021,2,1,662,90,6,3,13
2,54,7,27.33964192414848,0.5062896652620089,2,1,662,90,6,3,13
2,55,7,27.4185562175771,0.49851920395594723,2,1,662,90,7,3,13
2,56,6,27.503450415620932,0.4911330431360881,3,2,662,90,10,3,13
2,57,6,33.17876437146856,0.5820835854643607,3,2,794,21,10,3,13
