mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.881632704619001e-05,8.881632704619001e-05,0,8,0,[],21,3,14
2,2,10,1.5504137261883428,0.7752068630941714,0,8,168,72,21,3,14
2,3,10,1.6341130485789783,0.5447043495263261,0,4,168,72,21,3,14
2,4,10,1.724999782893423,0.43124994572335573,0,4,168,72,21,3,14
2,5,10,1.8102914833431885,0.3620582966686377,0,1,168,72,21,3,14
2,6,10,1.916491731397321,0.3194152885662202,0,1,168,72,21,3,14
2,7,10,2.020839862978118,0.288691408996874,0,1,168,72,16,3,14
2,8,10,2.1367250380725986,0.2670906297590748,0,1,168,72,11,3,14
2,9,10,2.2355361624557197,0.24839290693952443,0,1,168,72,6,3,14
2,10,10,2.318779955773416,0.23187799557734162,0,1,168,72,8,3,14
2,11,10,2.401260718156979,0.21829642892336173,0,1,168,72,14,3,14
2,12,9,2.4790476363409573,0.2065873030284131,-1,2,168,72,11,3,14
2,13,9,4.232628908017076,0.3255868390782366,-1,2,227,213,11,3,14
2,14,9,4.305916193703278,0.307565442407377,-1,3,227,213,14,3,14
2,15,9,4.39618437164225,0.29307895810948337,-1,3,227,213,8,3,14
2,16,9,4.481260939210949,0.2800788087006843,-1,3,227,213,6,3,14
2,17,9,4.565663292172558,0.26856842895132693,-1,4,227,213,10,3,14
2,18,9,4.653662114270692,0.25853678412614955,-1,5,227,213,16,3,14
2,19,9,4.78093827936327,0.2516283304928037,-1,5,227,213,18,3,14
2,20,9,4.865959583439584,0.2432979791719792,-1,5,227,213,21,3,14
2,21,9,4.949240876984256,0.2356781369992503,-1,5,227,213,21,3,14
2,22,9,5.028213986558343,0.2285551812071974,-1,5,227,213,21,3,14
2,23,9,5.114724641754411,0.2223793322501918,-1,5,227,213,20,3,14
2,24,9,5.201128322618797,0.21671368010911654,-1,5,227,213,20,3,14
2,25,9,5.285004093445832,0.2114001637378333,-1,5,227,213,20,3,14
2,26,9,5.3630448289555455,0.20627095495982867,-1,4,227,213,15,3,14
2,27,9,5.4587631714613005,0.20217641375782594,-1,3,227,213,9,3,14
2,28,9,5.5432428933122475,0.19797296047543742,-1,2,227,213,11,3,14
2,29,9,5.626745635565688,0.1940257115712306,-1,2,227,213,10,3,14
2,30,9,5.709428899174914,0.1903142966391638,-1,2,227,213,6,3,14
2,31,9,5.79339467054669,0.18688369904989324,-1,1,227,213,4,3,14
2,32,9,5.881088359219018,0.18378401122559432,-1,1,227,213,5,3,14
2,33,8,5.963934255391547,0.1807252804664105,-2,5,227,213,0,3,14
2,34,8,6.463695832895831,0.19010870096752444,-2,5,56,102,0,3,14
2,35,8,6.551409258529724,0.18718312167227782,-2,4,56,102,5,3,14
2,36,8,6.637925834814269,0.1843868287448408,-2,3,56,102,4,3,14
2,37,8,6.718583691427612,0.18158334301155707,-2,2,56,102,6,3,14
2,38,8,6.800935768821767,0.1789719939163623,-2,2,56,102,8,3,14
2,39,8,6.882154944622038,0.17646551140056507,-2,2,56,102,8,3,14
2,40,8,6.968143359815074,0.17420358399537686,-2,2,56,102,7,3,14
2,41,8,7.0494785889493565,0.1719385021694965,-2,2,56,102,6,3,14
2,42,8,7.1311651359995105,0.16978964609522645,-2,2,56,102,4,3,14
