mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014486929789311883,0.00014486929789311883,0,1,0,[],29,2,11
2,2,10,10.568120149148271,5.2840600745741355,0,1,1535,21,29,2,11
2,3,10,10.651975788274507,3.5506585960915023,0,1,1535,21,23,2,11
2,4,10,10.741183301898932,2.685295825474733,0,1,1535,21,21,2,11
2,5,10,10.824481963969781,2.164896392793956,0,1,1535,21,16,2,11
2,6,10,10.90687825215784,1.8178130420263068,0,1,1535,21,10,2,11
2,7,10,10.989335330187524,1.5699050471696463,0,1,1535,21,6,2,11
2,8,9,11.079459033567835,1.3849323791959793,-1,6,1535,21,12,2,11
2,9,9,20.075183218214217,2.230575913134913,-1,6,1338,78,12,2,11
2,10,9,20.160924526648454,2.0160924526648456,-1,6,1338,78,6,2,11
2,11,9,20.24946414149349,1.8408603764994083,-1,1,1338,78,6,2,11
2,12,9,20.33512531786377,1.6945937764886476,-1,1,1338,78,10,2,11
2,13,9,20.420093332143857,1.570776410164912,-1,1,1338,78,10,2,11
2,14,9,20.506091221078446,1.4647208015056032,-1,1,1338,78,10,2,11
2,15,9,20.6010860065732,1.3734057337715468,-1,1,1338,78,7,2,11
2,16,9,20.684096903744422,1.2927560564840264,-1,1,1338,78,7,2,11
2,17,9,20.76359580597462,1.2213879885867425,-1,1,1338,78,7,2,11
2,18,9,20.844790113203324,1.1580438951779624,-1,1,1338,78,6,2,11
2,19,9,20.938163704675063,1.1020086160355296,-1,1,1338,78,5,2,11
2,20,9,21.03873694498678,1.0519368472493391,-1,1,1338,78,4,2,11
2,21,9,21.143872976073286,1.0068510940987279,-1,1,1338,78,3,2,11
2,22,9,21.22886862209956,0.9649485737317982,-1,1,1338,78,0,2,11
2,23,9,21.307638835708747,0.9264190798134238,-1,1,1338,78,0,2,11
2,24,8,21.388816563889737,0.8912006901620724,-2,1,1338,78,0,2,11
2,25,8,29.176720411728816,1.1670688164691527,-2,1,1181,18,0,2,11
2,26,8,29.254056537710632,1.1251560206811781,-2,1,1181,18,0,2,11
2,27,8,29.346909073397033,1.0869225582739641,-2,1,1181,18,0,2,11
2,28,8,29.430339183631908,1.0510835422725682,-2,1,1181,18,3,2,11
2,29,8,29.511414674351986,1.017634988770758,-2,1,1181,18,4,2,11
2,30,7,29.596444267952158,0.9865481422650719,-3,12,1181,18,3,2,11
2,31,7,38.40571495564316,1.2388940308271987,-3,12,1342,114,3,2,11
