mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00011289542015649042,0.00011289542015649042,0,1,0,[],0,2,13
2,2,10,0.1392797903776786,0.0696398951888393,0,1,3,9,0,2,13
2,3,10,0.23289772543360124,0.07763257514453374,0,1,3,9,0,2,13
2,4,9,0.32728303355520294,0.08182075838880074,-1,4,3,9,0,2,13
2,5,9,0.4650407094569252,0.09300814189138504,-1,4,7,39,0,2,13
2,6,9,0.5649563142092701,0.09415938570154501,-1,3,7,39,1,2,13
2,7,9,0.6785409490636386,0.09693442129480552,-1,2,7,39,2,2,13
2,8,9,0.7740413955137097,0.0967551744392137,-1,1,7,39,4,2,13
2,9,9,0.8679861746531626,0.09644290829479585,-1,1,7,39,4,2,13
2,10,9,0.9856330709370086,0.09856330709370086,-1,1,7,39,4,2,13
2,11,8,1.0729367572487951,0.09753970520443592,-2,6,7,39,5,2,13
2,12,8,1.2203426494423542,0.10169522078686284,-2,6,9,87,5,2,13
2,13,8,1.310073982026736,0.1007749216943643,-2,6,9,87,12,2,13
2,14,8,1.4044865271552989,0.10032046622537849,-2,5,9,87,11,2,13
2,15,8,1.513516660758739,0.10090111071724926,-2,4,9,87,13,2,13
2,16,8,1.6446131121319971,0.10278831950824982,-2,3,9,87,12,2,13
2,17,8,1.737143540605643,0.10218491415327312,-2,2,9,87,14,2,13
2,18,8,1.8452452475370271,0.10251362486316817,-2,1,9,87,12,2,13
2,19,8,1.9462298061277763,0.10243314769093559,-2,1,9,87,12,2,13
2,20,7,2.0562487615056653,0.10281243807528326,0,12,9,87,12,2,13
2,21,7,3.6898522017370126,0.1757072477017625,0,12,158,831,12,2,13
2,22,7,3.812314127164457,0.1732870057802026,0,24,158,831,18,2,13
2,23,7,3.9289327277507247,0.17082316207611847,0,36,158,831,21,2,13
2,24,7,4.049377140966913,0.16872404754028802,0,33,158,831,16,2,13
2,25,7,4.160591761476455,0.1664236704590582,0,30,158,831,16,2,13
2,26,7,4.245750434805268,0.16329809364635647,0,27,158,831,16,2,13
2,27,7,4.337910203140707,0.1606633408570632,0,24,158,831,16,2,13
2,28,7,4.443414920669261,0.15869339002390218,0,21,158,831,16,2,13
2,29,7,4.566609876849261,0.15746930609825038,0,18,158,831,13,2,13
2,30,7,4.670890113282271,0.15569633710940903,0,15,158,831,13,2,13
2,31,7,4.757240504350429,0.15345937110807836,0,12,158,831,13,2,13
2,32,7,4.8816425730997945,0.15255133040936858,0,9,158,831,15,2,13
2,33,7,4.964594259386315,0.15044225028443378,0,6,158,831,16,2,13
2,34,7,5.044236846696711,0.1483599072557856,0,3,158,831,17,2,13
2,35,7,5.13685214410509,0.14676720411728827,0,2,158,831,10,2,13
2,36,7,5.250842176150021,0.14585672711527836,0,1,158,831,3,2,13
2,37,7,5.340076532042174,0.14432639275789658,0,1,158,831,4,2,13
2,38,7,5.434956448420612,0.14302516969527926,0,1,158,831,9,2,13
2,39,7,5.522672637229119,0.14160699069818256,0,1,158,831,9,2,13
2,40,6,5.615609252371788,0.1403902313092947,-1,3,158,831,8,2,13
2,41,6,7.884043771843883,0.19229375053277764,-1,3,281,243,8,2,13
2,42,6,7.979369348814485,0.189984984495583,-1,3,281,243,9,2,13
2,43,6,8.081476545779095,0.1879413150181185,-1,4,281,243,9,2,13
2,44,6,8.198174883690085,0.1863221564475019,-1,5,281,243,4,2,13
2,45,6,8.28105196426189,0.18402337698359755,-1,10,281,243,3,2,13
2,46,6,8.372285279621428,0.1820062017309006,-1,15,281,243,10,2,13
2,47,6,8.465926109552766,0.18012608743729291,-1,12,281,243,14,2,13
2,48,6,8.558808645420745,0.17830851344626553,-1,9,281,243,14,2,13
2,49,6,8.656829501862772,0.17666998983393412,-1,6,281,243,14,2,13
2,50,6,8.747167153906451,0.17494334307812903,-1,3,281,243,13,2,13
2,51,6,8.862267192669846,0.1737699449543107,-1,3,281,243,12,2,13
2,52,6,8.957488163744143,0.17225938776431043,-1,3,281,243,11,2,13
2,53,6,9.048705294795196,0.17073028858104145,-1,2,281,243,5,2,13
2,54,6,9.165641660462674,0.16973410482338286,-1,1,281,243,6,2,13
2,55,6,9.29108031443347,0.16892873298969946,-1,1,281,243,10,2,13
2,56,5,9.386004441605818,0.16760722217153248,-2,4,281,243,9,2,13
2,57,5,9.846395912396295,0.1727437879367771,-2,4,49,48,9,2,13
2,58,5,9.950314172954185,0.1715571409130032,-2,3,49,48,10,2,13
2,59,5,10.044848297765993,0.17025166606383038,-2,2,49,48,6,2,13
2,60,5,10.139582160628846,0.16899303601048077,-2,1,49,48,5,2,13
2,61,5,10.243399762682754,0.16792458627348777,-2,1,49,48,11,2,13
2,62,5,10.347698551859635,0.16689836373967154,-2,1,49,48,16,2,13
2,63,5,10.451702076091491,0.1659000329538332,-2,1,49,48,23,2,13
2,64,5,10.563185908756791,0.16504977982432487,-2,1,49,48,24,2,13
2,65,5,10.66838036124953,0.16412892863460815,-2,1,49,48,25,2,13
2,66,4,10.785484096351082,0.16341642570228912,-1,11,49,48,17,2,13
2,67,4,14.521867369197208,0.21674428909249566,-1,11,366,345,17,2,13
2,68,4,14.64180414776193,0.2153206492317931,-1,11,366,345,17,2,13
2,69,4,14.774298765492501,0.21412027196365943,-1,11,366,345,16,2,13
2,70,4,14.905547980948283,0.21293639972783263,-1,11,366,345,15,2,13
2,71,4,15.051048861611518,0.21198660368466926,-1,11,366,345,13,2,13
2,72,4,15.15976873017915,0.2105523434747104,-1,10,366,345,7,2,13
2,73,4,15.244142661916099,0.20882387208104244,-1,9,366,345,0,2,13
2,74,4,15.35300582082469,0.20747305163276608,-1,8,366,345,0,2,13
2,75,4,15.44398176620541,0.20591975688273878,-1,7,366,345,3,2,13
2,76,4,15.562443404262693,0.20476899216135122,-1,6,366,345,3,2,13
2,77,4,15.658299510760186,0.20335453910078163,-1,5,366,345,3,2,13
2,78,4,15.765646476281303,0.20212367277283722,-1,4,366,345,6,2,13
2,79,4,15.859941389118928,0.20075875176099908,-1,3,366,345,6,2,13
2,80,4,15.954337749939013,0.19942922187423767,-1,2,366,345,6,2,13
2,81,4,16.038551022808832,0.19800680275072632,-1,1,366,345,6,2,13
2,82,4,16.129028807279624,0.19669547325950762,-1,1,366,345,3,2,13
2,83,4,16.221535156660167,0.19544018261036344,-1,1,366,345,4,2,13
2,84,4,16.30784212641288,0.19414097769539143,-1,1,366,345,6,2,13
2,85,4,16.40861668373256,0.19304254922038305,-1,1,366,345,10,2,13
2,86,3,16.521023021981463,0.19210491886024958,-2,1,366,345,12,2,13
2,87,3,22.891421053337965,0.26311978222227544,-2,1,819,15,12,2,13
2,88,3,23.00159632545146,0.26138177642558474,-2,1,819,15,15,2,13
2,89,3,23.105008530314805,0.2596068374192675,-2,1,819,15,14,2,13
2,90,3,23.199747524787668,0.25777497249764075,-2,1,819,15,14,2,13
2,91,2,23.301776168645247,0.256063474380717,-1,4,819,15,12,2,13
2,92,2,33.44736428667859,0.3635583074638977,-1,4,1217,159,12,2,13
