mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00011250068092517402,0.00011250068092517402,0,1,0,[],7,6,29
2,2,10,5.417299762603825,2.7086498813019126,0,1,495,30,7,6,29
2,3,10,5.5468989680727,1.8489663226908999,0,1,495,30,7,6,29
2,4,10,5.6919186616129505,1.4229796654032376,0,3,495,30,8,6,29
2,5,10,5.838411127225243,1.1676822254450485,0,2,495,30,6,6,29
2,6,10,5.981305150004855,0.9968841916674758,0,1,495,30,4,6,29
2,7,10,6.118042424993624,0.8740060607133749,0,1,495,30,3,6,29
2,8,9,6.251958893435408,0.781494861679426,2,6,495,30,4,6,29
2,9,9,11.47234377997551,1.2747048644417234,2,6,466,210,4,6,29
2,10,9,11.599750998492885,1.1599750998492886,2,6,466,210,4,6,29
2,11,9,11.733757072740177,1.066705188430925,2,1,466,210,5,6,29
2,12,9,11.866706824804465,0.9888922354003721,2,1,466,210,6,6,29
2,13,9,11.996651032361513,0.9228193101816549,2,1,466,210,6,6,29
2,14,9,12.160043863423386,0.868574561673099,2,2,466,210,6,6,29
2,15,9,12.29959523439221,0.8199730156261473,2,3,466,210,5,6,29
2,16,9,12.415930412210392,0.7759956507631495,2,4,466,210,5,6,29
2,17,9,12.52678345158405,0.7368696147990618,2,4,466,210,5,6,29
2,18,9,12.660328470409164,0.703351581689398,2,4,466,210,2,6,29
2,19,9,12.807452913530794,0.6740764691331996,2,4,466,210,4,6,29
2,20,9,12.945469933107494,0.6472734966553747,2,4,466,210,5,6,29
2,21,9,13.089295935212244,0.6232998064386782,2,4,466,210,7,6,29
2,22,9,13.228872569491875,0.601312389522358,2,4,466,210,6,6,29
2,23,9,13.360784946856262,0.5809036933415765,2,4,466,210,5,6,29
2,24,9,13.490908366024327,0.5621211819176802,2,4,466,210,5,6,29
2,25,9,13.613512002835813,0.5445404801134326,2,4,466,210,12,6,29
2,26,9,13.76311264515549,0.5293504863521342,2,3,466,210,13,6,29
2,27,9,13.883153634877269,0.5141908753658248,2,2,466,210,13,6,29
2,28,9,14.017528000827378,0.5006260000295492,2,1,466,210,15,6,29
2,29,9,14.150284330668322,0.48794083898856283,2,1,466,210,11,6,29
2,30,9,14.273822709979564,0.47579409033265213,2,1,466,210,16,6,29
2,31,9,14.434068285150152,0.46561510597258554,2,1,466,210,16,6,29
2,32,8,14.558646802335913,0.4549577125729973,3,9,466,210,18,6,29
2,33,8,22.143911660517944,0.6710276260763013,3,9,700,525,18,6,29
2,34,8,22.270632427512055,0.6550186008091781,3,9,700,525,15,6,29
2,35,8,22.411536964565833,0.6403296275590238,3,18,700,525,18,6,29
2,36,8,22.55219597381773,0.6264498881616036,3,27,700,525,21,6,29
2,37,8,22.687521266576084,0.6131762504480023,3,24,700,525,21,6,29
2,38,8,22.83315675331719,0.600872546139926,3,21,700,525,21,6,29
2,39,8,22.963888070901476,0.5888176428436276,3,18,700,525,20,6,29
2,40,8,23.09364082993133,0.5773410207482833,3,12,700,525,14,6,29
2,41,8,23.227797694564984,0.5665316510869508,3,10,700,525,16,6,29
2,42,8,23.361175738695252,0.5562184699689345,3,5,700,525,10,6,29
2,43,8,23.51128677884102,0.5467741111358376,3,5,700,525,11,6,29
2,44,8,23.636836749275048,0.5372008352107965,3,5,700,525,10,6,29
2,45,8,23.783703032939393,0.5285267340653198,3,4,700,525,6,6,29
2,46,8,23.944658743987112,0.5205360596518938,3,3,700,525,7,6,29
2,47,8,24.06357472689964,0.5119909516361625,3,2,700,525,3,6,29
2,48,8,24.188272455333255,0.5039223428194428,3,1,700,525,3,6,29
2,49,8,24.312474786031572,0.4961729548169709,3,1,700,525,4,6,29
2,50,7,24.45160733867597,0.4890321467735194,2,1,700,525,2,6,29
2,51,7,37.079134557919666,0.7270418540768562,2,1,1084,252,2,6,29
2,52,7,37.20824862887325,0.7155432428629471,2,7,1084,252,4,6,29
2,53,7,37.345739461054606,0.7046365936048039,2,7,1084,252,3,6,29
2,54,7,37.492317585080094,0.6943021775014833,2,7,1084,252,3,6,29
2,55,7,37.63251672312751,0.6842275767841365,2,14,1084,252,7,6,29
2,56,7,38.578388895511715,0.6888998017055663,2,12,1084,252,8,6,29
2,57,7,38.72732361274816,0.6794267300482133,2,10,1084,252,7,6,29
2,58,7,38.872210279167454,0.6702105220546113,2,8,1084,252,7,6,29
2,59,7,39.02060775631008,0.661366233157798,2,6,1084,252,8,6,29
2,60,7,39.149845380643065,0.6524974230107178,2,4,1084,252,9,6,29
2,61,7,39.29607573940577,0.6441979629410782,2,2,1084,252,9,6,29
2,62,7,39.440652930267724,0.6361395633914149,2,2,1084,252,9,6,29
2,63,7,39.59250121777051,0.6284524002820716,2,1,1084,252,14,6,29
2,64,7,39.76161816242571,0.6212752837879018,2,1,1084,252,14,6,29
2,65,7,39.95002877648995,0.6146158273306146,2,1,1084,252,16,6,29
2,66,6,40.1251122046265,0.6079562455246439,1,1,1084,252,17,6,29
2,67,6,51.31121635736216,0.7658390501098831,1,1,909,180,17,6,29
2,68,6,51.457110793039014,0.7567222175446914,1,4,909,180,16,6,29
2,69,6,51.60079626797742,0.7478376270721365,1,5,909,180,14,6,29
2,70,6,51.760154074616786,0.7394307724945255,1,5,909,180,14,6,29
2,71,6,51.926796004291624,0.7313633240041074,1,5,909,180,9,6,29
2,72,6,52.06548921217156,0.723131794613494,1,10,909,180,8,6,29
2,73,6,52.192211558122615,0.7149618021660632,1,8,909,180,7,6,29
2,74,6,52.3392156057787,0.7072866973753879,1,6,909,180,8,6,29
2,75,6,52.46987429134443,0.6995983238845924,1,4,909,180,9,6,29
2,76,6,52.63750622701141,0.6925987661448869,1,2,909,180,9,6,29
2,77,6,52.7841739568424,0.685508752686265,1,2,909,180,8,6,29
2,78,6,52.930026550160726,0.6785900839764195,1,2,909,180,7,6,29
2,79,6,53.06632171721042,0.671725591357094,1,2,909,180,7,6,29
2,80,6,53.21776539700112,0.665222067462514,1,1,909,180,9,6,29
2,81,6,53.36846933547232,0.6588699917959545,1,1,909,180,10,6,29
2,82,6,53.49348246055177,0.6523595422018508,1,1,909,180,14,6,29
2,83,5,53.66123518642353,0.6465209058605245,0,1,909,180,16,6,29
2,84,5,67.57356005049508,0.8044471434582747,0,1,1159,1443,16,6,29
