mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,9.473741551593601e-05,9.473741551593601e-05,0,1,0,[],3,1,6
2,2,10,5.620363886412997,2.8101819432064983,0,1,1247,9,3,1,6
2,3,10,5.668365755897996,1.8894552519659988,0,1,1247,9,10,1,6
2,4,9,5.723215561567872,1.430803890391968,2,1,1247,9,10,1,6
2,5,9,11.13062315903491,2.226124631806982,2,1,1256,45,10,1,6
2,6,9,11.17747396892139,1.8629123281535651,2,1,1256,45,10,1,6
2,7,9,11.230559290227282,1.6043656128896118,2,2,1256,45,10,1,6
2,8,9,11.28534356918476,1.410667946148095,2,2,1256,45,3,1,6
2,9,9,11.332822409188267,1.2592024899098075,2,2,1256,45,3,1,6
2,10,9,11.380767436223957,1.1380767436223957,2,2,1256,45,3,1,6
2,11,9,11.432903409678532,1.0393548554253211,2,2,1256,45,3,1,6
2,12,9,11.489176645016537,0.9574313870847114,2,1,1256,45,3,1,6
2,13,9,11.55102675621458,0.8885405197088138,2,1,1256,45,3,1,6
2,14,8,11.600031658086355,0.828573689863311,1,5,1256,45,3,1,6
2,15,8,15.498627096953484,1.0332418064635656,1,5,891,63,3,1,6
