mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,9.552689397856882e-05,9.552689397856882e-05,0,1,0,[],21,5,22
2,2,10,4.20843770896508,2.10421885448254,0,1,230,27,21,5,22
2,3,10,4.403579811140961,1.4678599370469871,0,3,230,27,21,5,22
2,4,10,4.576067039353132,1.144016759838283,0,2,230,27,14,5,22
2,5,10,4.770600453634324,0.9541200907268648,0,1,230,27,7,5,22
2,6,10,4.964160440971089,0.8273600734951815,0,1,230,27,0,5,22
2,7,9,5.133037778912871,0.7332911112732673,-1,3,230,27,0,5,22
2,8,9,7.216761180396617,0.9020951475495771,-1,3,118,36,0,5,22
2,9,9,7.45890133019226,0.8287668144658067,-1,2,118,36,0,5,22
2,10,9,7.666319427722851,0.7666319427722851,-1,1,118,36,0,5,22
2,11,9,7.818888903801259,0.7108080821637508,-1,1,118,36,0,5,22
2,12,9,7.958815277039834,0.6632346064199862,-1,2,118,36,0,5,22
2,13,9,8.162306113958058,0.6278697010736968,-1,1,118,36,0,5,22
2,14,9,8.303258414458824,0.5930898867470589,-1,1,118,36,0,5,22
2,15,8,8.455093280827752,0.5636728853885168,-2,7,118,36,0,5,22
2,16,8,11.346796572716096,0.709174785794756,-2,7,199,306,0,5,22
2,17,8,11.530563869202362,0.6782684628942566,-2,7,199,306,7,5,22
2,18,8,11.685695202892015,0.6492052890495564,-2,14,199,306,13,5,22
2,19,8,11.854714646957072,0.6239323498398459,-2,12,199,306,16,5,22
2,20,8,12.018803008544522,0.600940150427226,-2,10,199,306,17,5,22
2,21,8,12.16787035816269,0.5794223980077471,-2,8,199,306,18,5,22
2,22,8,12.309364635628052,0.5595165743467296,-2,6,199,306,19,5,22
2,23,8,12.450156672000906,0.5413111596522133,-2,4,199,306,21,5,22
2,24,8,12.5951025493049,0.5247959395543708,-2,2,199,306,22,5,22
2,25,8,12.772167963121879,0.5108867185248751,-2,2,199,306,23,5,22
2,26,8,12.915789490304805,0.4967611342424925,-2,2,199,306,23,5,22
2,27,8,13.055601389166297,0.4835407921913443,-2,2,199,306,22,5,22
