mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00012947446787177922,0.00012947446787177922,0,2,0,[],0,1,4
2,2,10,1.3168121807053044,0.6584060903526522,0,2,348,27,0,1,4
2,3,10,1.362875485825309,0.4542918286084363,0,2,348,27,0,1,4
2,4,10,1.4061116685706254,0.35152791714265635,0,2,348,27,0,1,4
2,5,10,1.4491812713603267,0.28983625427206533,0,1,348,27,0,1,4
2,6,10,1.4912995526025548,0.24854992543375912,0,1,348,27,5,1,4
2,7,9,1.531708218233952,0.21881545974770744,2,3,348,27,4,1,4
2,8,9,4.0248942296229675,0.5031117787028709,2,3,606,81,4,1,4
2,9,9,4.072409385635753,0.4524899317373059,2,3,606,81,5,1,4
2,10,9,4.123080087063682,0.41230800870636825,2,3,606,81,4,1,4
2,11,9,4.174558030219654,0.37950527547451396,2,6,606,81,4,1,4
2,12,9,4.222482530815315,0.35187354423460954,2,4,606,81,3,1,4
2,13,9,4.275659826362103,0.3288969097201618,2,2,606,81,3,1,4
2,14,9,4.323313535845083,0.3088081097032202,2,2,606,81,4,1,4
2,15,9,4.3654215538672965,0.2910281035911531,2,1,606,81,5,1,4
2,16,9,4.411179330822263,0.2756987081763914,2,1,606,81,6,1,4
2,17,9,4.453928010616904,0.26199576533040614,2,1,606,81,6,1,4
2,18,8,4.511118619928487,0.25061770110713816,4,6,606,81,4,1,4
2,19,8,8.17054195328024,0.43002852385685475,4,6,959,123,4,1,4
2,20,8,8.223266088189478,0.4111633044094739,4,6,959,123,4,1,4
2,21,8,8.287572661624003,0.3946463172201906,4,6,959,123,3,1,4
2,22,8,8.3575926906926,0.37989057684966365,4,6,959,123,2,1,4
2,23,8,8.40602324698281,0.3654792716079483,4,5,959,123,3,1,4
2,24,8,8.446099147442206,0.35192079781009195,4,4,959,123,0,1,4
2,25,8,8.488807958574485,0.3395523183429794,4,3,959,123,0,1,4
2,26,8,8.541214328402512,0.32850824340009666,4,2,959,123,1,1,4
2,27,8,8.584438274231657,0.31794215830487615,4,1,959,123,2,1,4
2,28,8,8.632255405756398,0.30829483591987134,4,1,959,123,3,1,4
2,29,7,8.675549220429486,0.2991568696699823,3,6,959,123,4,1,4
2,30,7,13.104187867452877,0.4368062622484292,3,6,1216,105,4,1,4
2,31,7,13.152089078433887,0.42426093801399634,3,9,1216,105,3,1,4
2,32,7,13.195575131112632,0.41236172284726974,3,6,1216,105,3,1,4
2,33,7,13.250027829115806,0.4015159948216911,3,3,1216,105,3,1,4
2,34,7,13.30261972638255,0.39125352136419267,3,3,1216,105,3,1,4
2,35,7,13.350698175278422,0.3814485192936692,3,3,1216,105,3,1,4
2,36,7,13.395379103610358,0.3720938639891766,3,2,1216,105,4,1,4
2,37,7,13.45158325958288,0.36355630431305086,3,1,1216,105,4,1,4
2,38,7,13.507046490018224,0.35544859184258487,3,1,1216,105,4,1,4
2,39,6,13.56490578758766,0.34781809711763234,5,1,1216,105,4,1,4
2,40,6,17.96110989619148,0.449027747404787,5,1,1269,12,4,1,4
