mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00015315882175076322,0.00015315882175076322,0,5,0,[],6,6,23
2,2,10,17.27664983235425,8.638324916177124,0,5,1063,57,6,6,23
2,3,10,17.46454965385317,5.82151655128439,0,1,1063,57,13,6,23
2,4,10,17.646645624434043,4.411661406108511,0,1,1063,57,12,6,23
2,5,10,17.825735655768444,3.565147131153689,0,1,1063,57,13,6,23
2,6,10,18.01064809076476,3.0017746817941267,0,1,1063,57,15,6,23
2,7,10,18.203621890343022,2.600517412906146,0,1,1063,57,15,6,23
2,8,10,18.396629637495177,2.299578704686897,0,3,1063,57,13,6,23
2,9,10,18.56521565788425,2.0628017397649163,0,2,1063,57,14,6,23
2,10,10,18.73749643747844,1.873749643747844,0,1,1063,57,19,6,23
2,11,10,18.921551104125108,1.7201410094659189,0,1,1063,57,16,6,23
2,12,10,19.10285285937257,1.5919044049477142,0,1,1063,57,14,6,23
2,13,9,19.26982479104479,1.4822942146957532,2,4,1063,57,15,6,23
2,14,9,30.03617153472245,2.1454408239087464,2,4,735,141,15,6,23
2,15,9,30.22358345853146,2.0149055639020976,2,5,735,141,14,6,23
2,16,9,30.41174933427229,1.9007343333920181,2,5,735,141,16,6,23
2,17,9,30.577222835822433,1.7986601668130842,2,5,735,141,19,6,23
2,18,9,30.758918146083523,1.7088287858935292,2,5,735,141,14,6,23
2,19,9,30.938080019958022,1.6283200010504222,2,5,735,141,13,6,23
2,20,9,31.11870598164147,1.5559352990820734,2,4,735,141,15,6,23
2,21,9,31.291045182641895,1.490049770601995,2,3,735,141,15,6,23
2,22,9,31.46561189712464,1.4302550862329382,2,2,735,141,12,6,23
2,23,9,31.667187459292514,1.376834237360544,2,2,735,141,11,6,23
2,24,9,31.86290351231073,1.3276209796796137,2,2,735,141,13,6,23
2,25,9,32.04065893030405,1.281626357212162,2,1,735,141,10,6,23
2,26,9,32.21890698285805,1.2391887301099251,2,1,735,141,6,6,23
2,27,9,32.40375941749121,1.2001392376848596,2,1,735,141,4,6,23
2,28,9,32.58447537971941,1.1637312635614074,2,1,735,141,4,6,23
2,29,8,32.762824880255856,1.129752582077788,1,6,735,141,5,6,23
2,30,8,42.58825106046695,1.4196083686822318,1,6,663,57,5,6,23
2,31,8,42.77491574291108,1.3798359917068088,1,3,663,57,4,6,23
2,32,8,42.95942396493452,1.3424819989042038,1,3,663,57,0,6,23
2,33,8,43.16361309555295,1.3079882756228165,1,1,663,57,0,6,23
2,34,8,43.34761644609954,1.274929895473516,1,1,663,57,6,6,23
2,35,8,43.507110437773704,1.2430602982221057,1,1,663,57,5,6,23
2,36,8,43.91133564755787,1.2197593235432742,1,1,663,57,4,6,23
2,37,8,44.238022624873786,1.1956222331046968,1,1,663,57,3,6,23
2,38,8,44.4275092980826,1.1691449815284893,1,1,663,57,2,6,23
2,39,7,44.60721512261785,1.143774746733791,3,1,663,57,0,6,23
2,40,7,50.050398726097555,1.2512599681524388,3,1,354,42,0,6,23
2,41,7,50.21657328452251,1.2247944703542075,3,1,354,42,2,6,23
2,42,7,50.418323321430634,1.2004362695578723,3,4,354,42,3,6,23
2,43,7,50.64633772783362,1.1778218076240377,3,3,354,42,3,6,23
2,44,7,50.85143239024868,1.1557143725056518,3,2,354,42,4,6,23
2,45,7,51.03916878970584,1.134203750882352,3,1,354,42,5,6,23
2,46,7,51.244737533937716,1.1140160333464721,3,1,354,42,6,6,23
2,47,6,51.42805995931029,1.094214041687453,4,15,354,42,9,6,23
2,48,6,61.49609287108844,1.2811686014810093,4,15,698,234,9,6,23
2,49,6,61.68504506737806,1.2588784707628176,4,12,698,234,9,6,23
2,50,6,61.86226324527757,1.2372452649055514,4,9,698,234,11,6,23
2,51,6,62.04267960042919,1.2165231294201801,4,6,698,234,14,6,23
2,52,6,62.222019896436244,1.196577305700697,4,4,698,234,14,6,23
2,53,6,62.39517699712396,1.1772674905117728,4,2,698,234,14,6,23
2,54,6,62.57443992424168,1.1587859245229941,4,3,698,234,11,6,23
2,55,6,62.74378423869411,1.1407960770671657,4,3,698,234,11,6,23
2,56,6,62.92998233936684,1.1237496846315507,4,3,698,234,15,6,23
2,57,6,63.11474714189064,1.1072762656472042,4,3,698,234,11,6,23
2,58,6,63.282592631481755,1.0910791833014095,4,3,698,234,9,6,23
2,59,6,63.45971409826958,1.0755883745469421,4,3,698,234,7,6,23
2,60,6,63.640320717730695,1.0606720119621782,4,3,698,234,6,6,23
2,61,6,63.814405455612,1.046137794354295,4,2,698,234,7,6,23
2,62,6,63.984242404625114,1.032003909752018,4,1,698,234,13,6,23
2,63,6,64.17549040428406,1.0186585778457788,4,1,698,234,13,6,23
2,64,6,64.35475767353333,1.0055430886489582,4,1,698,234,16,6,23
2,65,6,64.52969583763274,0.9927645513481961,4,1,698,234,19,6,23
2,66,6,64.70509782032896,0.9803802700049842,4,1,698,234,19,6,23
2,67,6,64.89690240230405,0.9686104836164784,4,1,698,234,21,6,23
2,68,5,65.0735300503135,0.9569636772104926,5,6,698,234,25,6,23
2,69,5,78.30456815922837,1.1348488139018604,5,6,927,138,25,6,23
2,70,5,78.4807521203418,1.1211536017191686,5,4,927,138,21,6,23
2,71,5,78.65767266486088,1.1078545445755055,5,2,927,138,19,6,23
2,72,5,78.83020489334542,1.0948639568520198,5,2,927,138,19,6,23
2,73,5,79.00867399986896,1.082310602737931,5,2,927,138,16,6,23
2,74,5,79.1767555435204,1.069956155993519,5,3,927,138,13,6,23
2,75,5,79.36660221890817,1.0582213629187756,5,4,927,138,13,6,23
2,76,5,79.53349836064798,1.0464933994822103,5,4,927,138,11,6,23
2,77,5,79.72163660464263,1.0353459299304237,5,4,927,138,16,6,23
2,78,5,79.89249119139407,1.0242627075819752,5,4,927,138,19,6,23
2,79,5,80.07836363220095,1.0136501725595057,5,3,927,138,19,6,23
2,80,5,80.26115158065433,1.0032643947581792,5,2,927,138,19,6,23
2,81,5,80.44418150425649,0.9931380432624258,5,1,927,138,19,6,23
