mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014407981943048603,0.00014407981943048603,0,9,0,[],23,5,35
2,2,10,4.5756790106887495,2.2878395053443747,0,9,209,432,23,5,35
2,3,10,4.820351807392519,1.6067839357975062,0,6,209,432,23,5,35
2,4,10,5.123536405615087,1.2808841014037717,0,3,209,432,24,5,35
2,5,10,5.413678424895729,1.0827356849791459,0,3,209,432,25,5,35
2,6,10,5.711643781001832,0.951940630166972,0,1,209,432,26,5,35
2,7,10,5.9616562152876185,0.8516651736125169,0,1,209,432,26,5,35
2,8,10,6.239633555676784,0.779954194459598,0,1,209,432,26,5,35
2,9,10,6.477037624175093,0.719670847130566,0,2,209,432,25,5,35
2,10,10,6.782212102862728,0.6782212102862728,0,3,209,432,28,5,35
2,11,10,7.2202526488976115,0.6563866044452374,0,3,209,432,23,5,35
2,12,10,7.478392369216971,0.6231993641014143,0,3,209,432,18,5,35
2,13,10,7.724767281486178,0.5942128678066291,0,3,209,432,14,5,35
2,14,10,8.02870859481518,0.5734791853439415,0,3,209,432,17,5,35
2,15,10,8.275943643869423,0.5517295762579616,0,3,209,432,19,5,35
2,16,10,8.471510485458202,0.5294694053411376,0,3,209,432,21,5,35
2,17,10,8.819451407205888,0.5187912592474051,0,6,209,432,20,5,35
2,18,10,9.022073028336754,0.5012262793520419,0,9,209,432,19,5,35
2,19,10,9.250348752110868,0.4868604606374141,0,12,209,432,21,5,35
2,20,10,9.477778154973043,0.47388890774865217,0,15,209,432,20,5,35
2,21,10,9.711026803583286,0.46242984778968027,0,18,209,432,18,5,35
2,22,10,9.901484930040366,0.4500674968200167,0,12,209,432,14,5,35
2,23,10,10.184011640070453,0.4427831147856719,0,6,209,432,14,5,35
2,24,10,10.458259089462912,0.43576079539428797,0,5,209,432,16,5,35
2,25,10,10.657886218785011,0.4263154487514004,0,4,209,432,19,5,35
2,26,10,10.856104918529775,0.41754249686652983,0,3,209,432,15,5,35
2,27,10,11.039289974649853,0.40886259165369826,0,2,209,432,17,5,35
2,28,10,11.250212172336836,0.40179329186917273,0,1,209,432,20,5,35
2,29,10,11.469807975153534,0.3955106198328805,0,1,209,432,18,5,35
2,30,10,11.664689549436746,0.38882298498122486,0,1,209,432,16,5,35
2,31,10,11.999158021219602,0.38706961358772907,0,1,209,432,14,5,35
2,32,9,12.213568134754498,0.38167400421107806,1,1,209,432,16,5,35
2,33,9,16.587785268173988,0.502660159641636,1,1,207,84,16,5,35
2,34,9,16.808097917434765,0.4943558211010225,1,1,207,84,14,5,35
2,35,9,17.21832474249186,0.4919521354997674,1,2,207,84,16,5,35
2,36,9,17.445215326303284,0.4845893146195357,1,2,207,84,18,5,35
2,37,9,17.711459043041565,0.4786880822443666,1,2,207,84,20,5,35
2,38,9,18.00733307070015,0.47387718607105656,1,2,207,84,17,5,35
2,39,9,18.2467064932235,0.4678642690570128,1,2,207,84,15,5,35
2,40,9,18.4886986158074,0.46221746539518505,1,2,207,84,19,5,35
2,41,9,18.66422928349302,0.45522510447543957,1,2,207,84,16,5,35
2,42,9,18.890479995010487,0.4497733332145354,1,4,207,84,14,5,35
2,43,9,19.31555138360047,0.44919886938605746,1,2,207,84,17,5,35
2,44,9,19.56166024162777,0.44458318730972207,1,2,207,84,17,5,35
2,45,9,19.76457673296443,0.43921281628809844,1,1,207,84,17,5,35
2,46,9,20.109967639277812,0.43717320954951766,1,1,207,84,20,5,35
2,47,9,20.336900065447757,0.4327000013925055,1,1,207,84,17,5,35
2,48,8,20.543285525149223,0.4279851151072755,2,5,207,84,9,5,35
2,49,8,24.632920541361166,0.5027126641094115,2,5,204,45,9,5,35
2,50,8,24.8352808451209,0.496705616902418,2,1,204,45,17,5,35
2,51,8,25.070944508348333,0.49158714722251634,2,1,204,45,20,5,35
2,52,8,25.3155655942128,0.4868377998887077,2,1,204,45,17,5,35
2,53,8,25.52559923389009,0.4816150798847187,2,1,204,45,17,5,35
2,54,8,25.761280660382937,0.4770607529700544,2,2,204,45,13,5,35
2,55,8,25.96935165660212,0.47217003012003855,2,1,204,45,17,5,35
2,56,8,26.18994693915252,0.46767762391343787,2,1,204,45,17,5,35
2,57,8,26.52976886439049,0.4654345414805349,2,1,204,45,18,5,35
2,58,7,26.770523874223443,0.46156075645212835,4,1,204,45,17,5,35
2,59,7,30.25206902568094,0.51274693263866,4,1,154,84,17,5,35
2,60,7,30.47948224423463,0.5079913707372439,4,1,154,84,18,5,35
2,61,7,30.708787053184793,0.5034227385767999,4,2,154,84,17,5,35
2,62,7,30.931597217562107,0.4988967293155179,4,2,154,84,17,5,35
2,63,7,31.13873347128154,0.49426561065526253,4,4,154,84,13,5,35
2,64,7,31.35653676324884,0.48994588692576313,4,2,154,84,17,5,35
2,65,7,31.646122200213327,0.4868634184648204,4,2,154,84,17,5,35
2,66,7,31.914560272338505,0.48355394352028036,4,1,154,84,14,5,35
2,67,7,32.193106826699236,0.48049413174177963,4,1,154,84,14,5,35
2,68,7,32.39936478562899,0.47646124684748514,4,1,154,84,18,5,35
2,69,7,32.604626817478135,0.4725308234417121,4,2,154,84,20,5,35
2,70,7,32.91524830281871,0.47021783289741015,4,2,154,84,19,5,35
2,71,7,33.1904364157994,0.4674709354337943,4,2,154,84,18,5,35
2,72,7,33.39908846816708,0.46387622872454276,4,2,154,84,16,5,35
2,73,7,33.615692542349635,0.4604889389362964,4,1,154,84,16,5,35
2,74,7,33.84827289744126,0.4574090932086657,4,1,154,84,10,5,35
2,75,6,34.12667892463563,0.45502238566180836,3,4,154,84,13,5,35
2,76,6,36.02357145845886,0.4739943612955113,3,4,86,48,13,5,35
2,77,6,36.267638330442566,0.4710082900057476,3,4,86,48,10,5,35
2,78,6,36.53089702911363,0.46834483370658503,3,1,86,48,16,5,35
2,79,6,36.7718588823038,0.4654665681304279,3,1,86,48,16,5,35
2,80,6,37.02256645237594,0.4627820806546993,3,1,86,48,16,5,35
2,81,6,37.24876229514025,0.4598612629029661,3,1,86,48,13,5,35
2,82,6,37.47562722090164,0.4570198441573371,3,1,86,48,13,5,35
2,83,6,37.819910883671184,0.455661576911701,3,1,86,48,13,5,35
2,84,6,38.06614408455634,0.45316838195900405,3,1,86,48,13,5,35
2,85,5,38.37225054256912,0.45143824167728375,2,9,86,48,8,5,35
2,86,5,44.6580468776522,0.5192796148564209,2,9,311,213,8,5,35
2,87,5,44.89928544304351,0.516083740724638,2,9,311,213,9,5,35
2,88,5,45.09773703893474,0.5124742845333493,2,8,311,213,4,5,35
2,89,5,45.29493573250578,0.5089318621629862,2,7,311,213,5,5,35
2,90,5,45.518231820876835,0.5057581313430759,2,6,311,213,6,5,35
2,91,5,45.7315875859249,0.5025449185266473,2,5,311,213,8,5,35
2,92,5,45.95137641622571,0.4994714827850621,2,5,311,213,10,5,35
2,93,5,46.188235349845584,0.49664769193382347,2,5,311,213,12,5,35
2,94,5,46.418155951996596,0.49381016970209146,2,4,311,213,10,5,35
2,95,5,46.660918210820796,0.4911675601139031,2,3,311,213,14,5,35
2,96,5,46.876818464953914,0.48830019234326993,2,2,311,213,9,5,35
2,97,5,47.08220483966092,0.4853835550480507,2,2,311,213,12,5,35
2,98,5,47.28965214789463,0.482547470896884,2,1,311,213,13,5,35
2,99,5,47.50859228884812,0.47988477059442547,2,1,311,213,15,5,35
2,100,5,47.706486512944736,0.47706486512944735,2,1,311,213,15,5,35
2,101,5,47.92068109885935,0.4744621890976173,2,1,311,213,14,5,35
2,102,5,48.17123551010974,0.47226701480499744,2,1,311,213,14,5,35
2,103,4,48.559186410865195,0.47144841175597274,4,4,311,213,16,5,35
2,104,4,60.7709016396679,0.5843355926891144,4,4,688,264,16,5,35
2,105,4,60.96394215017625,0.5806089728588214,4,4,688,264,14,5,35
2,106,4,61.147108653552465,0.5768595155995515,4,4,688,264,14,5,35
2,107,4,61.3382240208297,0.5732544301012121,4,4,688,264,15,5,35
2,108,4,61.542566310269876,0.5698385769469433,4,5,688,264,15,5,35
2,109,4,61.75548825690271,0.5665641124486487,4,6,688,264,13,5,35
2,110,4,61.9374093580041,0.5630673578000372,4,6,688,264,14,5,35
2,111,4,62.13991334684404,0.5598190391607571,4,6,688,264,17,5,35
2,112,4,62.341086669735205,0.5566168452654929,4,6,688,264,16,5,35
2,113,4,62.55297479432123,0.5535661486223118,4,6,688,264,13,5,35
2,114,4,62.74760136706101,0.5504175558514124,4,6,688,264,11,5,35
2,115,4,62.945684671249424,0.547353779749995,4,6,688,264,8,5,35
2,116,4,63.175814485193044,0.5446190903895952,4,6,688,264,13,5,35
2,117,4,63.393670277478094,0.541826241687847,4,5,688,264,15,5,35
2,118,4,63.60889789596105,0.5390584567454326,4,4,688,264,15,5,35
2,119,4,63.81214517877355,0.5362365141073407,4,3,688,264,14,5,35
2,120,4,63.9905400743216,0.5332545006193466,4,2,688,264,14,5,35
2,121,4,64.1794642441258,0.5304087954059983,4,2,688,264,10,5,35
2,122,4,64.46699624760898,0.5284180020295818,4,1,688,264,4,5,35
2,123,4,64.75907722599383,0.526496562812958,4,1,688,264,4,5,35
2,124,3,65.08880922174012,0.5249097517882267,6,2,688,264,2,5,35
2,125,3,81.7403069808055,0.653922455846444,6,2,817,21,2,5,35
2,126,3,81.96748690847348,0.6505356103847101,6,1,817,21,6,5,35
2,127,3,82.1982621210603,0.6472304104020495,6,1,817,21,7,5,35
2,128,3,82.42072175700021,0.6439118887265641,6,1,817,21,8,5,35
2,129,3,82.6557558111537,0.6407422931097185,6,1,817,21,9,5,35
