mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00011644807323833802,0.00011644807323833802,0,2,0,[],0,1,5
2,2,10,4.617729002043959,2.3088645010219797,0,2,907,21,0,1,5
2,3,10,4.679896088844748,1.5599653629482493,0,2,907,21,0,1,5
2,4,10,4.7586698551070175,1.1896674637767544,0,1,907,21,6,1,5
2,5,10,4.859487044263688,0.9718974088527377,0,1,907,21,5,1,5
2,6,9,4.9181480572119245,0.8196913428686541,-1,1,907,21,8,1,5
2,7,9,8.889143407973258,1.2698776297104655,-1,1,917,18,8,1,5
2,8,9,8.947639419922803,1.1184549274903504,-1,1,917,18,5,1,5
2,9,9,9.015222328977252,1.0016913698863614,-1,1,917,18,6,1,5
2,10,9,9.075690063387222,0.9075690063387223,-1,1,917,18,6,1,5
2,11,9,9.138206099668494,0.8307460090607722,-1,1,917,18,5,1,5
2,12,8,9.197945934935918,0.7664954945779932,0,3,917,18,6,1,5
2,13,8,13.414121717052494,1.0318555166963457,0,3,988,60,6,1,5
