mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014407981943048603,0.00014407981943048603,0,8,0,[],0,1,5
2,2,10,1.3683813086237102,0.6841906543118551,0,8,256,126,0,1,5
2,3,10,1.4427821536814567,0.48092738456048556,0,7,256,126,0,1,5
2,4,10,1.5201163059671152,0.3800290764917788,0,6,256,126,0,1,5
2,5,10,1.5777134966869537,0.31554269933739076,0,5,256,126,0,1,5
2,6,10,1.6365872740808698,0.27276454568014497,0,4,256,126,1,1,5
2,7,10,1.7059169042338944,0.24370241489055636,0,3,256,126,2,1,5
2,8,10,1.770675848827507,0.22133448110343837,0,2,256,126,3,1,5
2,9,10,1.8177615285566209,0.20197350317295787,0,2,256,126,3,1,5
2,10,10,1.883229819548909,0.1883229819548909,0,2,256,126,4,1,5
2,11,10,1.9480838962972682,0.17709853602702438,0,1,256,126,5,1,5
2,12,10,2.0000888163270467,0.1666740680272539,0,1,256,126,6,1,5
2,13,9,2.058446669545633,0.15834205150351024,-1,2,256,126,7,1,5
2,14,9,3.084131956588159,0.22029513975629708,-1,2,169,54,7,1,5
2,15,9,3.1299055231123774,0.20866036820749181,-1,2,169,54,6,1,5
2,16,9,3.182444920061359,0.19890280750383493,-1,2,169,54,5,1,5
2,17,9,3.24966822167608,0.19115695421624,-1,2,169,54,4,1,5
2,18,9,3.3077469942581246,0.18376372190322915,-1,1,169,54,3,1,5
2,19,9,3.3704414526719546,0.1773916554037871,-1,1,169,54,3,1,5
2,20,9,3.4223374246738913,0.17111687123369457,-1,3,169,54,4,1,5
2,21,9,3.476456173287371,0.16554553206130337,-1,2,169,54,4,1,5
2,22,9,3.5251168625494387,0.16023258466133813,-1,1,169,54,5,1,5
2,23,9,3.56862738906052,0.1551577125678487,-1,1,169,54,6,1,5
2,24,8,3.6262376061749926,0.15109323359062468,0,6,169,54,7,1,5
2,25,8,5.095066233295629,0.20380264933182515,0,6,294,84,7,1,5
2,26,8,5.147714973011688,0.19798903742352644,0,3,294,84,7,1,5
2,27,8,5.208037443384534,0.19289027568090866,0,3,294,84,5,1,5
2,28,8,5.262205929141157,0.1879359260407556,0,3,294,84,4,1,5
2,29,8,5.322149449851938,0.18352239482248064,0,3,294,84,3,1,5
2,30,8,5.3787696609742675,0.17929232203247558,0,3,294,84,3,1,5
2,31,8,5.427523113955694,0.1750813907727643,0,2,294,84,3,1,5
2,32,8,5.473899842025364,0.17105937006329264,0,1,294,84,6,1,5
2,33,8,5.528354118985462,0.16752588239349883,0,1,294,84,5,1,5
2,34,8,5.578339553107824,0.16406881038552423,0,1,294,84,6,1,5
2,35,8,5.634077522048159,0.16097364348709026,0,1,294,84,8,1,5
2,36,7,5.691046287911739,0.15808461910865942,-1,1,294,84,8,1,5
2,37,7,8.024504227262426,0.21687849262871423,-1,1,553,30,8,1,5
2,38,7,8.069493446934018,0.21235509070878997,-1,2,553,30,8,1,5
2,39,7,8.11797216141045,0.20815313234385768,-1,2,553,30,11,1,5
2,40,7,8.177743575816379,0.20444358939540946,-1,2,553,30,8,1,5
2,41,7,8.222294634941214,0.20054377158393205,-1,1,553,30,8,1,5
2,42,7,8.288717010655589,0.19735040501560924,-1,1,553,30,7,1,5
2,43,6,8.334656367656962,0.19382921785248747,1,8,553,30,6,1,5
2,44,6,12.142358756381945,0.2759626990086806,1,8,873,84,6,1,5
