mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00024789623726669923,0.00024789623726669923,0,2,0,[],5,6,45
2,2,10,12.850269883212452,6.425134941606226,0,2,717,21,5,6,45
2,3,10,13.157078187578506,4.385692729192836,0,1,717,21,3,6,45
2,4,10,13.390854207801786,3.3477135519504464,0,1,717,21,4,6,45
2,5,10,13.626455107491442,2.7252910214982884,0,1,717,21,3,6,45
2,6,10,13.845518801824328,2.3075864669707213,0,1,717,21,2,6,45
2,7,9,14.067493303248943,2.0096419004641346,2,4,717,21,1,6,45
2,8,9,20.439431607086043,2.5549289508857553,2,4,396,594,1,6,45
2,9,9,20.6387014974038,2.293189055267089,2,3,396,594,2,6,45
2,10,9,20.83304543685396,2.0833045436853963,2,2,396,594,3,6,45
2,11,9,21.009834927948248,1.9099849934498407,2,1,396,594,4,6,45
2,12,9,21.19652803161703,1.7663773359680859,2,1,396,594,6,6,45
2,13,9,21.369151444864006,1.6437808803741543,2,3,396,594,6,6,45
2,14,9,21.576689543120917,1.5411921102229227,2,3,396,594,7,6,45
2,15,9,21.800907347597104,1.4533938231731403,2,3,396,594,7,6,45
2,16,9,22.006245958857118,1.3753903724285699,2,6,396,594,7,6,45
2,17,9,22.183150319067718,1.3048911952392774,2,9,396,594,8,6,45
2,18,9,22.35577846918547,1.2419876927325262,2,12,396,594,6,6,45
2,19,9,22.581683783875533,1.1885096728355544,2,15,396,594,5,6,45
2,20,9,22.78670778796819,1.1393353893984095,2,18,396,594,5,6,45
2,21,9,22.966012952183657,1.093619664389698,2,21,396,594,12,6,45
2,22,9,23.156572526623187,1.0525714784828721,2,14,396,594,11,6,45
2,23,9,23.345953804457235,1.0150414697590102,2,7,396,594,10,6,45
2,24,9,23.54624843781949,0.9810936849091454,2,7,396,594,10,6,45
2,25,9,23.71684683880981,0.9486738735523924,2,7,396,594,9,6,45
2,26,9,23.91096617163735,0.9196525450629751,2,7,396,594,10,6,45
2,27,9,24.08993896542005,0.8922199616822241,2,7,396,594,11,6,45
2,28,9,24.26362620089542,0.8665580786034078,2,7,396,594,13,6,45
2,29,9,24.415915806858823,0.8419281312709939,2,7,396,594,12,6,45
2,30,9,24.59617663475331,0.819872554491777,2,6,396,594,8,6,45
2,31,9,24.74377555443098,0.798186308207451,2,5,396,594,11,6,45
2,32,9,24.920546098042166,0.7787670655638177,2,5,396,594,10,6,45
2,33,9,25.087087763952248,0.7602147807258257,2,4,396,594,13,6,45
2,34,9,25.228079143636915,0.7420023277540269,2,3,396,594,11,6,45
2,35,9,25.40385060225364,0.7258243029215325,2,2,396,594,12,6,45
2,36,9,25.59978573554524,0.7111051593207011,2,2,396,594,11,6,45
2,37,9,25.79447980869358,0.6971481029376644,2,1,396,594,12,6,45
2,38,8,25.984445695329214,0.6838012025086635,3,1,396,594,10,6,45
2,39,8,26.14344231557191,0.6703446747582541,3,1,396,594,10,6,45
2,40,8,26.350621990606783,0.6587655497651695,3,1,396,594,10,6,45
2,41,8,26.530420578861396,0.647083428752717,3,1,396,594,14,6,45
2,42,8,26.69728435198423,0.635649627428196,3,1,396,594,12,6,45
2,43,7,26.85939072789124,0.6246369936718893,4,16,396,594,12,6,45
2,44,7,39.81794508229917,0.9049532973249811,4,16,811,159,12,6,45
2,45,7,40.02114381218622,0.8893587513819159,4,12,811,159,13,6,45
2,46,7,40.22447359549806,0.8744450781630013,4,8,811,159,10,6,45
2,47,7,40.474887874321325,0.8611678271132197,4,4,811,159,10,6,45
2,48,7,40.71727986774655,0.8482766639113865,4,4,811,159,6,6,45
2,49,7,40.92653034478891,0.8352353131589573,4,3,811,159,7,6,45
2,50,7,41.14434982106468,0.8228869964212936,4,2,811,159,8,6,45
2,51,7,41.32934949343112,0.8103794018319826,4,1,811,159,8,6,45
2,52,7,41.53327572772149,0.7987168409177209,4,1,811,159,12,6,45
2,53,7,41.760923026639354,0.7879419438988557,4,1,811,159,14,6,45
2,54,6,41.96738546049093,0.7771738048239061,6,5,811,159,11,6,45
2,55,6,61.7437495016417,1.1226136273025764,6,5,1301,57,11,6,45
2,56,6,62.00209843375366,1.1071803291741724,6,4,1301,57,12,6,45
2,57,6,62.220788704773724,1.0915927842942759,6,3,1301,57,11,6,45
2,58,6,62.39585436964485,1.0757905925800837,6,2,1301,57,9,6,45
2,59,6,62.56024746991888,1.0603431774562522,6,1,1301,57,5,6,45
2,60,6,62.7641429145492,1.04606904857582,6,1,1301,57,7,6,45
2,61,6,62.94331584112217,1.0318576367397077,6,1,1301,57,8,6,45
2,62,6,63.105073662287936,1.0178237687465796,6,1,1301,57,5,6,45
2,63,5,63.288636089113155,1.0045815252240182,7,1,1301,57,2,6,45
2,64,5,82.5808275944828,1.2903254311637937,7,1,1310,213,2,6,45
2,65,5,82.78317092445559,1.2735872449916243,7,1,1310,213,5,6,45
2,66,5,83.0015264566075,1.2575988857061742,7,2,1310,213,8,6,45
2,67,5,83.17285117778343,1.2413858384743794,7,2,1310,213,5,6,45
2,68,5,83.35140041637092,1.2257558884760429,7,3,1310,213,9,6,45
2,69,5,83.60742551862812,1.2117018191105524,7,3,1310,213,9,6,45
2,70,5,83.80662593484116,1.1972375133548738,7,3,1310,213,8,6,45
2,71,5,83.99371219878435,1.1830100309687936,7,4,1310,213,7,6,45
2,72,5,84.1356047681341,1.1685500662240846,7,4,1310,213,4,6,45
2,73,5,84.34601854169115,1.1554249115300157,7,4,1310,213,2,6,45
2,74,5,84.63777464968865,1.1437537114822791,7,4,1310,213,0,6,45
2,75,5,84.84775815748357,1.131303442099781,7,4,1310,213,3,6,45
2,76,5,85.11606280774856,1.1199481948387968,7,4,1310,213,4,6,45
2,77,5,85.35254634435945,1.108474627848824,7,4,1310,213,6,6,45
2,78,5,85.78923964539786,1.09986204673587,7,4,1310,213,7,6,45
2,79,5,86.03318927982986,1.0890277124029095,7,4,1310,213,9,6,45
2,80,5,86.263698832914,1.078296235411425,7,4,1310,213,10,6,45
2,81,5,86.4742669495105,1.0675835425865492,7,4,1310,213,9,6,45
2,82,5,86.69358880330066,1.05723888784513,7,3,1310,213,8,6,45
2,83,5,87.05671455379861,1.048876078961429,7,2,1310,213,11,6,45
2,84,5,87.35009382951527,1.0398820693989914,7,2,1310,213,13,6,45
2,85,5,87.62029914917905,1.030827048813871,7,2,1310,213,14,6,45
2,86,5,87.8175081059701,1.021133815185699,7,1,1310,213,15,6,45
2,87,5,88.06535223765826,1.0122454280190605,7,1,1310,213,15,6,45
2,88,4,88.38343311025301,1.0043571944346932,9,16,1310,213,19,6,45
2,89,4,98.10889710648246,1.1023471584998028,9,16,557,372,19,6,45
