mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014565877635575164,0.00014565877635575164,0,2,0,[],9,1,5
2,2,10,1.1358218747113469,0.5679109373556734,0,2,228,21,9,1,5
2,3,10,1.1953978931977747,0.39846596439925824,0,2,228,21,9,1,5
2,4,10,1.2661849005928194,0.31654622514820485,0,1,228,21,3,1,5
2,5,10,1.3284104087998427,0.26568208175996855,0,1,228,21,4,1,5
2,6,9,1.3969513499686972,0.23282522499478286,2,7,228,21,4,1,5
2,7,9,4.066138952946295,0.5808769932780421,2,7,555,126,4,1,5
2,8,9,4.132466591245158,0.5165583239056447,2,6,555,126,4,1,5
2,9,9,4.191919451091414,0.46576882789904606,2,5,555,126,4,1,5
2,10,9,4.253106400380845,0.4253106400380845,2,4,555,126,3,1,5
2,11,9,4.307519624460886,0.3915926931328078,2,4,555,126,3,1,5
2,12,9,4.35978388816564,0.36331532401380334,2,4,555,126,3,1,5
2,13,9,4.419882146655099,0.33999093435808453,2,4,555,126,4,1,5
2,14,9,4.483044371058036,0.32021745507557403,2,3,555,126,3,1,5
2,15,9,4.532511512569682,0.30216743417131214,2,2,555,126,2,1,5
2,16,9,4.600092842667206,0.2875058026667004,2,1,555,126,7,1,5
2,17,9,4.659568202649648,0.27409224721468517,2,1,555,126,8,1,5
2,18,8,4.718110004350027,0.2621172224638904,4,4,555,126,8,1,5
2,19,8,7.538243520947629,0.3967496589972436,4,4,664,48,8,1,5
2,20,8,7.590186861657323,0.37950934308286616,4,4,664,48,8,1,5
2,21,8,7.64245507275439,0.36392643203592334,4,1,664,48,7,1,5
2,22,8,7.702071749381644,0.35009417042643837,4,1,664,48,2,1,5
2,23,8,7.766697666854303,0.3376825072545349,4,1,664,48,3,1,5
2,24,8,7.8201800958269,0.32584083732612085,4,1,664,48,3,1,5
2,25,8,7.884547459103046,0.31538189836412184,4,1,664,48,4,1,5
2,26,8,7.938360284812254,0.30532154941585593,4,1,664,48,6,1,5
2,27,8,8.001162901775462,0.2963393667324245,4,1,664,48,7,1,5
2,28,7,8.067050405831408,0.2881089430654074,3,2,664,48,6,1,5
2,29,7,9.746047278707216,0.3360705958174902,3,2,400,33,6,1,5
2,30,7,9.79951668128518,0.3266505560428393,3,1,400,33,7,1,5
2,31,7,9.857687428108122,0.31798991703574586,3,1,400,33,7,1,5
2,32,7,9.921258997093933,0.3100393436591854,3,1,400,33,6,1,5
2,33,7,9.980669225103206,0.30244452197282445,3,1,400,33,5,1,5
2,34,7,10.027688193902227,0.2949320057030067,3,1,400,33,4,1,5
