mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014407981943048603,0.00014407981943048603,0,3,0,[],21,1,6
2,2,10,0.08565841319565881,0.042829206597829406,0,3,5,24,21,1,6
2,3,10,0.13945071246483853,0.04648357082161284,0,2,5,24,14,1,6
2,4,10,0.1968138228205063,0.049203455705126575,0,1,5,24,8,1,6
2,5,10,0.24407160885447454,0.04881432177089491,0,1,5,24,3,1,6
2,6,9,0.28792121636525736,0.04798686939420956,1,1,5,24,3,1,6
2,7,9,5.091958846066701,0.727422692295243,1,1,1171,51,3,1,6
2,8,9,5.141506514381536,0.642688314297692,1,3,1171,51,3,1,6
2,9,9,5.1901458877251105,0.5766828764139011,1,3,1171,51,3,1,6
2,10,9,5.24506872015278,0.524506872015278,1,3,1171,51,3,1,6
2,11,9,5.2900978084867365,0.4809179825897033,1,2,1171,51,3,1,6
2,12,9,5.3442777416810685,0.44535647847342236,1,1,1171,51,3,1,6
2,13,9,5.390575521904475,0.4146596555311135,1,1,1171,51,3,1,6
2,14,9,5.432468801784854,0.38803348584177527,1,1,1171,51,10,1,6
2,15,9,5.496404715081171,0.36642698100541143,1,1,1171,51,10,1,6
2,16,8,5.5556088892116975,0.3472255555757311,2,20,1171,51,10,1,6
2,17,8,9.655085938678049,0.567946231686944,2,20,944,192,10,1,6
2,18,8,9.710659696098158,0.5394810942276754,2,15,944,192,10,1,6
2,19,8,9.763178961346345,0.5138515242813866,2,10,944,192,10,1,6
2,20,8,9.82845461959375,0.49142273097968747,2,5,944,192,9,1,6
2,21,8,9.896558979172767,0.47126471329394126,2,5,944,192,8,1,6
2,22,8,9.953109321451155,0.4524140600659616,2,1,944,192,10,1,6
2,23,8,10.01333863336541,0.435362549276757,2,1,944,192,10,1,6
