mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.684263088960802e-05,8.684263088960802e-05,0,3,0,[],35,5,22
2,2,10,2.5701723984118847,1.2850861992059424,0,3,143,120,35,5,22
2,3,10,2.7960165285210934,0.9320055095070311,0,3,143,120,31,5,22
2,4,10,3.010471642328361,0.7526179105820903,0,3,143,120,27,5,22
2,5,10,3.207182832948725,0.641436566589745,0,3,143,120,24,5,22
2,6,10,3.3895263050276356,0.5649210508379393,0,3,143,120,26,5,22
2,7,10,3.5728384671801963,0.5104054953114566,0,3,143,120,27,5,22
2,8,10,3.771136114771221,0.4713920143464026,0,2,143,120,21,5,22
2,9,10,3.946841257197083,0.4385379174663425,0,1,143,120,19,5,22
2,10,10,4.111783045002641,0.41117830450026405,0,1,143,120,13,5,22
2,11,10,4.282624210620222,0.38932947369274745,0,1,143,120,19,5,22
2,12,10,4.45123036271009,0.3709358635591742,0,3,143,120,18,5,22
2,13,10,4.614024769097286,0.35492498223825275,0,3,143,120,16,5,22
2,14,10,4.78534949027323,0.3418106778766593,0,2,143,120,18,5,22
2,15,10,4.959072252279421,0.3306048168186281,0,1,143,120,15,5,22
2,16,10,5.1285551202020425,0.32053469501262766,0,1,143,120,17,5,22
2,17,10,5.32478117630712,0.31322242213571294,0,1,143,120,17,5,22
2,18,10,5.501452245632013,0.3056362358684452,0,1,143,120,18,5,22
2,19,10,5.681055832706356,0.2990029385634924,0,1,143,120,16,5,22
2,20,10,5.872438043703951,0.29362190218519757,0,1,143,120,19,5,22
2,21,10,6.05733271543486,0.2884444150207076,0,1,143,120,17,5,22
2,22,10,6.224526095815847,0.28293300435526575,0,1,143,120,21,5,22
2,23,9,6.398987809663062,0.27821686128969836,-1,16,143,120,20,5,22
2,24,9,10.689634305681327,0.4454014294033886,-1,16,261,579,20,5,22
2,25,9,10.907432466038614,0.43629729864154454,-1,20,261,579,21,5,22
2,26,9,11.095560446813234,0.4267523248774321,-1,24,261,579,17,5,22
2,27,9,11.313737556832582,0.4190273169197252,-1,18,261,579,19,5,22
2,28,9,11.518326558292326,0.41136880565329736,-1,12,261,579,16,5,22
2,29,9,11.70578664028756,0.4036478151823296,-1,10,261,579,18,5,22
2,30,9,11.911871308694764,0.3970623769564921,-1,8,261,579,17,5,22
2,31,9,12.123612590286733,0.3910842771060236,-1,6,261,579,17,5,22
2,32,9,12.299644576796126,0.38436389302487894,-1,4,261,579,15,5,22
2,33,9,12.474634451734843,0.37801922581014674,-1,2,261,579,18,5,22
2,34,9,12.66052268211098,0.3723683141797347,-1,2,261,579,16,5,22
2,35,9,12.84672551965447,0.36704930056155627,-1,3,261,579,18,5,22
2,36,9,13.034443366367753,0.36206787128799317,-1,4,261,579,19,5,22
2,37,9,13.190357467953106,0.35649614778251637,-1,5,261,579,13,5,22
2,38,9,13.389561042080004,0.35235686952842116,-1,6,261,579,19,5,22
2,39,9,13.590688969959572,0.3484792043579378,-1,7,261,579,21,5,22
2,40,9,13.771997435773976,0.3442999358943494,-1,7,261,579,20,5,22
2,41,9,13.961571346352905,0.3405261303988513,-1,7,261,579,19,5,22
2,42,9,14.152640529140065,0.33696763164619203,-1,7,261,579,21,5,22
2,43,9,14.32478512369945,0.3331345377604523,-1,6,261,579,17,5,22
2,44,9,14.502963307409509,0.3296128024411252,-1,5,261,579,12,5,22
2,45,9,14.704565711845113,0.3267681269298914,-1,4,261,579,15,5,22
2,46,9,14.905043504210695,0.32402268487414554,-1,3,261,579,15,5,22
2,47,9,15.063628411435133,0.3205027321581943,-1,2,261,579,14,5,22
2,48,9,15.247065705924022,0.31764720220675047,-1,1,261,579,13,5,22
2,49,9,15.422626768530456,0.31474748507205014,-1,1,261,579,12,5,22
2,50,9,15.623658380037575,0.3124731676007515,-1,1,261,579,7,5,22
2,51,9,15.801461561477879,0.30983257963682115,-1,1,261,579,9,5,22
2,52,8,15.971835355845585,0.3071506799201074,1,1,261,579,5,5,22
2,53,8,24.05324005908458,0.45383471809593545,1,1,525,12,5,5,22
2,54,8,24.23207666783248,0.4487421605154163,1,1,525,12,5,5,22
2,55,8,24.41701041874729,0.4439456439772234,1,1,525,12,5,5,22
2,56,7,24.58119588618564,0.43894992653902926,2,1,525,12,2,5,22
2,57,7,33.773482839501405,0.5925172427982702,2,1,590,21,2,5,22
2,58,7,33.96684466774405,0.5856352528921388,2,1,590,21,2,5,22
2,59,7,34.133912521049474,0.5785408901872793,2,1,590,21,1,5,22
2,60,7,34.308122786006344,0.571802046433439,2,1,590,21,2,5,22
2,61,7,34.4931315373751,0.5654611727438541,2,1,590,21,2,5,22
2,62,7,34.68676534094812,0.5594639571120664,2,1,590,21,6,5,22
2,63,6,34.86964605312085,0.5534864452876326,1,12,590,21,8,5,22
2,64,6,46.14436521589473,0.7210057064983552,1,12,716,219,8,5,22
2,65,6,46.34989764411733,0.7130753483710358,1,16,716,219,6,5,22
2,66,6,46.542599073625986,0.7051908950549391,1,12,716,219,7,5,22
2,67,6,46.725681497545914,0.6973982313066555,1,8,716,219,8,5,22
2,68,6,46.9253299427865,0.6900783815115661,1,4,716,219,8,5,22
2,69,6,47.141197828302644,0.6832057656275745,1,4,716,219,7,5,22
2,70,6,47.344483006081354,0.6763497572297337,1,4,716,219,13,5,22
2,71,6,47.54955201044637,0.669712000147132,1,4,716,219,17,5,22
2,72,6,47.73794683494136,0.6630270393741856,1,3,716,219,17,5,22
2,73,6,47.925259679203315,0.6565104065644289,1,2,716,219,17,5,22
2,74,6,48.105001030269385,0.6500675814901268,1,1,716,219,17,5,22
2,75,6,48.29170439715818,0.643889391962109,1,1,716,219,17,5,22
2,76,6,48.480097642696244,0.6378960216144243,1,1,716,219,15,5,22
2,77,5,48.669191550369895,0.6320674227320766,2,3,716,219,16,5,22
2,78,5,66.34137798728781,0.8505304870165105,2,3,1086,51,16,5,22
2,79,5,66.53856918081345,0.8422603693773855,2,3,1086,51,10,5,22
2,80,5,66.73390707364807,0.8341738384206009,2,2,1086,51,10,5,22
2,81,5,66.943615842938,0.8264643931226914,2,1,1086,51,8,5,22
2,82,5,67.13915742121598,0.8187702124538535,2,1,1086,51,7,5,22
2,83,5,67.33262701326878,0.8112364700393828,2,1,1086,51,6,5,22
2,84,5,67.50913545003037,0.803680183928933,2,1,1086,51,9,5,22
2,85,5,67.65172512886264,0.7959026485748546,2,1,1086,51,12,5,22
2,86,5,67.80804383816009,0.7884656260251173,2,1,1086,51,14,5,22
2,87,5,67.95397616880315,0.7810801858483121,2,1,1086,51,16,5,22
2,88,5,68.14927892984618,0.7744236242027974,2,1,1086,51,19,5,22
2,89,4,68.31573059521152,0.7675924785978823,1,12,1086,51,18,5,22
2,90,4,77.5882226392423,0.8620913626582478,1,12,707,837,18,5,22
2,91,4,77.77582482736081,0.8546793937072616,1,16,707,837,19,5,22
2,92,4,77.95835185318228,0.8473733897085031,1,20,707,837,16,5,22
2,93,4,78.13054934279866,0.840113433793534,1,24,707,837,14,5,22
2,94,4,78.35145765355949,0.833526145250633,1,28,707,837,12,5,22
2,95,4,78.6119085720782,0.8274937744429285,1,32,707,837,9,5,22
2,96,4,78.78224960308971,0.8206484333655178,1,36,707,837,6,5,22
2,97,4,79.04126880241644,0.8148584412620251,1,27,707,837,7,5,22
2,98,4,79.23869960265549,0.8085581592107702,1,18,707,837,8,5,22
2,99,4,79.43611303436838,0.8023849801451352,1,9,707,837,10,5,22
2,100,4,79.63653003689234,0.7963653003689234,1,9,707,837,10,5,22
2,101,4,79.80395907659441,0.7901382086791525,1,1,707,837,10,5,22
2,102,4,79.98777018913536,0.78419382538368,1,1,707,837,15,5,22
2,103,4,80.18689007854522,0.778513495908206,1,1,707,837,17,5,22
2,104,4,80.38905617060314,0.7729716939481072,1,1,707,837,17,5,22
2,105,4,80.59909494189044,0.7676104280180042,1,1,707,837,17,5,22
2,106,4,80.84151417232262,0.7626557940785152,1,2,707,837,17,5,22
2,107,4,81.05357716638811,0.7575100669755898,1,3,707,837,17,5,22
2,108,4,81.25434548682793,0.7523550508039624,1,3,707,837,13,5,22
2,109,4,81.46585663544805,0.7473931801417252,1,3,707,837,7,5,22
2,110,4,81.6692697087377,0.74244790644307,1,3,707,837,8,5,22
2,111,4,81.87152540660112,0.7375813099693794,1,3,707,837,8,5,22
2,112,4,82.07532729803363,0.7328154223038716,1,3,707,837,7,5,22
2,113,4,82.2726384922856,0.7280764468343858,1,3,707,837,6,5,22
2,114,4,82.45182326103551,0.7232616075529431,1,3,707,837,10,5,22
2,115,4,82.61439108710394,0.7183860094530777,1,3,707,837,7,5,22
2,116,4,82.82544196978033,0.7140124307739684,1,3,707,837,7,5,22
2,117,4,83.01978156709895,0.7095707826247774,1,2,707,837,8,5,22
2,118,4,83.19026115158064,0.7050022131489885,1,2,707,837,8,5,22
2,119,4,83.38185928493776,0.7006878931507375,1,2,707,837,11,5,22
