mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.802684858355721e-05,8.802684858355721e-05,0,5,0,[],21,1,4
2,2,10,0.6824693938937,0.34123469694685,0,5,184,84,21,1,4
2,3,10,0.724473595498078,0.24149119849935932,0,4,184,84,21,1,4
2,4,10,0.7746402149276167,0.19366005373190417,0,3,184,84,21,1,4
2,5,10,0.8181523203956235,0.16363046407912468,0,2,184,84,21,1,4
2,6,10,0.8553245190694575,0.14255408651157625,0,1,184,84,21,1,4
2,7,10,0.8940646219700804,0.1277235174242972,0,1,184,84,21,1,4
2,8,10,0.9503607521835001,0.11879509402293752,0,4,184,84,21,1,4
2,9,10,1.0063671438011337,0.1118185715334593,0,3,184,84,14,1,4
2,10,10,1.0534994027595435,0.10534994027595435,0,2,184,84,7,1,4
2,11,10,1.0968374282265398,0.09971249347513998,0,1,184,84,0,1,4
2,12,10,1.1511859150726442,0.09593215958938701,0,1,184,84,0,1,4
2,13,9,1.1981152780661568,0.09216271369739668,2,12,184,84,0,1,4
2,14,9,2.903090729233362,0.2073636235166687,2,12,379,141,0,1,4
2,15,9,3.020641703883998,0.20137611359226654,2,6,379,141,0,1,4
2,16,9,3.0813565450527736,0.19258478406579835,2,6,379,141,4,1,4
2,17,9,3.1767788331350437,0.1868693431255908,2,6,379,141,3,1,4
2,18,9,3.2502098039014453,0.18056721132785808,2,5,379,141,3,1,4
2,19,9,3.3211633912521052,0.174798073223795,2,4,379,141,3,1,4
2,20,9,3.419424643886002,0.1709712321943001,2,3,379,141,3,1,4
2,21,9,3.4956037891808287,0.16645732329432517,2,2,379,141,2,1,4
2,22,9,3.6154691199446725,0.16433950545203058,2,1,379,141,1,1,4
2,23,9,3.697301720510413,0.16075224871784405,2,1,379,141,6,1,4
2,24,8,3.747844526427396,0.1561601886011415,3,4,379,141,5,1,4
2,25,8,7.183901113085684,0.28735604452342733,3,4,740,87,5,1,4
2,26,8,7.235090501863564,0.27827271161013706,3,4,740,87,6,1,4
2,27,8,7.281454598277833,0.2696835036399197,3,4,740,87,5,1,4
2,28,8,7.339404685870468,0.2621215959239453,3,4,740,87,4,1,4
2,29,8,7.391842634837001,0.25489112533920694,3,4,740,87,4,1,4
2,30,8,7.45637263067645,0.24854575435588167,3,3,740,87,3,1,4
2,31,8,7.517908529446363,0.2425131783692375,3,2,740,87,3,1,4
2,32,8,7.560478392369218,0.23626494976153806,3,1,740,87,4,1,4
2,33,8,7.6164678101999055,0.23080205485454258,3,1,740,87,5,1,4
2,34,8,7.661268344518929,0.22533142189761554,3,1,740,87,3,1,4
2,35,7,7.710202193329067,0.22029149123797334,2,10,740,87,4,1,4
2,36,7,11.354333328859624,0.31539814802387844,2,10,1069,177,4,1,4
