mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0,0,0,6,7,1,5
1,2,10,0.00022302757765602088,0.00022302757765602088,0,4,0,1,5
1,3,10,0.0004578973275770615,0.00022894866378853074,0,2,0,1,5
1,4,10,0.0008056624530903278,0.00026855415103010927,0,2,1,1,5
1,5,10,0.0010334268996521345,0.00025835672491303363,0,2,2,1,5
1,6,10,0.0012102700054752447,0.00024205400109504892,0,1,2,1,5
1,7,10,0.0014032974133932896,0.00023388290223221495,0,1,2,1,5
1,8,9,0.0018300103540065393,0.00026143005057236275,1,1,2,1,5
1,9,9,0.0021564595694432143,0.0002695574461804018,1,6,2,1,5
1,10,9,0.002432382183215509,0.0002702646870239454,1,6,3,1,5
1,11,9,0.002739094444876855,0.0002739094444876855,1,6,4,1,5
1,12,9,0.0029798852809292953,0.0002708986619026632,1,6,5,1,5
1,13,9,0.003223834029586925,0.0002686528357989104,1,6,6,1,5
1,14,9,0.003412519307675055,0.00026250148520577345,1,5,5,1,5
1,15,9,0.0036667312722951095,0.00026190937659250783,1,4,7,1,5
1,16,9,0.003980943576390672,0.0002653962384260448,1,4,7,1,5
1,17,9,0.00587490166062743,0.00036718135378921435,1,4,7,1,5
1,18,9,0.00775228070369316,0.00045601651198195055,1,4,6,1,5
1,19,9,0.0096387387454957,0.0005354854858608723,1,8,4,1,5
1,20,9,0.011977173028741461,0.0006303775278284979,1,12,6,1,5
1,21,9,0.015711799422023276,0.0007855899711011638,1,12,6,1,5
1,22,9,0.015953774475304883,0.0007597035464430897,1,9,7,1,5
1,23,9,0.01624903930377819,0.0007385926956262813,1,6,7,1,5
1,24,9,0.017791284871746527,0.0007735341248585446,1,4,5,1,5
1,25,9,0.018050628444351347,0.0007521095185146395,1,2,6,1,5
1,26,9,0.018279182369061786,0.0007311672947624714,1,2,7,1,5
1,27,9,0.018503394163944975,0.0007116690063055759,1,2,7,1,5
1,28,9,0.01868655309497491,0.0006920945590731449,1,1,6,1,5
1,29,9,0.018870106765080052,0.0006739323844671448,1,1,5,1,5
1,30,8,0.01917445059229017,0.0006611879514582818,3,1,0,1,5
1,31,8,0.019439320511947855,0.0006479773503982618,3,2,0,1,5
1,32,8,0.019758664424026406,0.0006373762717427873,3,1,0,1,5
1,33,8,0.019980507784454815,0.000624390868264213,3,1,0,1,5
1,34,8,0.020186561581867934,0.0006117139873293313,3,1,0,1,5
1,35,8,0.020356694123409014,0.0005987262977473239,3,1,4,1,5
1,36,7,0.02064722208297276,0.0005899206309420788,4,1,3,1,5
1,37,7,0.020927486826574082,0.0005813190785159467,4,6,3,1,5
1,38,7,0.021200646266814616,0.0005729904396436382,4,5,8,1,5
1,39,7,0.02143354232135586,0.0005640405874041015,4,4,6,1,5
1,40,7,0.02172525449814522,0.0005570578076447492,4,3,6,1,5
1,41,7,0.022057230060640975,0.0005514307515160244,4,3,5,1,5
1,42,7,0.02373171321890233,0.000578822273631764,4,3,6,1,5
1,43,7,0.024845666889953932,0.0005915634973798555,4,3,5,1,5
1,44,7,0.02602909463829839,0.0006053277822860091,4,6,3,1,5
1,45,7,0.029523324934602968,0.0006709846576046129,4,6,1,1,5
1,46,7,0.029865563713054044,0.0006636791936234232,4,3,2,1,5
1,47,7,0.03006569642433199,0.0006536020961811302,4,3,2,1,5
1,48,7,0.030227539445286666,0.0006431391371337588,4,3,2,1,5
1,49,7,0.03042293528765505,0.0006338111518261469,4,2,3,1,5
1,50,7,0.030604120523308964,0.0006245738882307951,4,1,4,1,5
1,51,7,0.03077820045560209,0.0006155640091120418,4,1,4,1,5
1,52,6,0.031098333845827497,0.0006097712518789705,5,1,4,1,5
1,53,6,0.031356098462127946,0.0006030018935024605,5,3,4,1,5
1,54,6,0.03163399477127804,0.0005968678258731706,5,3,0,1,5
1,55,6,0.03178557457627029,0.0005886217514124129,5,2,0,1,5
1,56,6,0.03202241802157069,0.0005822257822103761,5,1,0,1,5
1,57,6,0.032188603172352614,0.0005747964852205824,5,1,0,1,5
1,58,5,0.032433341399164206,0.0005690059894590212,4,1,0,1,5
1,59,5,0.032630316197840514,0.0005625916585834572,4,10,0,1,5
1,60,5,0.032973739193517204,0.0005588769354833424,4,10,2,1,5
1,61,5,0.03332387275347948,0.0005553978792246579,4,10,2,1,5
1,62,5,0.03407348225785434,0.0005585816763582678,4,10,2,1,5
1,63,5,0.034587037795072106,0.0005578554483076147,4,10,1,1,5
1,64,5,0.03504809303525214,0.0005563189370674942,4,10,2,1,5
1,65,5,0.0352825680460942,0.0005512901257202218,4,9,3,1,5
1,66,5,0.03545664797838732,0.0005454868919751895,4,8,5,1,5
1,67,5,0.035702175683349324,0.0005409420558083231,4,7,6,1,5
1,68,5,0.03588375565807134,0.0005355784426577812,4,6,5,1,5
1,69,5,0.036065730371868554,0.0005303783878215964,4,5,5,1,5
1,70,5,0.03625086299828162,0.0005253748260620524,4,4,4,1,5
1,71,5,0.036443890406198776,0.0005206270058028396,4,3,2,1,5
1,72,5,0.036629417771687045,0.0005159072925589725,4,2,2,1,5
1,73,5,0.03682086622330338,0.0005114009197681026,4,1,0,1,5
1,74,5,0.03698626189594201,0.0005066611218622193,4,1,5,1,5
1,75,4,0.03728310568070903,0.0005038257524420139,5,1,6,1,5
1,76,4,0.03758073894362646,0.0005010765192483528,5,1,6,1,5
1,77,4,0.037844029906986876,0.0004979477619340379,5,1,7,1,5
1,78,4,0.03809903134975379,0.0004947926149318673,5,1,5,1,5
1,79,3,0.03840653308956554,0.0004923914498662249,4,1,8,1,5
1,80,3,0.03874245604282045,0.000490410835985069,4,6,8,1,5
1,81,3,0.03899587852928654,0.0004874484816160818,4,6,8,1,5
1,82,3,0.04004312129658594,0.0004943595221800733,4,3,7,1,5
1,83,3,0.04175668362332807,0.0005092278490649765,4,3,6,1,5
1,84,3,0.04325313945853715,0.00052112216215105,4,3,3,1,5
1,85,3,0.043482877600476755,0.0005176533047675804,4,2,3,1,5
1,86,3,0.043718931567619634,0.0005143403713837604,4,1,3,1,5
1,87,3,0.04391590636628884,0.0005106500740266143,4,1,3,1,5
1,88,2,0.044318540223295955,0.0005094085083137466,5,1,3,1,5
1,89,2,0.0446165682253028,0.0005070064571057136,5,8,3,1,5
