mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0,0,0,1,4,1,5
1,2,10,0.00024039609697795727,0.00024039609697795727,0,1,4,1,5
1,3,10,0.00047052897799299,0.000235264488996495,0,1,4,1,5
1,4,9,0.0007500042434450127,0.0002500014144816709,1,1,4,1,5
1,5,9,0.0010654007647675212,0.0002663501911918803,1,3,4,1,5
1,6,9,0.0013646129839946508,0.00027292259679893014,1,2,0,1,5
1,7,9,0.0016507988137302587,0.00027513313562170977,1,1,0,1,5
1,8,9,0.0019519847283347436,0.00027885496119067765,1,1,0,1,5
1,9,9,0.0022417232097494133,0.00028021540121867666,1,1,4,1,5
1,10,8,0.0025839619882058185,0.00028710688757842425,0,1,4,1,5
1,11,8,0.003040675098556378,0.0003040675098556378,0,1,4,1,5
1,12,8,0.0034160719593543942,0.0003105519963049449,0,1,4,1,5
1,13,8,0.0038341006403060374,0.0003195083866921698,0,1,4,1,5
1,14,8,0.05100542016224613,0.003923493858634317,0,3,4,1,5
1,15,8,0.053789909600804375,0.0038421364000574554,0,3,5,1,5
1,16,8,0.05593215856352868,0.003728810570901912,0,3,4,1,5
1,17,8,0.05711479683371917,0.0035696748021074483,0,6,3,1,5
1,18,8,0.05925862475274607,0.0034858014560438864,0,6,1,1,5
1,19,8,0.059473362809816355,0.0033040757116564643,0,3,2,1,5
1,20,8,0.05975402229249466,0.003144948541710245,0,3,2,1,5
1,21,8,0.05996402348065982,0.002998201174032991,0,3,2,1,5
1,22,8,0.06026205148266045,0.002869621499174307,0,2,3,1,5
1,23,8,0.0604625789330136,0.002748299042409709,0,1,4,1,5
1,24,8,0.060692317074953206,0.002638796394563183,0,1,4,1,5
1,25,7,0.06098008186099052,0.002540836744207938,2,1,4,1,5
1,26,7,0.0612485044323286,0.002449940177293144,2,5,4,1,5
1,27,7,0.061597848514144016,0.0023691480197747697,2,5,7,1,5
1,28,7,0.06180824444138261,0.002289194238569726,2,4,7,1,5
1,29,7,0.062013114021564786,0.0022147540721987424,2,3,7,1,5
1,30,7,0.06223022051308896,0.0021458696728651368,2,2,7,1,5
1,31,7,0.06242956374621472,0.0020809854582071576,2,1,7,1,5
1,32,7,0.06261982798060367,0.0020199944509872152,2,1,7,1,5
1,33,6,0.06300509331828935,0.0019689091661965422,3,1,9,1,5
1,34,6,0.06321075237662371,0.001915477344746173,3,8,9,1,5
1,35,6,0.06352614889794489,0.0018684161440572027,3,4,3,1,5
1,36,6,0.06380917681507797,0.0018231193375736563,3,4,4,1,5
1,37,6,0.06412694177085393,0.0017813039380792759,3,4,4,1,5
1,38,6,0.06431720600524465,0.0017383028650066123,3,3,3,1,5
1,39,6,0.064503522848878,0.0016974611276020528,3,2,5,1,5
1,40,6,0.06484576162733441,0.001662711836598318,3,2,5,1,5
1,41,6,0.06693353659764051,0.0016733384149410127,3,2,4,1,5
1,42,6,0.06867946752856541,0.0016751089641113513,3,2,3,1,5
1,43,6,0.07147856231291777,0.001701870531259947,3,2,10,1,5
1,44,6,0.07171737945359419,0.001667846033804516,3,1,5,1,5
1,45,6,0.07204106549550177,0.0016372969430795857,3,1,5,1,5
1,46,6,0.07371160126300752,0.0016380355836223893,3,1,8,1,5
1,47,6,0.07394410257847533,0.0016074804908364202,3,1,8,1,5
1,48,5,0.07422278836577761,0.0015792082631016513,5,1,6,1,5
1,49,5,0.07440713151403316,0.0015501485732090242,5,1,6,1,5
