mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0,0,0,2,12,1,5
1,2,10,0.00026408044150771914,0.00026408044150771914,0,2,8,1,5
1,3,10,0.0006023718292089697,0.00030118591460448485,0,2,8,1,5
1,4,10,0.0008127677564491176,0.0002709225854830392,0,1,3,1,5
1,5,10,0.0010586902004841026,0.00026467255012102564,0,1,3,1,5
1,6,9,0.0013713235482779584,0.0002742647096555917,2,1,3,1,5
1,7,9,0.0016259302519736618,0.00027098837532894365,2,7,3,1,5
1,8,9,0.0019133002989357717,0.00027332861413368166,2,6,4,1,5
1,9,9,0.0023802766252492003,0.00029753457815615003,2,6,3,1,5
1,10,9,0.0040034437036948756,0.0004448270781883195,2,6,4,1,5
1,11,9,0.0051375290675992336,0.0005137529067599234,2,6,3,1,5
1,12,9,0.006541221220067728,0.0005946564745516116,2,12,3,1,5
1,13,9,0.008688996529849335,0.0007240830441541113,2,15,1,1,5
1,14,9,0.008924261018846247,0.0006864816168343266,2,12,2,1,5
1,15,9,0.009212420543959654,0.000658030038854261,2,9,2,1,5
1,16,9,0.009499001112771355,0.0006332667408514237,2,6,2,1,5
1,17,9,0.009814792373169512,0.0006134245233230945,2,3,0,1,5
1,18,9,0.010151899543644705,0.000597170561390865,2,3,1,1,5
1,19,9,0.010439269590606814,0.0005799594217003786,2,3,2,1,5
1,20,8,0.01074716606949555,0.0005656403194471343,3,2,2,1,5
1,21,8,0.01096703573454616,0.000548351786727308,3,1,0,1,5
1,22,8,0.011239010957562856,0.0005351909979791836,3,1,0,1,5
1,23,7,0.011591512951981686,0.0005268869523628039,5,1,0,1,5
1,24,7,0.011857567088864984,0.0005155463951680428,5,6,0,1,5
1,25,7,0.012159937220695527,0.0005066640508623136,5,6,0,1,5
1,26,7,0.012468228438657691,0.0004987291375463076,5,6,4,1,5
1,27,7,0.012681387539428046,0.0004877456745933864,5,6,4,1,5
1,28,7,0.012886651858683651,0.0004772834021734686,5,6,4,1,5
1,29,7,0.013190600946815012,0.000471092890957679,5,5,5,1,5
1,30,7,0.014174290722956728,0.0004887686456191975,5,4,4,1,5
1,31,7,0.01591114265514304,0.0005303714218381013,5,3,9,1,5
1,32,7,0.01798904914856192,0.0005802919080181264,5,2,7,1,5
1,33,7,0.01835181435894495,0.0005734941987170297,5,1,9,1,5
1,34,7,0.018638394927756652,0.0005647998462956561,5,1,9,1,5
