mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0,0,0,1,7,1,6
1,2,10,0.0003098701742654253,0.0003098701742654253,0,1,8,1,6
1,3,10,0.0005198713624300355,0.00025993568121501776,0,1,3,1,6
1,4,9,0.0008096098438451493,0.0002698699479483831,2,1,3,1,6
1,5,9,0.001090269326523674,0.0002725673316309185,2,1,3,1,6
1,6,9,0.0013989552835623753,0.00027979105671247504,2,1,3,1,6
1,7,9,0.0017119833704318799,0.0002853305617386466,2,2,4,1,6
1,8,9,0.0035487042887213383,0.0005069577555316197,2,2,3,1,6
1,9,9,0.005264240310833279,0.0006580300388541599,2,2,3,1,6
1,10,9,0.009295710488888331,0.0010328567209875923,2,2,1,1,6
1,11,9,0.009577159449717931,0.0009577159449717931,2,2,2,1,6
1,12,9,0.00985860841054842,0.0008962371282316746,2,2,9,1,6
1,13,9,0.01012426780835829,0.0008436889840298575,2,1,10,1,6
1,14,9,0.010348479603241478,0.0007960368925570368,2,1,10,1,6
1,15,8,0.01063427069390277,0.0007595907638501978,3,1,10,1,6
1,16,8,0.01086440357491758,0.000724293571661172,3,20,10,1,6
1,17,8,0.01116164209876691,0.0006976026311729319,3,16,3,1,6
1,18,8,0.011520065179319139,0.0006776508929011258,3,12,3,1,6
1,19,8,0.013213890552277952,0.0007341050306821084,3,16,3,1,6
1,20,8,0.015453245327576304,0.0008133287014513844,3,20,3,1,6
1,21,8,0.01769694223270546,0.000884847111635273,3,24,3,1,6
1,22,8,0.02170907019605861,0.0010337652474313624,3,21,8,1,6
1,23,8,0.02200946663251313,0.0010004303014778696,3,14,7,1,6
1,24,8,0.02237302132104657,0.0009727400574368074,3,7,8,1,6
1,25,8,0.02259723311592976,0.0009415513798304067,3,7,8,1,6
1,26,8,0.0229485508931212,0.000917942035724848,3,7,8,1,6
1,27,8,0.02317276268800439,0.0008912601033847842,3,6,3,1,6
1,28,8,0.023410790350530397,0.0008670663092789036,3,5,3,1,6
1,29,8,0.023616054669786002,0.0008434305239209286,3,4,3,1,6
1,30,8,0.02382802955332719,0.000821656191494041,3,3,3,1,6
1,31,8,0.024077504649041237,0.0008025834883013745,3,2,3,1,6
1,32,8,0.024300137487620055,0.0007838754028264534,3,1,2,1,6
1,33,8,0.024494743851841583,0.0007654607453700495,3,1,1,1,6
1,34,7,0.024840535281976606,0.0007527434933932305,4,1,5,1,6
