mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0,0,0,1,0,[],0,1,5
2,2,10,3.1086685095718303,3.1086685095718303,0,1,1258,9,0,1,5
2,3,10,3.108813773551613,1.5544068867758065,0,1,1258,9,0,1,5
2,4,9,3.109148117548559,1.0363827058495196,-1,2,1258,9,0,1,5
2,5,9,3.1179125092418283,0.7794781273104571,-1,2,4,15,0,1,5
2,6,9,3.1180490889619503,0.6236098177923901,-1,1,4,15,0,1,5
2,7,9,3.1181860634211485,0.5196976772368581,-1,1,4,15,0,1,5
2,8,8,3.1185136968538107,0.44550195669340154,-2,5,4,15,2,1,5
2,9,8,3.143845682284781,0.3929807102855976,-2,5,7,51,2,1,5
2,10,8,3.143968051398185,0.3493297834886872,-2,4,7,51,2,1,5
2,11,8,3.144088446816213,0.3144088446816213,-2,3,7,51,2,1,5
2,12,8,3.1442238423191093,0.285838531119919,-2,2,7,51,2,1,5
2,13,8,3.1443702905161186,0.26203085754300987,-2,1,7,51,2,1,5
2,14,8,3.1444902911950696,0.24188386855346689,-2,1,7,51,9,1,5
2,15,7,3.144747266333218,0.224624804738087,-1,2,7,51,6,1,5
2,16,7,4.150128744149473,0.27667524960996487,-1,2,400,33,6,1,5
2,17,7,4.150284271345221,0.2593927669590763,-1,1,400,33,7,1,5
2,18,7,4.150467430276251,0.24414514295742654,-1,1,400,33,7,1,5
2,19,7,4.150579930912766,0.23058777393959812,-1,1,400,33,6,1,5
2,20,7,4.150667957726604,0.21845620830140022,-1,1,400,33,5,1,5
2,21,7,4.150778484667743,0.20753892423338716,-1,1,400,33,4,1,5
2,22,7,4.150889406347957,0.19766140030228369,-1,1,400,33,3,1,5
2,23,7,4.150998354332792,0.18868174337876328,-1,1,400,33,3,1,5
2,24,7,4.151106118100401,0.18048287470001742,-1,1,400,33,5,1,5
2,25,6,4.151416777752818,0.1729756990730341,-2,6,400,33,6,1,5
2,26,6,4.670885901064963,0.18683543604259853,-2,6,204,60,6,1,5
2,27,6,4.671137349856057,0.17965912884061758,-2,4,204,60,5,1,5
2,28,6,4.671239982015688,0.17300888822280328,-2,2,204,60,4,1,5
2,29,6,4.671358008999263,0.16683421460711653,-2,2,204,60,0,1,5
2,30,6,4.671457483246289,0.16108474080159618,-2,1,204,60,0,1,5
2,31,6,4.671551825885334,0.1557183941961778,-2,1,204,60,0,1,5
2,32,6,4.671648142219755,0.1506983271683792,-2,1,204,60,0,1,5
2,33,6,4.671748405944928,0.145992137685779,-2,1,204,60,0,1,5
2,34,6,4.671825774803725,0.14157047802435532,-2,1,204,60,0,1,5
2,35,5,4.672110776416236,0.13741502283577164,-1,2,204,60,0,1,5
2,36,5,5.39825699013824,0.1542359140039497,-1,2,284,27,0,1,5
2,37,5,5.398349359081909,0.14995414886338634,-1,2,284,27,0,1,5
2,38,5,5.398449622807082,0.14590404385965086,-1,2,284,27,0,1,5
2,39,5,5.398537254881841,0.1420667698653116,-1,1,284,27,0,1,5
2,40,5,5.398628439608284,0.13842637024636625,-1,1,284,27,0,1,5
2,41,4,5.398908704351886,0.13497271760879714,-2,11,284,27,0,1,5
2,42,4,6.999496707678748,0.17071943189460362,-2,11,648,237,0,1,5
2,43,4,6.999637629528703,0.16665803879830246,-2,11,648,237,0,1,5
2,44,4,6.999718945778259,0.16278416152972694,-2,10,648,237,0,1,5
2,45,4,6.999817630547131,0.1590867643306166,-2,9,648,237,0,1,5
2,46,4,6.999915920576928,0.15555368712393175,-2,8,648,237,0,1,5
2,47,4,7.000014210606725,0.15217422196971142,-2,7,648,237,0,1,5
2,48,4,7.000148421892394,0.14893932812537009,-2,6,648,237,0,1,5
2,49,4,7.000252633008326,0.1458385965210068,-2,5,648,237,0,1,5
2,50,4,7.000356449385183,0.1428644173343915,-2,4,648,237,0,1,5
2,51,4,7.000461449979266,0.14000922899958532,-2,3,648,237,1,1,5
2,52,4,7.000570003225025,0.13726607849460834,-2,2,648,237,2,1,5
2,53,4,7.000680135427093,0.1346284641428287,-2,1,648,237,3,1,5
2,54,4,7.000797372932521,0.1320905164704249,-2,1,648,237,3,1,5
2,55,3,7.001031847943363,0.12964873792487708,0,5,648,237,3,1,5
2,56,3,8.619481004958335,0.1567178364537879,0,5,656,288,3,1,5
2,57,3,8.619612453070477,0.1539216509476871,0,4,656,288,3,1,5
2,58,3,8.619722190533462,0.15122319632514847,0,3,656,288,3,1,5
2,59,3,8.619869428208627,0.14861843841739011,0,2,656,288,2,1,5
2,60,3,8.620016665883785,0.14610197738786077,0,1,656,288,1,1,5
2,61,3,8.62015364034298,0.1436692273390497,0,1,656,288,0,1,5
2,62,3,8.620305220147973,0.14131647901881922,0,12,656,288,0,1,5
2,63,3,8.620417326045416,0.13903898912976478,0,11,656,288,0,1,5
2,64,3,8.620519168726897,0.13683363759883962,0,10,656,288,0,1,5
2,65,3,8.620630879885265,0.13469735749820727,0,9,656,288,0,1,5
2,66,3,8.620769038561686,0.1326272159778721,0,8,656,288,0,1,5
2,67,3,8.620887065545258,0.13061950099310995,0,7,656,288,0,1,5
2,68,3,8.621000355659927,0.1286716470994019,0,6,656,288,0,1,5
2,69,3,8.62111325103552,0.1267810772211106,0,5,656,288,1,1,5
2,70,3,8.621261672927911,0.12494582134678132,0,4,656,288,2,1,5
2,71,3,8.621381673606859,0.12316259533724083,0,3,656,288,3,1,5
2,72,3,8.621490621591686,0.12142944537453079,0,2,656,288,5,1,5
2,73,3,8.62161259596601,0.1197446193884168,0,1,656,288,6,1,5
2,74,3,8.621730228210506,0.11810589353713022,0,1,656,288,7,1,5
2,75,2,8.622006940302438,0.1165136073013843,2,15,656,288,8,1,5
2,76,2,11.061064161284076,0.14748085548378767,2,15,984,156,8,1,5
2,77,2,11.061175477703369,0.1455417826013601,2,10,984,156,7,1,5
2,78,2,11.06129271520879,0.1436531521455687,2,5,984,156,6,1,5
2,79,2,11.061407189540684,0.14181291268641902,2,5,984,156,5,1,5
2,80,2,11.061509821700309,0.14001911166709252,2,5,984,156,3,1,5
2,81,2,11.061616006511624,0.1382702000813953,2,4,984,156,3,1,5
2,82,2,11.061740744059488,0.1365647005439443,2,3,984,156,3,1,5
2,83,2,11.061852060478767,0.1349006348838874,2,2,984,156,3,1,5
2,84,2,11.061993771806879,0.13327703339526362,2,1,984,156,3,1,5
2,85,2,11.062107456660623,0.131691755436436,2,1,984,156,0,1,5
2,86,1,11.062363247581555,0.1301454499715477,4,13,984,156,0,1,5
2,87,1,11.772813451444545,0.13689317966795983,4,13,286,282,0,1,5
2,88,1,11.772972136552905,0.13532151881095295,4,12,286,282,0,1,5
2,89,1,11.77315016387595,0.13378579731677218,4,11,286,282,3,1,5
2,90,1,11.773301348941867,0.13228428481957155,4,10,286,282,3,1,5
2,91,1,11.773426086489717,0.1308158454054413,4,9,286,282,3,1,5
2,92,1,11.773584771598077,0.12938005243514372,4,8,286,282,3,1,5
2,93,1,11.77371543023207,0.1279751677199138,4,7,286,282,3,1,5
2,94,1,11.773838588823633,0.12660041493358745,4,6,286,282,3,1,5
2,95,1,11.773970826413912,0.12525500879163737,4,5,286,282,3,1,5
2,96,1,11.774084906006731,0.12393773585270243,4,4,286,282,1,1,5
2,97,1,11.774194248730634,0.12264785675761077,4,3,286,282,2,1,5
2,98,1,11.774442934348198,0.12138600963245565,4,2,286,282,3,1,5
2,99,1,11.77453175064019,0.12014828316979785,4,1,286,282,4,1,5
2,100,1,11.77464740918931,0.11893583241605364,4,1,286,282,4,1,5
2,101,1,11.774748067653558,0.11774748067653558,4,1,286,282,4,1,5
