mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00017289571506786156,0.00017289571506786156,0,3,2,3,13
1,2,10,0.09285565694648008,0.04642782847324004,0,3,1,3,13
1,3,10,0.15916708476113745,0.05305569492037915,0,3,1,3,13
1,4,10,0.22024979878175638,0.055062449695439095,0,3,8,3,13
1,5,10,0.2748347128806125,0.0549669425761225,0,3,15,3,13
1,6,10,0.3597604565394254,0.05996007608990423,0,2,16,3,13
1,7,10,0.4242971374706465,0.06061387678152093,0,1,17,3,13
1,8,10,0.48543037809292894,0.06067879726161612,0,1,17,3,13
1,9,9,0.5522293086658254,0.061358812073980605,1,1,17,3,13
1,10,9,0.6108792457641541,0.06108792457641541,1,12,17,3,13
1,11,9,0.6699057639405068,0.06090052399459153,1,10,11,3,13
1,12,9,0.7381656238318195,0.06151380198598496,1,5,10,3,13
1,13,9,0.8092012889020292,0.06224625299246379,1,10,11,3,13
1,14,9,0.8686884675794877,0.06204917625567769,1,15,10,3,13
1,15,9,0.945161663414674,0.06301077756097827,1,20,10,3,13
1,16,9,1.0132577065896555,0.06332860666185347,1,20,1,3,13
1,17,9,1.0728846228998403,0.06311086017057885,1,15,2,3,13
1,18,9,1.1359295848647566,0.06310719915915314,1,10,3,3,13
1,19,9,1.2002254749599244,0.06316976183999602,1,5,4,3,13
1,20,9,1.256027369628539,0.06280136848142695,1,5,3,3,13
1,21,9,1.3171542944256132,0.06272163306788633,1,4,6,3,13
1,22,9,1.3898735216528202,0.06317606916603728,1,4,8,3,13
1,23,9,1.4603103675455005,0.06349175511067394,1,3,5,3,13
1,24,9,1.5185205653137244,0.06327169022140518,1,2,6,3,13
1,25,9,1.5827260601606028,0.06330904240642411,1,1,2,3,13
1,26,9,1.6416148143996079,0.06313903132306184,1,1,2,3,13
1,27,8,1.7090279589739783,0.06329733181385105,0,1,2,3,13
1,28,8,1.7675594743496568,0.06312712408391631,0,3,2,3,13
1,29,8,1.8247405873480602,0.06292208921889862,0,2,3,3,13
1,30,8,1.887713706801236,0.06292379022670787,0,1,4,3,13
1,31,8,1.9501049808571285,0.06290661228571383,0,1,6,3,13
1,32,7,2.029153059681784,0.06341103311505575,2,1,7,3,13
1,33,7,2.0909466987773744,0.06336202117507195,2,6,7,3,13
1,34,7,2.155914829518114,0.06340925969170923,2,6,7,3,13
1,35,7,2.212809756686781,0.0632231359053366,2,6,9,3,13
1,36,7,2.271754563874506,0.0631042934409585,2,6,8,3,13
1,37,7,2.3411970620360094,0.0632755962712435,2,6,8,3,13
1,38,7,2.408175204149181,0.06337303168813635,2,5,9,3,13
