mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00022105388227854447,0.00022105388227854447,0,2,10,5,35
1,2,10,0.14219014660214524,0.07109507330107262,0,1,4,5,35
1,3,10,0.2998268279675792,0.09994227598919307,0,1,4,5,35
1,4,9,0.4619556400121736,0.1154889100030434,1,1,2,5,35
1,5,9,0.5816105275332477,0.11632210550664954,1,2,2,5,35
1,6,9,0.7189639362433233,0.11982732270722056,1,1,6,5,35
1,7,9,0.8574956410937589,0.12249937729910841,1,1,7,5,35
1,8,9,0.981284236213442,0.12266052952668025,1,1,8,5,35
1,9,9,1.1057032296366944,0.12285591440407716,1,1,9,5,35
1,10,8,1.237742660912424,0.1237742660912424,2,1,16,5,35
1,11,8,1.3650235126330326,0.12409304660300297,2,5,16,5,35
1,12,8,1.4866517007925182,0.12388764173270984,2,5,16,5,35
1,13,8,1.6273963129001923,0.12518433176155325,2,10,9,5,35
1,14,8,1.7524903101425446,0.12517787929589605,2,15,8,5,35
1,15,8,1.8785237863845812,0.1252349190923054,2,16,9,5,35
1,16,8,2.008333731361901,0.12552085821011882,2,12,12,5,35
1,17,8,2.130748634498853,0.12533815497052078,2,8,15,5,35
1,18,8,2.2553278919867576,0.1252959939992643,2,4,15,5,35
1,19,8,2.381789660125709,0.12535735053293207,2,3,16,5,35
1,20,8,2.515338178887065,0.12576690894435325,2,6,15,5,35
1,21,8,2.642379818727922,0.12582761041561533,2,9,13,5,35
1,22,8,2.776929395784739,0.12622406344476086,2,12,9,5,35
1,23,8,2.904762092732893,0.12629400403186491,2,15,8,5,35
