mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.0001914484516162394,0.0001914484516162394,0,2,0,1,5
1,2,10,0.05586781609422266,0.02793390804711133,0,2,0,1,5
1,3,10,0.09722423429500983,0.03240807809833661,0,1,0,1,5
1,4,10,0.13349483424708852,0.03337370856177213,0,1,0,1,5
1,5,9,0.170170831229703,0.0340341662459406,2,1,2,1,5
1,6,9,0.20910473572416266,0.03485078928736044,2,6,2,1,5
1,7,9,0.2836626575650363,0.040523236795005184,2,6,3,1,5
1,8,9,0.347061700480674,0.04338271256008425,2,6,4,1,5
1,9,9,0.39337919938231236,0.04370879993136804,2,6,5,1,5
1,10,9,0.4332008720575655,0.04332008720575655,2,6,6,1,5
1,11,9,0.48905210911061703,0.04445928264641973,2,5,5,1,5
1,12,9,0.5412385885867508,0.04510321571556256,2,4,7,1,5
1,13,9,0.5939587552929568,0.04568913502253514,2,4,7,1,5
1,14,9,0.6354095161327882,0.04538639400948487,2,4,7,1,5
1,15,9,0.6846512421057112,0.04564341614038074,2,4,6,1,5
1,16,9,0.7527958381869784,0.04704973988668615,2,8,4,1,5
1,17,9,0.7982512269477313,0.046955954526337135,2,12,6,1,5
1,18,9,0.8416756831650494,0.04675976017583608,2,12,6,1,5
1,19,9,0.895574146011616,0.04713548136903242,2,9,7,1,5
1,20,9,0.9335681767673165,0.046678408838365826,2,6,7,1,5
1,21,9,0.9959926089055511,0.04742821947169291,2,4,5,1,5
1,22,9,1.0603070517372677,0.04819577507896671,2,2,6,1,5
1,23,9,1.1010974141037915,0.047873800613208325,2,2,7,1,5
1,24,9,1.1487242625188552,0.047863510938285635,2,2,7,1,5
1,25,9,1.1853935489371858,0.047415741957487434,2,1,6,1,5
1,26,9,1.2286399778314552,0.04725538376274828,2,1,5,1,5
1,27,8,1.2926334977947933,0.047875314733140495,4,1,0,1,5
1,28,8,1.3615379665963934,0.04862635594987119,4,2,0,1,5
1,29,8,1.4174870989401684,0.04887886548069546,4,1,0,1,5
1,30,8,1.4660182945771956,0.04886727648590652,4,1,0,1,5
1,31,8,1.5516948319576036,0.05005467199863237,4,1,0,1,5
1,32,8,1.6132607066066322,0.05041439708145726,4,1,4,1,5
1,33,7,1.6731667034431927,0.050702021316460386,3,1,3,1,5
1,34,7,1.7342379700306223,0.05100699911854772,3,6,3,1,5
1,35,7,1.8018855896158383,0.051482445417595384,3,5,8,1,5
1,36,7,1.848669670104715,0.051351935280686524,3,4,6,1,5
1,37,7,1.8893558213553083,0.05106367084744077,3,3,6,1,5
1,38,7,1.930885135271164,0.05081276671766221,3,3,5,1,5
1,39,7,1.9853342591280478,0.05090600664430892,3,3,6,1,5
1,40,7,2.0308453060984446,0.050771132652461116,3,3,5,1,5
1,41,7,2.0811926962218363,0.050760797468825274,3,6,3,1,5
1,42,7,2.1420531721429503,0.05100126600340358,3,6,1,1,5
1,43,7,2.2002282381334544,0.051168098561243124,3,3,2,1,5
1,44,7,2.2482604835790516,0.051096829172251175,3,3,2,1,5
1,45,7,2.314320462602619,0.05142934361339153,3,3,2,1,5
