mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00017960627935131738,0.00017960627935131738,0,1,5,6,45
1,2,10,0.09896542835702887,0.049482714178514436,0,1,6,6,45
1,3,10,0.19778717169057675,0.06592905723019225,0,1,6,6,45
1,4,10,0.29733286648858676,0.07433321662214669,0,1,5,6,45
1,5,10,0.3993891018067603,0.07987782036135206,0,2,6,6,45
1,6,10,0.49886848044008664,0.08314474674001444,0,1,6,6,45
1,7,10,0.5937554646690764,0.08482220923843949,0,1,6,6,45
1,8,10,0.6939133997731828,0.08673917497164785,0,1,5,6,45
1,9,10,0.795672396567507,0.08840804406305633,0,2,7,6,45
1,10,10,0.8947057200455215,0.08947057200455215,0,2,8,6,45
1,11,10,0.9942944414027606,0.09039040376388732,0,1,10,6,45
1,12,10,1.0920823630975804,0.09100686359146504,0,1,10,6,45
1,13,9,1.1969167720291045,0.09207052092531573,1,1,10,6,45
1,14,9,1.3153436262863067,0.09395311616330762,1,1,10,6,45
1,15,9,1.4131043109849175,0.09420695406566117,1,1,10,6,45
1,16,9,1.5230462488143024,0.0951903905508939,1,1,12,6,45
1,17,9,1.6218222024150926,0.09540130602441721,1,1,12,6,45
1,18,9,1.7197451248737332,0.09554139582631851,1,2,11,6,45
