mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.0002755278746971858,0.0002755278746971858,0,1,0,1,5
1,2,9,0.04196431637705321,0.020982158188526605,1,1,0,1,5
1,3,9,0.07941676512117112,0.02647225504039037,1,2,0,1,5
1,4,9,0.11596210346979606,0.028990525867449015,1,1,0,1,5
1,5,9,0.17247531795245707,0.03449506359049141,1,1,0,1,5
1,6,8,0.21462318799961666,0.03577053133326944,3,1,2,1,5
1,7,8,0.2754986640055995,0.03935695200079993,3,5,2,1,5
1,8,8,0.3388906016178782,0.042361325202234776,3,4,2,1,5
1,9,8,0.4128572043236568,0.04587302270262853,3,3,2,1,5
1,10,8,0.4750191349766858,0.04750191349766858,3,2,2,1,5
1,11,8,0.5362009285052548,0.04874553895502316,3,1,2,1,5
1,12,8,0.5749722005006096,0.047914350041717464,3,1,9,1,5
1,13,7,0.6252998536702269,0.048099988743863606,4,1,6,1,5
1,14,7,0.6784356806229316,0.04845969147306654,4,2,6,1,5
1,15,7,0.737186276185512,0.0491457517457008,4,2,5,1,5
1,16,7,0.793778043744198,0.04961112773401238,4,2,4,1,5
1,17,7,0.8415742352226506,0.049504366777802976,4,1,6,1,5
1,18,7,0.9226267990726819,0.05125704439292677,4,1,6,1,5
1,19,7,0.9798935704504669,0.051573345813182465,4,1,7,1,5
1,20,7,1.0137341566537836,0.05068670783268918,4,1,7,1,5
1,21,7,1.087623390500764,0.0517915900238459,4,2,6,1,5
1,22,7,1.122789905258677,0.05103590478448532,4,3,4,1,5
1,23,7,1.18499604668816,0.0515215672473113,4,4,3,1,5
1,24,7,1.218957028309501,0.05078987617956254,4,5,4,1,5
1,25,7,1.276183536301585,0.0510473414520634,4,4,3,1,5
1,26,7,1.338289808744972,0.05147268495172969,4,1,3,1,5
1,27,7,1.3998943678234008,0.05184793954901484,4,1,5,1,5
1,28,7,1.4539092786972398,0.05192533138204428,4,1,6,1,5
1,29,7,1.5033606111192528,0.05184002107307768,4,1,7,1,5
1,30,7,1.5551673516047595,0.05183891172015865,4,1,7,1,5
1,31,6,1.6014260343841515,0.05165890433497263,6,1,6,1,5
1,32,6,1.6396616454540558,0.051239426420439244,6,6,6,1,5
1,33,6,1.6844791358688065,0.05104482229905474,6,3,5,1,5
1,34,6,1.731884535662517,0.05093778046066227,6,3,3,1,5
1,35,6,1.7862807644832879,0.05103659327095108,6,3,2,1,5
1,36,6,1.837737766147904,0.05104827128188622,6,2,3,1,5
1,37,6,1.8680584640150082,0.05048806659500022,6,1,1,1,5
1,38,6,1.9078513207377492,0.05020661370362498,6,1,0,1,5
1,39,5,1.9465345659192694,0.0499111427158787,5,1,0,1,5
1,40,5,1.9839617513625543,0.04959904378406386,5,2,0,1,5
1,41,5,2.016440882494483,0.04918148493888983,5,2,0,1,5
1,42,5,2.047763822874278,0.048756281497006615,5,2,0,1,5
1,43,5,2.0790697894738246,0.0483504602203215,5,1,0,1,5
1,44,5,2.1308702141341174,0.048428868503048124,5,1,0,1,5
1,45,4,2.1664658102670957,0.048143684672602126,6,1,0,1,5
1,46,4,2.2014089027082777,0.047856715276266906,6,11,0,1,5
1,47,4,2.2559503955088305,0.047998944585294266,6,11,0,1,5
1,48,4,2.3042940900849986,0.048006126876770805,6,10,0,1,5
1,49,4,2.33672506304971,0.04768826659285122,6,9,0,1,5
1,50,4,2.384029804379165,0.0476805960875833,6,8,0,1,5
1,51,4,2.4178135481556113,0.04740810878736493,6,7,0,1,5
1,52,4,2.4797840303570213,0.04768815442994272,6,6,0,1,5
1,53,4,2.5245079676108775,0.04763222580397882,6,5,0,1,5
1,54,4,2.569978751195575,0.04759219909621435,6,4,0,1,5
1,55,4,2.607411857724995,0.04740748832227264,6,3,1,1,5
1,56,4,2.6513751327803634,0.04734598451393506,6,2,2,1,5
