mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,9.552685627037101e-05,9.552685627037101e-05,0,1,10,3,14
1,2,10,0.0786529450100836,0.0393264725050418,0,1,11,3,14
1,3,10,0.1377552530889319,0.04591841769631064,0,1,11,3,14
1,4,9,0.2585955420537248,0.0646488855134312,2,1,10,3,14
1,5,9,0.3207965518752277,0.06415931037504555,2,5,10,3,14
1,6,9,0.38007293988637036,0.06334548998106172,2,4,10,3,14
1,7,9,0.4478287179782726,0.06397553113975323,2,3,11,3,14
1,8,9,0.5144425159247609,0.06430531449059511,2,3,13,3,14
1,9,9,0.5773291875204029,0.06414768750226699,2,3,11,3,14
1,10,9,0.6434156140620265,0.06434156140620265,2,3,10,3,14
