mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00017092201969037458,0.00017092201969037458,0,8,7,2,11
1,2,10,0.05561044621699834,0.02780522310849917,0,6,0,2,11
1,3,10,0.12158910899101144,0.040529702997003814,0,4,0,2,11
1,4,10,0.18211681987148082,0.045529204967870204,0,2,0,2,11
1,5,10,0.23668752336361892,0.04733750467272378,0,2,0,2,11
1,6,10,0.2914769123035827,0.04857948538393045,0,2,0,2,11
1,7,10,0.35304397116983693,0.05043485302426242,0,1,0,2,11
1,8,10,0.4104125852291007,0.051301573153637585,0,1,6,2,11
1,9,9,0.4805877191147267,0.053398635457191854,1,1,8,2,11
1,10,9,0.5399738445888578,0.05399738445888578,1,1,8,2,11
1,11,9,0.6015641930605664,0.05468765391459695,1,1,7,2,11
1,12,9,0.6568020055902952,0.05473350046585793,1,1,9,2,11
1,13,9,0.7210975009463869,0.055469038534337455,1,1,9,2,11
1,14,8,0.7781072971860237,0.055579092656144545,3,1,4,2,11
1,15,8,0.8400596213899636,0.05600397475933091,3,1,4,2,11
1,16,8,0.9003031201360754,0.05626894500850471,3,1,5,2,11
1,17,8,0.9565183066167364,0.056265782742160965,3,1,6,2,11
1,18,8,1.0153865344238149,0.05641036302354527,3,1,6,2,11
1,19,8,1.0817157254968697,0.05693240660509841,3,2,15,2,11
1,20,8,1.1378057796905976,0.05689028898452988,3,2,15,2,11
1,21,8,1.1951309724515564,0.05691099868816935,3,2,18,2,11
1,22,8,1.2627324075649398,0.05739692761658817,3,2,24,2,11
