mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00011644802727173325,0.00011644802727173325,0,3,19,2,13
1,2,10,0.06501155203904446,0.03250577601952223,0,3,13,2,13
1,3,10,0.12809085630352907,0.042696952101176355,0,3,7,2,13
1,4,10,0.19087055360971134,0.047717638402427834,0,3,10,2,13
1,5,10,0.2675498032423081,0.05350996064846162,0,3,11,2,13
1,6,10,0.3332730698344744,0.055545511639079066,0,2,5,2,13
1,7,10,0.4044705779256384,0.05778151113223406,0,1,6,2,13
1,8,10,0.47618914159645925,0.05952364269955741,0,1,10,2,13
1,9,9,0.5811711829422195,0.06457457588246883,-1,1,9,2,13
1,10,9,0.645780495863332,0.0645780495863332,-1,3,9,2,13
1,11,9,0.7090078272811282,0.06445525702555711,-1,2,10,2,13
1,12,9,0.7783662460195502,0.06486385383496251,-1,1,11,2,13
1,13,9,0.846789922627194,0.065137686355938,-1,2,10,2,13
1,14,9,0.9146688593106513,0.06533348995076081,-1,2,9,2,13
