mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,0.00011407959281874885,0.00011407959281874885,0,1,7,1,6
1,2,10,0.049947914178988105,0.024973957089494053,0,1,7,1,6
1,3,10,0.10374295538777387,0.03458098512925795,0,1,7,1,6
1,4,9,0.19224937720042354,0.048062344300105884,-1,1,0,1,6
1,5,9,0.24717416164328285,0.04943483232865657,-1,7,0,1,6
1,6,9,0.29467785146679104,0.049112975244465173,-1,6,0,1,6
1,7,9,0.37654594624680093,0.053792278035257275,-1,5,0,1,6
1,8,9,0.44043801826773465,0.05505475228346683,-1,4,0,1,6
1,9,9,0.4861953824212425,0.054021709157915834,-1,3,0,1,6
1,10,9,0.5343819708453611,0.05343819708453611,-1,2,0,1,6
1,11,9,0.5967531132084035,0.05425028301894577,-1,1,0,1,6
1,12,9,0.6392092744735266,0.05326743953946055,-1,1,0,1,6
1,13,8,0.6915678601865775,0.0531975277066598,0,1,2,1,6
1,14,8,0.7440405254924473,0.05314575182088909,0,4,2,1,6
1,15,8,0.7948951553278535,0.05299301035519023,0,3,3,1,6
1,16,8,0.8405080449797294,0.05253175281123309,0,2,5,1,6
1,17,8,0.8831473651758838,0.05194984501034611,0,2,5,1,6
1,18,8,0.9233448294510106,0.051296934969500586,0,2,9,1,6
1,19,8,0.9820291088489078,0.05168574257099515,0,2,15,1,6
1,20,8,1.027463181699583,0.05137315908497915,0,2,22,1,6
1,21,8,1.0663137962491125,0.050776847440433925,0,2,23,1,6
1,22,8,1.1132877462333028,0.05060398846515013,0,2,23,1,6
1,23,8,1.1603781442447656,0.050451223662815896,0,1,15,1,6
1,24,8,1.1989477045725407,0.0499561543571892,0,1,9,1,6
1,25,7,1.2411082062701158,0.04964432825080463,-1,1,7,1,6
1,26,7,1.2800709267170869,0.04923349718142642,-1,1,7,1,6
1,27,7,1.317404953738556,0.04879277606439096,-1,1,6,1,6
1,28,6,1.3563964901380383,0.048442731790644226,1,1,8,1,6
1,29,6,1.3953130261131768,0.04811424227976471,1,3,8,1,6
1,30,6,1.4354141740538817,0.04784713913512939,1,3,8,1,6
1,31,6,1.4760466407902064,0.047614407767426016,1,3,8,1,6
1,32,6,1.5165097644631422,0.047390930139473195,1,3,5,1,6
