mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,7.539516342000356e-05,7.539516342000356e-05,0,3,10,5,22
1,2,10,0.11677645018254709,0.058388225091273546,0,2,13,5,22
1,3,10,0.22366231808943124,0.07455410602981041,0,1,16,5,22
1,4,10,0.32989686652174466,0.08247421663043616,0,1,16,5,22
1,5,10,0.44320040231806546,0.08864008046361309,0,1,19,5,22
1,6,10,0.5683074259499096,0.09471790432498493,0,1,16,5,22
1,7,10,0.6777587031084512,0.0968226718726359,0,1,14,5,22
1,8,10,0.7966868759915345,0.09958585949894182,0,1,13,5,22
1,9,10,0.9074261867534247,0.10082513186149163,0,1,11,5,22
1,10,10,1.020297483262076,0.10202974832620759,0,1,8,5,22
1,11,10,1.130902187999221,0.102809289818111,0,1,11,5,22
1,12,10,1.2380276625249325,0.1031689718770777,0,1,11,5,22
1,13,10,1.3527775222938758,0.10405980940722122,0,1,7,5,22
1,14,10,1.4599957605023293,0.1042854114644521,0,1,6,5,22
1,15,10,1.570982572664556,0.1047321715109704,0,1,6,5,22
1,16,10,1.679441870526373,0.10496511690789831,0,1,6,5,22
1,17,10,1.7912126344925379,0.10536544908779634,0,1,6,5,22
1,18,10,1.9858793937913073,0.11032663298840596,0,1,6,5,22
1,19,10,2.097063575491283,0.11037176713112015,0,1,6,5,22
1,20,10,2.20644774700699,0.1103223873503495,0,1,6,5,22
1,21,10,2.3495809252604984,0.11188480596478564,0,1,6,5,22
1,22,10,2.4585375943574426,0.11175170883442921,0,1,6,5,22
1,23,10,2.57673865786346,0.11203211555928086,0,1,6,5,22
1,24,10,2.6867038852982996,0.11194599522076248,0,1,6,5,22
1,25,10,2.804540209898557,0.11218160839594228,0,1,6,5,22
