mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,10,9.23689436663918e-05,9.23689436663918e-05,0,1,5,1,4
1,2,10,0.03794981997924464,0.01897490998962232,0,1,3,1,4
1,3,9,0.07605635137146173,0.025352117123820576,-1,1,4,1,4
1,4,9,0.12161555650906987,0.030403889127267467,-1,4,4,1,4
1,5,9,0.1563506214574636,0.031270124291492715,-1,4,5,1,4
1,6,9,0.1985730971898919,0.03309551619831532,-1,4,6,1,4
1,7,9,0.23523014669688236,0.03360430667098319,-1,4,6,1,4
1,8,9,0.26538386993505336,0.03317298374188167,-1,3,5,1,4
1,9,9,0.29354771349364184,0.03261641261040465,-1,2,7,1,4
1,10,9,0.3370791440004185,0.03370791440004185,-1,2,7,1,4
1,11,9,0.368241030837409,0.03347645734885536,-1,2,6,1,4
1,12,9,0.3975125122418449,0.03312604268682041,-1,2,4,1,4
1,13,9,0.44201026400544186,0.034000789538880145,-1,4,3,1,4
1,14,9,0.49859413678261666,0.035613866913044044,-1,3,2,1,4
1,15,9,0.5304839224748245,0.03536559483165496,-1,2,3,1,4
1,16,9,0.5763829979564351,0.036023937372277194,-1,2,3,1,4
1,17,9,0.60741383142036,0.035730225377668234,-1,1,5,1,4
1,18,9,0.6361342570754017,0.03534079205974454,-1,1,6,1,4
1,19,9,0.6683465445922897,0.035176133925909986,-1,1,7,1,4
1,20,8,0.6961930179341783,0.03480965089670891,-2,1,5,1,4
1,21,8,0.7351817911601307,0.03500865672191099,-2,12,5,1,4
1,22,8,0.7764063665097011,0.035291198477713684,-2,6,6,1,4
1,23,8,0.806802064801151,0.03507835064352831,-2,6,5,1,4
1,24,8,0.833708269665206,0.03473784456938358,-2,6,4,1,4
1,25,8,0.8773407533753114,0.03509363013501245,-2,5,3,1,4
1,26,8,0.9211011325458754,0.03542696663637983,-2,4,0,1,4
1,27,8,0.9570823887556165,0.03544749587983765,-2,3,0,1,4
1,28,8,0.9991892059389264,0.03568532878353308,-2,2,0,1,4
1,29,8,1.0486950123533565,0.036161896977701946,-2,1,0,1,4
1,30,8,1.098371346048403,0.036612378201613435,-2,1,0,1,4
1,31,7,1.1428102816897483,0.036864847796443494,-3,1,0,1,4
1,32,7,1.1993238909114834,0.037478871590983856,-3,8,0,1,4
1,33,7,1.2263714123645646,0.03716277007165347,-3,7,0,1,4
1,34,7,1.266727956487117,0.037256704602562266,-3,6,4,1,4
1,35,7,1.3169912671874262,0.03762832191964075,-3,5,3,1,4
1,36,7,1.363733900073378,0.0378814972242605,-3,4,3,1,4
1,37,7,1.4052292664287411,0.03797916936293895,-3,4,4,1,4
1,38,7,1.4331921877979004,0.03771558388941843,-3,4,3,1,4
1,39,7,1.4625473538863436,0.03750121420221394,-3,4,3,1,4
1,40,7,1.5083481393381537,0.03770870348345384,-3,6,8,1,4
1,41,7,1.5423493843452012,0.03761827766695613,-3,4,9,1,4
1,42,7,1.5885662247825896,0.03782300535196642,-3,2,9,1,4
1,43,7,1.632389367466161,0.037962543429445605,-3,2,9,1,4
1,44,7,1.6604509736041924,0.03773752212736801,-3,2,7,1,4
1,45,7,1.6876713907723375,0.03750380868382972,-3,1,0,1,4
1,46,7,1.731307821873195,0.03763712656246076,-3,1,0,1,4
1,47,6,1.7630472119776361,0.03751164280803481,-4,1,0,1,4
1,48,6,1.8141434221272452,0.03779465462765094,-4,1,0,1,4
1,49,6,1.8404906764603983,0.037561034213477514,-4,1,0,1,4
1,50,6,1.8673731969799197,0.037347463939598396,-4,1,0,1,4
1,51,5,1.923576541288313,0.03771718708408457,-2,1,0,1,4
1,52,5,1.9568068608809104,0.03763090117078674,-2,9,0,1,4
1,53,5,1.9861904481827826,0.03747529147514684,-2,6,0,1,4
1,54,5,2.0147521887294677,0.03731022571721237,-2,3,0,1,4
