mode,total_stepcount,total_time,average_steptime,score,goal_dist,crowdedness,branch_complex,map_complex
1,1,0,0,0,6,13,1,4
1,2,0,0,0,6,13,1,4
1,3,0,0,0,6,13,1,4
1,4,0,0,0,5,6,1,4
1,5,0,0,0,4,0,1,4
1,6,0,0,0,3,0,1,4
1,7,0,0,0,2,0,1,4
1,8,0,0,0,1,0,1,4
1,9,0,0,0,1,0,1,4
1,10,0,0,1,1,4,1,4
1,11,0,0,1,4,4,1,4
1,12,0,0,1,4,5,1,4
1,13,0,0,1,4,6,1,4
1,14,0,0,1,4,6,1,4
1,15,0,0,1,3,5,1,4
1,16,0,0,1,2,7,1,4
1,17,0,0,1,2,7,1,4
1,18,0,0,1,2,6,1,4
1,19,0,0,1,2,4,1,4
1,20,0,0,1,4,3,1,4
1,21,0,0,1,3,2,1,4
1,22,0,0,1,2,3,1,4
1,23,0,0,1,2,3,1,4
1,24,0,0,1,1,5,1,4
1,25,0,0,1,1,6,1,4
1,26,0,0,1,1,7,1,4
1,27,0,0,2,1,5,1,4
1,28,0,0,2,12,5,1,4
1,29,0,0,2,6,6,1,4
1,30,0,0,2,6,5,1,4
1,31,0,0,2,6,4,1,4
1,32,0,0,2,5,3,1,4
1,33,0,0,2,4,0,1,4
1,34,0,0,2,3,0,1,4
1,35,0,0,2,2,0,1,4
1,36,0,0,2,1,0,1,4
1,37,0,0,2,1,0,1,4
1,38,0,0,3,1,0,1,4
1,39,0,0,3,8,0,1,4
1,40,0,0,3,7,0,1,4
1,41,0,0,3,6,4,1,4
1,42,0,0,3,5,3,1,4
1,43,0,0,3,4,3,1,4
1,44,0,0,3,4,4,1,4
1,45,0,0,3,4,3,1,4
1,46,0,0,3,4,3,1,4
1,47,0,0,3,6,8,1,4
1,48,0,0,3,4,9,1,4
1,49,0,0,3,2,9,1,4
1,50,0,0,3,2,9,1,4
1,51,0,0,3,2,7,1,4
1,52,0,0,3,1,0,1,4
1,53,0,0,3,1,0,1,4
1,54,0,0,2,1,0,1,4
1,55,0,0,2,1,0,1,4
1,56,0,0,2,1,0,1,4
1,57,0,0,2,1,0,1,4
1,58,0,0,4,1,0,1,4
1,59,0,0,4,9,0,1,4
1,60,0,0,4,6,0,1,4
1,61,0,0,4,3,0,1,4
1,62,0,0,4,3,0,1,4
1,63,0,0,4,3,0,1,4
1,64,0,0,4,2,0,1,4
1,65,0,0,4,1,0,1,4
1,66,0,0,4,1,5,1,4
1,67,0,0,6,1,4,1,4
1,68,0,0,6,3,4,1,4
1,69,0,0,6,2,6,1,4
1,70,0,0,6,2,6,1,4
1,71,0,0,6,2,6,1,4
1,72,0,0,6,2,5,1,4
1,73,0,0,6,2,10,1,4
1,74,0,0,6,2,5,1,4
1,75,0,0,6,2,5,1,4
1,76,0,0,6,1,10,1,4
1,77,0,0,6,1,10,1,4
1,78,0,0,6,1,4,1,4
1,79,0,0,6,1,6,1,4
1,80,0,0,6,1,6,1,4
1,81,0,0,8,1,4,1,4
1,82,0,0,8,6,4,1,4
1,83,0,0,8,6,4,1,4
1,84,0,0,8,6,3,1,4
1,85,0,0,8,6,2,1,4
1,86,0,0,8,5,3,1,4
1,87,0,0,8,4,0,1,4
1,88,0,0,8,3,0,1,4
1,89,0,0,8,2,1,1,4
1,90,0,0,8,1,2,1,4
1,91,0,0,8,1,3,1,4
1,92,0,0,9,1,4,1,4
1,93,0,0,9,6,4,1,4
1,94,0,0,9,4,4,1,4
1,95,0,0,9,2,5,1,4
1,96,0,0,9,4,4,1,4
1,97,0,0,9,6,3,1,4
1,98,0,0,9,4,1,1,4
1,99,0,0,9,4,2,1,4
1,100,0,0,9,4,2,1,4
1,101,0,0,9,3,3,1,4
1,102,0,0,9,2,4,1,4
1,103,0,0,9,1,4,1,4
1,104,0,0,9,1,4,1,4
1,105,0,0,8,1,4,1,4
1,106,0,0,8,1,4,1,4
1,107,0,0,8,1,4,1,4
1,108,0,0,8,1,7,1,4
1,109,0,0,9,1,7,1,4
