mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.881632704619001e-05,8.881632704619001e-05,0,1,0,[],0,3,13
2,2,10,8.23480194748547,4.117400973742735,0,1,1122,6,0,3,13
2,3,9,8.312790577416651,2.770930192472217,-1,12,1122,6,0,3,13
2,4,9,13.536232324564068,3.384058081141017,-1,12,819,120,0,3,13
2,5,9,13.605931430637606,2.721186286127521,-1,9,819,120,0,3,13
2,6,9,13.693867094458728,2.282311182409788,-1,6,819,120,0,3,13
2,7,9,13.7701224244252,1.967160346346457,-1,3,819,120,0,3,13
2,8,9,13.852971478511579,1.7316214348139474,-1,3,819,120,0,3,13
2,9,9,13.940418455164332,1.548935383907148,-1,1,819,120,3,3,13
2,10,9,14.01220217911845,1.401220217911845,-1,1,819,120,3,3,13
2,11,9,14.096749796117184,1.2815227087379257,-1,1,819,120,4,3,13
2,12,9,14.164452311158723,1.1803710259298936,-1,1,819,120,4,3,13
2,13,9,14.24190922734532,1.0955314790265631,-1,1,819,120,6,3,13
2,14,9,14.32679434638683,1.023342453313345,-1,1,819,120,9,3,13
2,15,8,14.415519093931353,0.9610346062620903,0,4,819,120,9,3,13
2,16,8,17.39441475566825,1.0871509222292657,0,4,452,168,9,3,13
2,17,8,17.47519458670407,1.0279526227472982,0,3,452,168,9,3,13
2,18,8,17.54639804398815,0.9747998913326751,0,2,452,168,12,3,13
2,19,8,17.629608679210417,0.9278741410110746,0,2,452,168,12,3,13
2,20,8,17.720350544226967,0.8860175272113484,0,2,452,168,12,3,13
2,21,8,17.791842161149912,0.8472305791023768,0,2,452,168,11,3,13
2,22,8,17.85682413340922,0.8116738242458736,0,1,452,168,9,3,13
2,23,8,17.940197006455556,0.7800085654980676,0,1,452,168,9,3,13
2,24,8,18.019522223423976,0.750813425975999,0,4,452,168,10,3,13
2,25,8,18.096883612716596,0.7238753445086639,0,4,452,168,7,3,13
2,26,8,18.178737529200827,0.6991822126615703,0,4,452,168,5,3,13
2,27,8,18.26197934882237,0.6763696055119396,0,8,452,168,5,3,13
2,28,8,18.328464093335295,0.6545880033334034,0,6,452,168,4,3,13
2,29,8,18.401180191353784,0.6345234548742684,0,4,452,168,6,3,13
2,30,8,18.479075662826375,0.6159691887608791,0,2,452,168,7,3,13
2,31,8,18.548730558106005,0.5983461470356776,0,2,452,168,11,3,13
2,32,8,18.62179639508344,0.5819311373463575,0,2,452,168,8,3,13
2,33,8,18.70647940763852,0.5668630123526823,0,1,452,168,8,3,13
2,34,8,18.782802632752777,0.5524353715515522,0,1,452,168,10,3,13
2,35,7,18.849469352051344,0.538556267201467,-1,12,452,168,8,3,13
2,36,7,20.005887535635082,0.5557190982120856,-1,12,168,123,8,3,13
