mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00016934313023473564,0.00016934313023473564,0,1,0,[],0,6,23
2,2,10,7.564097361641926,3.782048680820963,0,1,534,15,0,6,23
2,3,10,7.722218055530336,2.5740726851767786,0,1,534,15,0,6,23
2,4,10,7.940928063511963,1.9852320158779908,0,1,534,15,0,6,23
2,5,10,8.121672052225579,1.6243344104451158,0,1,534,15,0,6,23
2,6,9,8.278315631910402,1.379719271985067,1,6,534,15,0,6,23
2,7,9,17.266852009893743,2.466693144270535,1,6,649,57,0,6,23
2,8,9,17.431029977286702,2.1788787471608377,1,4,649,57,0,6,23
2,9,9,17.601020479860797,1.9556689422067552,1,2,649,57,0,6,23
2,10,9,17.765472791019523,1.7765472791019523,1,2,649,57,0,6,23
2,11,9,17.933612756077206,1.630328432370655,1,2,649,57,0,6,23
2,12,9,18.108089470015212,1.509007455834601,1,1,649,57,0,6,23
2,13,9,18.288932538275887,1.4068409644827606,1,1,649,57,4,6,23
2,14,8,18.462186350075275,1.3187275964339482,2,4,649,57,5,6,23
2,15,8,22.9546136726617,1.5303075781774467,2,4,364,39,5,6,23
2,16,8,23.084890645390747,1.4428056653369217,2,3,364,39,4,6,23
2,17,8,23.22995928659568,1.3664681933291576,2,2,364,39,0,6,23
2,18,8,23.369575000059207,1.2983097222255116,2,1,364,39,0,6,23
2,19,8,23.507818994693913,1.2372536312996796,2,1,364,39,6,6,23
2,20,8,23.672194726441763,1.183609736322088,2,1,364,39,6,6,23
2,21,7,23.828567120274673,1.134693672394032,3,15,364,39,9,6,23
2,22,7,32.61208541525382,1.4823675188751737,3,15,698,234,9,6,23
2,23,7,32.777199309364235,1.4250956221462712,3,12,698,234,9,6,23
2,24,7,32.95302129460257,1.3730425539417739,3,9,698,234,11,6,23
2,25,7,33.115499909604715,1.3246199963841887,3,6,698,234,14,6,23
2,26,7,33.310779775772325,1.2811838375297049,3,4,698,234,14,6,23
2,27,7,33.48630254867332,1.2402334277286415,3,2,698,234,14,6,23
2,28,7,33.65038617339,1.2017995061925,3,3,698,234,11,6,23
2,29,7,33.82108404866661,1.166244277540228,3,3,698,234,11,6,23
