mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,8.526367396434241e-05,8.526367396434241e-05,0,1,0,[],15,1,5
2,2,10,4.377060440102664,2.188530220051332,0,1,916,12,15,1,5
2,3,10,4.432136036612853,1.477378678870951,0,1,916,12,9,1,5
2,4,10,4.480816857575716,1.120204214393929,0,1,916,12,9,1,5
2,5,9,4.536413904610475,0.907282780922095,-1,8,916,12,9,1,5
2,6,9,6.840301928143249,1.1400503213572082,-1,8,543,117,9,1,5
2,7,9,6.884740091847924,0.9835342988354177,-1,6,543,117,9,1,5
2,8,9,6.935550136224507,0.8669437670280634,-1,4,543,117,9,1,5
2,9,9,6.980711462200953,0.775634606911217,-1,2,543,117,10,1,5
2,10,9,7.025081730757843,0.7025081730757843,-1,2,543,117,10,1,5
2,11,9,7.072461096475055,0.6429510087704595,-1,1,543,117,10,1,5
2,12,9,7.120365860109151,0.5933638216757625,-1,1,543,117,10,1,5
2,13,9,7.167331144372715,0.5513331649517472,-1,1,543,117,8,1,5
2,14,9,7.217693554460985,0.5155495396043561,-1,1,543,117,3,1,5
2,15,9,7.272515728384669,0.48483438189231126,-1,1,543,117,5,1,5
2,16,9,7.334075706247693,0.4583797316404808,-1,1,543,117,7,1,5
2,17,9,7.37870058160878,0.43404121068286944,-1,1,543,117,8,1,5
2,18,8,7.437730675738298,0.4132072597632388,-2,1,543,117,8,1,5
2,19,8,7.50056763501463,0.394766717632349,-2,2,543,117,8,1,5
2,20,8,7.55869851317521,0.37793492565876047,-2,2,543,117,11,1,5
2,21,8,7.611879361375082,0.3624704457797658,-2,2,543,117,8,1,5
2,22,8,7.6667335091765,0.34848788678075,-2,1,543,117,8,1,5
2,23,8,7.728859148357999,0.3360373542764347,-2,1,543,117,7,1,5
2,24,7,7.776362462193846,0.32401510259141025,0,10,543,117,6,1,5
2,25,7,7.863700490818759,0.31454801963275036,0,10,10,108,6,1,5
2,26,7,7.929785759229596,0.3049917599703691,0,8,10,108,7,1,5
2,27,7,7.9851518838140345,0.29574636606718646,0,6,10,108,8,1,5
2,28,7,8.037385752597974,0.28704949116421336,0,4,10,108,8,1,5
2,29,7,8.083839060078521,0.2787530710371904,0,2,10,108,11,1,5
2,30,7,8.129514336534143,0.2709838112178048,0,2,10,108,8,1,5
2,31,7,8.17795870869745,0.2638051196354016,0,1,10,108,11,1,5
2,32,7,8.242172913151844,0.2575679035359951,0,1,10,108,11,1,5
2,33,7,8.302228539804322,0.25158268302437337,0,1,10,108,10,1,5
2,34,6,8.34333944652823,0.245392336662595,-1,2,10,108,7,1,5
2,35,6,9.071395300550503,0.25918272287287153,-1,2,169,54,7,1,5
2,36,6,9.137084250773096,0.25380789585480823,-1,2,169,54,6,1,5
2,37,6,9.184008482156603,0.24821644546369198,-1,2,169,54,5,1,5
2,38,6,9.240916063439332,0.2431820016694561,-1,2,169,54,4,1,5
2,39,6,9.30047629235651,0.23847375108606436,-1,1,169,54,3,1,5
2,40,6,9.35163647043127,0.23379091176078176,-1,1,169,54,3,1,5
2,41,6,9.404362973775893,0.2293747066774608,-1,3,169,54,4,1,5
2,42,6,9.453278664581386,0.22507806344241396,-1,2,169,54,4,1,5
2,43,6,9.500602372066982,0.22094424121086007,-1,1,169,54,5,1,5
2,44,6,9.543802238803021,0.2169045963364323,-1,1,169,54,6,1,5
2,45,5,9.59341938122257,0.21318709736050157,1,12,169,54,7,1,5
2,46,5,11.712384311799784,0.25461705025651704,1,12,512,492,7,1,5
