mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00013342180751812148,0.00013342180751812148,0,1,0,[],0,3,13
2,2,10,2.2750455035469277,1.1375227517734638,0,1,281,21,0,3,13
2,3,10,2.3372828293633767,0.779094276454459,0,1,281,21,0,3,13
2,4,10,2.400490423827398,0.6001226059568495,0,1,281,21,0,3,13
2,5,10,2.4684396240662942,0.49368792481325885,0,1,281,21,2,3,13
2,6,10,2.5802893358475587,0.4300482226412598,0,1,281,21,2,3,13
2,7,10,2.6465131315874557,0.37807330451249366,0,1,281,21,5,3,13
2,8,9,2.709678094231324,0.3387097617789155,2,5,281,21,4,3,13
2,9,9,5.259719758940744,0.5844133065489715,2,5,462,78,4,3,13
2,10,9,5.317986404396764,0.5317986404396764,2,5,462,78,5,3,13
2,11,9,5.38147860573422,0.48922532779401995,2,4,462,78,5,3,13
2,12,9,5.4651380264388365,0.45542816886990306,2,3,462,78,5,3,13
2,13,9,5.540730164657514,0.42621001266596265,2,2,462,78,5,3,13
2,14,9,5.609308184243677,0.40066487030311976,2,2,462,78,5,3,13
2,15,9,5.672801569798358,0.3781867713198905,2,2,462,78,8,3,13
2,16,9,5.740129450732422,0.35875809067077635,2,1,462,78,6,3,13
2,17,9,5.816543435706286,0.3421496138650757,2,1,462,78,7,3,13
2,18,8,5.901718259721736,0.3278732366512076,3,2,462,78,10,3,13
2,19,8,10.69506248522196,0.562898025537998,3,2,794,21,10,3,13
2,20,8,10.75433058371252,0.537716529185626,3,1,794,21,6,3,13
2,21,8,10.840757125336374,0.5162265297779226,3,1,794,21,6,3,13
2,22,8,10.922335481634967,0.4964697946197712,3,1,794,21,5,3,13
2,23,8,11.00030987017427,0.47827434218149,3,1,794,21,4,3,13
2,24,7,11.067661040713787,0.4611525433630745,4,2,794,21,6,3,13
2,25,7,16.44826845730838,0.6579307382923352,4,2,916,51,6,3,13
2,26,7,16.50661326110135,0.6348697408115904,4,2,916,51,5,3,13
2,27,7,16.568114398541997,0.6136338666126666,4,2,916,51,3,3,13
2,28,7,16.647672874991272,0.5945597455354026,4,1,916,51,3,3,13
2,29,7,16.723812516307664,0.5766831902175057,4,1,916,51,6,3,13
2,30,7,16.786828267580994,0.5595609422526998,4,1,916,51,8,3,13
2,31,7,16.865864504233386,0.5440601452978512,4,1,916,51,11,3,13
2,32,7,16.954183424985175,0.5298182320307867,4,1,916,51,13,3,13
2,33,7,17.036060204024842,0.5162442486068134,4,1,916,51,13,3,13
2,34,7,17.09827818762659,0.5028905349301939,4,1,916,51,14,3,13
2,35,7,17.159119716072084,0.49026056331634527,4,1,916,51,12,3,13
2,36,7,17.235935940163877,0.4787759983378855,4,1,916,51,10,3,13
2,37,7,17.31543165310015,0.467984639272977,4,1,916,51,8,3,13
2,38,6,17.37512725400947,0.4572401908949861,5,5,916,51,8,3,13
2,39,6,23.460436289310593,0.6015496484438614,5,5,1122,81,8,3,13
2,40,6,23.52636008335311,0.5881590020838278,5,5,1122,81,5,3,13
2,41,6,23.586693187869365,0.5752851997041308,5,5,1122,81,3,3,13
2,42,6,23.666687850997064,0.5634925678808825,5,4,1122,81,2,3,13
2,43,6,23.743978946196677,0.5521855568882948,5,3,1122,81,0,3,13
2,44,6,23.80855707473082,0.5411035698802459,5,2,1122,81,0,3,13
2,45,6,23.89278136705247,0.5309506970456105,5,1,1122,81,0,3,13
2,46,6,23.966071386982847,0.5210015518909314,5,1,1122,81,6,3,13
2,47,5,24.02811292221785,0.5112364451535713,4,1,1122,81,13,3,13
2,48,5,30.49374713567458,0.6352863986598871,4,1,1119,30,13,3,13
2,49,5,30.561320149574527,0.6237004112158067,4,1,1119,30,6,3,13
2,50,5,30.634443589615046,0.6126888717923009,4,1,1119,30,9,3,13
2,51,5,30.730876372063683,0.6025662033737977,4,1,1119,30,10,3,13
2,52,5,30.80566600574187,0.5924166539565744,4,1,1119,30,11,3,13
2,53,5,30.89096004095812,0.5828483026595872,4,1,1119,30,12,3,13
2,54,5,30.964605326056443,0.5734186171491934,4,1,1119,30,13,3,13
2,55,5,31.029885695405902,0.564179739916471,4,1,1119,30,6,3,13
2,56,5,31.101319652203287,0.5553807080750587,4,1,1119,30,9,3,13
2,57,4,31.166564889775024,0.5467818401714917,5,70,1119,30,9,3,13
2,58,4,34.862413695235375,0.6010760981937133,5,70,702,1659,9,3,13
2,59,4,34.922116796187126,0.5919002846811378,5,63,702,1659,9,3,13
2,60,4,34.98328437910897,0.5830547396518162,5,56,702,1659,6,3,13
2,61,4,35.05374648830249,0.5746515817754506,5,64,702,1659,13,3,13
