mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00013776399172942363,0.00013776399172942363,0,1,0,[],4,1,5
2,2,10,1.8409106160379392,0.9204553080189696,0,1,386,12,4,1,5
2,3,10,1.882023496458005,0.6273411654860016,0,1,386,12,4,1,5
2,4,10,1.9322224845045113,0.4830556211261278,0,1,386,12,5,1,5
2,5,9,1.9939687792847167,0.3987937558569433,-1,2,386,12,6,1,5
2,6,9,4.562878012156388,0.7604796686927314,-1,2,534,72,6,1,5
2,7,9,4.626062341956279,0.6608660488508971,-1,4,534,72,5,1,5
2,8,9,4.679475691563396,0.5849344614454245,-1,6,534,72,3,1,5
2,9,9,4.737388278929056,0.5263764754365617,-1,3,534,72,3,1,5
2,10,9,4.787706478223419,0.4787706478223419,-1,3,534,72,4,1,5
2,11,9,4.903601916537913,0.4457819924125376,-1,2,534,72,5,1,5
2,12,9,4.949224692675769,0.4124353910563141,-1,1,534,72,6,1,5
2,13,9,4.990194677494098,0.3838611290380075,-1,1,534,72,7,1,5
2,14,9,5.133876994518649,0.3667054996084749,-1,1,534,72,7,1,5
2,15,8,5.178302526567921,0.3452201684378614,-2,4,534,72,6,1,5
2,16,8,8.61672044330794,0.5385450277067463,-2,4,851,42,6,1,5
2,17,8,8.661580188511664,0.5095047169712743,-2,3,851,42,6,1,5
2,18,8,8.709602979175923,0.48386683217644016,-2,2,851,42,7,1,5
2,19,8,8.775333771757037,0.46185967219773877,-2,1,851,42,7,1,5
2,20,8,8.81873929763259,0.4409369648816295,-2,1,851,42,7,1,5
2,21,8,8.871934356444786,0.42247306459260886,-2,1,851,42,7,1,5
2,22,8,8.931540375112792,0.4059791079596724,-2,1,851,42,8,1,5
2,23,7,8.995659447412443,0.3911156281483671,-3,3,851,42,8,1,5
2,24,7,13.337715201960432,0.555738133415018,-3,3,929,69,8,1,5
2,25,7,13.38971064824866,0.5355884259299464,-3,3,929,69,7,1,5
2,26,7,13.446809678058575,0.5171849876176375,-3,3,929,69,6,1,5
2,27,7,13.504936214087607,0.5001828227439854,-3,3,929,69,5,1,5
2,28,7,13.56262380009142,0.4843794214318364,-3,3,929,69,3,1,5
2,29,7,13.605452611950017,0.469153538343104,-3,3,929,69,2,1,5
2,30,7,13.667333118068871,0.4555777706022957,-3,2,929,69,2,1,5
2,31,7,13.73574340055216,0.4430884967920051,-3,1,929,69,2,1,5
2,32,7,13.785943967555593,0.43081074898611227,-3,1,929,69,2,1,5
2,33,6,13.835660189522198,0.41926242998552116,-2,2,929,69,2,1,5
2,34,6,18.91480935279345,0.5563179221409839,-2,2,1194,15,2,1,5
