mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00013776399172942363,0.00013776399172942363,0,1,0,[],14,3,14
2,2,10,1.8021053811641492,0.9010526905820746,0,1,192,9,14,3,14
2,3,10,1.9197420142279809,0.6399140047426602,0,1,192,9,21,3,14
2,4,9,2.0449667195354078,0.5112416798838519,-1,18,192,9,21,3,14
2,5,9,6.401021506182801,1.28020430123656,-1,18,497,249,21,3,14
2,6,9,6.536255219439487,1.0893758699065812,-1,9,497,249,14,3,14
2,7,9,6.678675555141519,0.9540965078773598,-1,9,497,249,7,3,14
2,8,9,6.793507960706078,0.8491884950882598,-1,9,497,249,0,3,14
2,9,9,6.936411851966473,0.7707124279962748,-1,8,497,249,0,3,14
2,10,9,7.0692866035768125,0.7069286603576812,-1,7,497,249,0,3,14
2,11,9,7.1623751933235384,0.6511250175748672,-1,6,497,249,0,3,14
2,12,9,7.2784916856075705,0.6065409738006309,-1,5,497,249,0,3,14
2,13,9,7.392128426040473,0.5686252635415748,-1,4,497,249,0,3,14
2,14,9,7.46968442177413,0.5335488872695807,-1,3,497,249,1,3,14
2,15,9,7.553653745798987,0.5035769163865991,-1,2,497,249,2,3,14
2,16,9,7.6392383427583885,0.4774523964223993,-1,1,497,249,4,3,14
2,17,9,7.72503530942424,0.45441384173083765,-1,1,497,249,3,3,14
2,18,8,7.800016421152022,0.4333342456195568,-2,4,497,249,6,3,14
2,19,8,13.33257253925484,0.7017143441713074,-2,4,818,93,6,3,14
2,20,8,13.412364732733906,0.6706182366366953,-2,8,818,93,11,3,14
2,21,8,13.501222507399383,0.6429153574952087,-2,6,818,93,11,3,14
2,22,8,13.588206454933804,0.6176457479515366,-2,4,818,93,12,3,14
2,23,8,13.669516420757283,0.5943268009024906,-2,2,818,93,4,3,14
2,24,8,13.758823408667997,0.5732843086944999,-2,2,818,93,4,3,14
2,25,8,13.83501044874745,0.553400417949898,-2,2,818,93,4,3,14
2,26,8,13.919503986471494,0.5353655379412113,-2,1,818,93,3,3,14
2,27,8,13.999493154826986,0.5184997464750736,-2,1,818,93,2,3,14
2,28,7,14.075201770958085,0.5026857775342173,-1,7,818,93,0,3,14
2,29,7,18.061205107294068,0.6228001761135885,-1,7,581,111,0,3,14
2,30,7,18.14384455484862,0.604794818494954,-1,6,581,111,2,3,14
2,31,7,18.231405611139223,0.5881098584238459,-1,5,581,111,3,3,14
2,32,7,18.309619637171487,0.572175613661609,-1,4,581,111,4,3,14
2,33,7,18.39307501071717,0.5573659094156718,-1,3,581,111,4,3,14
2,34,7,18.489371251457573,0.5438050368075756,-1,2,581,111,4,3,14
2,35,7,18.567824489464012,0.5305092711275432,-1,1,581,111,4,3,14
2,36,7,18.64874800558003,0.5180207779327786,-1,1,581,111,6,3,14
2,37,7,18.747225180573462,0.5066817616371206,-1,3,581,111,4,3,14
2,38,7,18.836881512703894,0.49570740822904985,-1,2,581,111,4,3,14
2,39,7,18.918505690955495,0.48508988951167936,-1,1,581,111,5,3,14
2,40,7,18.994625230626394,0.47486563076565985,-1,1,581,111,4,3,14
2,41,6,19.07980166722061,0.46536101627367343,1,5,581,111,10,3,14
2,42,6,23.363847728552035,0.5562820887750485,1,5,627,498,10,3,14
2,43,6,23.440996353398976,0.545139450079046,1,5,627,498,11,3,14
2,44,6,23.531803350388696,0.534813712508834,1,6,627,498,6,3,14
2,45,6,23.612600155211464,0.5247244478935881,1,7,627,498,6,3,14
2,46,6,23.70041305513165,0.5152263707637316,1,8,627,498,5,3,14
2,47,6,23.78768042543415,0.5061208601156202,1,16,627,498,3,3,14
2,48,6,23.87365739318948,0.49736786235811414,1,24,627,498,3,3,14
2,49,6,23.95268300308133,0.4888302653690067,1,21,627,498,5,3,14
2,50,6,24.034983764375408,0.4806996752875082,1,18,627,498,6,3,14
2,51,6,24.11075593352275,0.47275992026515196,1,15,627,498,9,3,14
2,52,6,24.19063536437194,0.4652045262379219,1,12,627,498,9,3,14
2,53,6,24.26702766885167,0.457868446582107,1,9,627,498,8,3,14
2,54,6,24.363278119841244,0.4511718170340971,1,6,627,498,6,3,14
2,55,6,24.439770688085733,0.44435946705610424,1,3,627,498,5,3,14
2,56,6,24.56955621047179,0.43874207518699626,1,3,627,498,4,3,14
2,57,6,24.660869657895294,0.4326468361034262,1,3,627,498,3,3,14
2,58,6,24.74446319017194,0.42662867569261964,1,2,627,498,4,3,14
2,59,6,24.823529852943846,0.4207377941176923,1,1,627,498,5,3,14
2,60,6,24.908010759012488,0.41513351265020815,1,1,627,498,11,3,14
2,61,5,25.014296665479815,0.41007043713901337,0,1,627,498,10,3,14
2,62,5,29.46013410081166,0.47516345323889775,0,1,659,42,10,3,14
2,63,5,29.536755748784802,0.46883739283785403,0,1,659,42,11,3,14
2,64,5,29.617798870887913,0.46277810735762365,0,4,659,42,5,3,14
2,65,5,29.69990265730556,0.45692157934316247,0,3,659,42,0,3,14
2,66,5,29.778685107830913,0.4511921986034987,0,2,659,42,0,3,14
2,67,5,29.86148916164493,0.44569386808425265,0,1,659,42,0,3,14
2,68,5,29.942258334721505,0.44032732845178685,0,1,659,42,0,3,14
2,69,4,30.026759372490933,0.4351704256882744,-1,7,659,42,0,3,14
